245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Swelling and deswelling in thermally reversible hydrogels :"	"applications in delivery and removal of biologically active agents as a function of temperature /"	"by Ali Afrassiabi."	"Afrassiabi, Ali."	"M.S.E."	"University of Washington"	"1987"	"870716s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 106 leaves :"			"16203027"
"Ultrasonic assessment of cardiac ejection dynamics /"		"by Eric H. Albrecht."	"Albrecht, Eric H."	"M.S.E."	"University of Washington"	"1987"	"880603s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 107 leaves :"			"18037590"
"Contextual classification of multiple anatomical tissues in tomographic images /"		"by Maria Elena Algorri."	"Algorri, Maria Elena."	"M.S.E."	"University of Washington"	"1991"	"911009s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xviii, 115 leaves :"			"24524656"
"Contact characteristics of the subtalar joint following calcaneal fracture /"		"by Dheera Ananthakrishnan."	"Ananthakrishnan, Dheera."	"M.S.E."	"University of Washington"	"1992"	"930121s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 103 leaves :"			"27300625"
"Laser light spectroscopy for in vitro characterization of ciliary kinetics of the rabbit oviduct /"		"by Richard L. Anderson."	"Anderson, Richard L."	"M.S."	"University of Washington"	"1989"	"900108s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 78 leaves :"			"20861124"
"A mathematical model of the cochlear spiral in three dimensions /"		"by H. Alexander Arts."	"Arts, H. Alexander."	"M.S.E."	"University of Washington"	"1990"	"910426s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 111 leaves :"			"23613950"
"Ultrastructural aspects of skeletal muscle revealed by quick-freezing methods /"		"by Pieter Hendrik Baatsen."	"Baatsen, Pieter Hendrik,1956-"	"Ph. D."	"University of Washington"	"1991"	"910906s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 153 leaves :"			"24342938"
"Vowel extraction from electroencephalograms using neural networks /"		"by David Abraham Basiji."	"Basiji, David Abraham."	"M.S."	"University of Washington"	"1993"	"930802s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 70 leaves :"			"28555792"
"Quantitation of central nervous system insulin uptake and its regulation by steroids and obesity /"		"by Gail Dawn Baura."	"Baura, Gail Dawn."	"Ph. D."	"University of Washington"	"1993"	"930802s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 90 leaves :"			"28555836"
"Three-dimensional finite element modeling of current pathways :"	"experimental validation, and parameter sensitivity analysis /"	"by Dawn E. Blilie."	"Blilie, Dawn E."	"M.S.E."	"University of Washington"	"1990"	"901226s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 88 leaves :"			"22899137"
