245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"N-acetyl-DL-homocysteine thiolactone, a reagent for acylation of proteins and peptides."			"Abadi, Djahanguir Mohammad,1929-"	"Ph. D."	"University of Washington"		"890531s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81, [1] leaf"			"19788117"
"Biosynthesis of labeled ergosterol from isotopic acetate."	"The origin of some of the carbon atoms of the side chain of ergosterol. Metabolism of C¹⁴-ergosterol ..."		"al-Wakil, Salih Jawad,1928-"	"Ph. D."	"University of Washington"		"890719s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"53 leaves"			"20032944"
"Studies of procarboxypeptidase:"	"isolation, characterization and activation ..."		"Albrecht, Genia Solomon,1926-"	"Ph. D."	"University of Washington"		"890610s1954\\\\xx\\\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings)"			"19844607"
"Studies on carboxypeptidase."			"Allan, Barbara Jean."	"M.S."	"University of Washington"		"890717s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"20021054"
"Structural studies of glycogen phosphorylase."			"Appleman, M. Michael,1933-"	"Ph. D."	"University of Washington"		"890717s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"20020958"
"The mechanism of proteolytic enzymes reaction of chymotrypsin with nitrophenyl acetates."			"Awad, Elias Steelo."	"Ph. D."	"University of Washington"		"890717s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"118, [1] leaf"			"20021026"
"I. The action of pronase on chymotrypsinogen-A. II. The conversion of cysteine to serine in reduced glutathione,"		"by William Michel Awad, Jr."	"Awad, William Michel,1927-"	"Ph. D."	"University of Washington"		"890717s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"20020898"
"Studies on pancreatic lipase."			"Barron, Edward J.,1927-"	"Ph. D."	"University of Washington"		"890717s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95, [1] leaf"			"20020989"
"The nature of the thiol group of Coenzyme A ..."			"Basford, Robert E.,1923-"	"Ph. D."	"University of Washington"		"890717s1954\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"20021084"
"Light scattering calibration and the absorption of colloidal silica."			"Bonnelycke, Byrg Emil."	"M.S."	"University of Washington"		"890627s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"37 leaves"			"19933022"
"The activation of phosphorylase b̲ kinase by adenosine triphosphate with and without adenosine-3', 5'-phosphate."			"Bratvold, Gloria Elizabeth."	"M.S."	"University of Washington"		"890627s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19933088"
"Observations on the stability of the bovine erythrocyte membrane and factors influencing the release of membrane lipid and enzyme components."			"Burger, Stephen Paul."	"M.S."	"University of Washington"		"890513s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"142 leaves"			"19703336"
"Enzymatic interconversion of serine and glycine ..."			"Chappelle, Emmett W.(Emmett William)"	"M.S."	"University of Washington"		"890622s1954\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19908718"
"Reduced diphosphopyridine nucleotide reactions ..."			"Chaykin, Sterling,1929-"	"Ph. D."	"University of Washington"		"890610s1954\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19844599"
"Reagents for the preparation of chymotrypsinogen derivatives: 0-methyl isourea and carbon disulfide."			"Chervenka, C. H.(Charles Henry),1921-"	"Ph. D."	"University of Washington"		"890705s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 69 leaves"			"19960250"
"The covalent linkage of mercury to chymotrypsinogen A."			"Cobain, William Alexander,1924-"	"Ph. D."	"University of Washington"		"890717s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"169 leaves"			"20020855"
"The metabolism of C-14 labeled diethylstilbestrol ..."			"Daskalakis, Emanuel George,1924-"	"Ph. D."	"University of Washington"		"890726s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"48 leaves"			"20072167"
"I. The effect of carboxypeptidase on various crystalline proteins and its relation to the trypsinogen-trypsin system"	"II. Identification and characterization of a peptide split from trypsinogen during autocatalytic activation ..."		"Davie, Earl Warren,1927-"	"Ph. D."	"University of Washington"		"890726s1954\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 56 leaves"			"20072134"
"A study of glycogen phosphorylase isozymes."			"Davis, Craig Hale,1935-"	"Ph. D."	"University of Washington"		"890726s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves"			"20071978"
"A study of the isozymes of yeast 3-phosphoglyceraldehyde dehydrogenase."			"Davis, Craig Hale,1935-"	"M.S."	"University of Washington"		"890726s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"34 leaves"			"20072021"
"Phosphorylation and activation of muscle phosphorylase b̲ kinase."			"DeLange, Robert J.,1937-"	"Ph. D."	"University of Washington"		"890726s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"153 leaves"			"20071940"
"The combination of chymotrypsin and chymotrypsinogen with flourescent dyes."			"Deranleau, David Arthur,1934-"	"Ph. D."	"University of Washington"		"890605s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19818069"
"Metabolism of long chain fatty acids."			"Dittmer, John C.,1928-"	"Ph. D."	"University of Washington"		"890605s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"111, [1] leaf"			"19817872"
"Diazoacetamide,"	"a reagent for the esterification of protein carboxyl groups."		"Doscher, Marilynn Scott,1931-"	"Ph. D."	"University of Washington"		"890605s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91, [1] leaf"			"19817933"
"The crystal structure of L-arginine hydrochloride monohydrate."			"Dow, Jean Ann."	"M.S."	"University of Washington"		"890605s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"40 leaves"			"19818133"
"Characterization of the polynucleotide-dependent transfer reaction in Saccharomyces fragilis."			"Downey, Kathleen Mary,1939-"	"Ph. D."	"University of Washington"		"890605s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19818096"
"Studies of the mechanism of activation of proteolytic enzyme precursors."			"Dreyer, William Jakob,1928-"	"Ph. D."	"University of Washington"		"890605s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78, [5] leaves"			"19817849"
"A study of pyridoxal 5' phosphate in rabbit skeletal muscle phosphorylase,"		"by Arden Willis Forrey, Jr."	"Forrey, Arden Willis,1932-"	"Ph. D."	"University of Washington"		"890620s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"184 leaves"			"19897355"
"The determination of the molecular weight of rabbit muscle D-glyceraldehyde-3-phosphate dehydrogenase by sedimentation velocity and diffusion methods and a study of the coenzyme content,"		"by Jay B. Fox, Jr."	"Fox, Jay B.,1927-"	"Ph. D."	"University of Washington"		"890620s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19897259"
"Structures of three crystal forms of D, L-homocysteine thiolactone hydrochloride."			"Freer, Stephan Tabor,1933-"	"Ph. D."	"University of Washington"		"890620s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19897422"
"The precursor of bovine carboxypeptidase A."			"Freisheim, James Harold,1937-"	"Ph. D."	"University of Washington"		"890620s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"132 leaves"			"19897456"
"The effect of carboxypeptidase on the chymotrypsinogen-chymotrypsin system ..."			"Gladner, Jules A.,1922-"	"Ph. D."	"University of Washington"		"890705s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2, [8], 92 leaves"			"19960241"
"Studies on the inactivation of tobacco mosaic virus by ultraviolet light."			"Goddard, Judy May."	"M.S."	"University of Washington"		"890610s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"19844774"
"Isolation and preliminary characterization of phospholipase B from Pencillium notatum."			"Granade, Mary Ethel."	"M.S."	"University of Washington"		"890513s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"116 leaves"			"19703345"
"The enzymatic dephosphorylation of phosphorylase a̲ and derived phosphopeptides."			"Graves, Donald John,1933-"	"Ph. D."	"University of Washington"		"890705s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60, [1] leaf"			"19960253"
"A vitamin-test diet for Chinook salmon."	"The water soluble vitamin requirements of Chinook salmon ..."		"Halver, John E.(John Emil),1922-"	"Ph. D."	"University of Washington"		"890705s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19960464"
"The mechanism of action of serine hydroxymethylase."			"Hatefi, Youssef,1929-"	"Ph. D."	"University of Washington"		"890705s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19960478"
"The reaction of selected aromatic sulfonyl chlorides with chymotrypsinogen."			"Henriksen, Ruth Ann."	"M.S."	"University of Washington"		"890530s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"47 leaves"			"19781708"
"Studies on skeletal muscle glycogen synthetase."			"Hichenbottom, John Powell,1938-"	"Ph. D."	"University of Washington"		"890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19749550"
"The crystal structure of androsterone."			"High, Darrell Fowler,1935-"	"Ph. D."	"University of Washington"		"890530s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19781594"
"Deuterium studies with reduced diphosphopyridine nucleotide and derivatives."			"Hines, Marvin Carroll."	"M.S."	"University of Washington"		"890530s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"26 leaves"			"19781452"
"Function of tetrahydrofolate in the metabolism of glyoxylate."			"Ho, Peter Peck-Koh,1937-"	"Ph. D."	"University of Washington"		"890610s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"110 leaves"			"19844640"
"The transient inactivation of trypsin by mild acetylation with N-acetylimidazole."			"Houston, L. Lugene,1940-"	"Ph. D."	"University of Washington"		"890523s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"132 leaves"			"19749561"
"Calcium in the structure and activity of [alpha]-amylases."			"Hsiu, Julia Jo-Tin."	"M.S."	"University of Washington"		"891016s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"56 leaves"			"20493920"
"Phosphorylase phosphatase; its purification and use in the study of the molecular properties of rabbit muscle glycogen phosphorylase."			"Hurd, Suzanne Sheldon,1939-"	"Ph. D."	"University of Washington"		"890614s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"112 leaves"			"19869123"
"Purification and properties of muscle phosphorylase phosphatase."			"Hurd, Suzanne Sheldon,1939-"	"M.S."	"University of Washington"		"890610s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"52 leaves"			"19844762"
"The mechanism of the activation of phosphorylase ""b"" kinase by calcium and a protein factor."			"Huston, R. Bruce,1937-"	"Ph. D."	"University of Washington"		"890614s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19869240"
"Studies on bovine factor X"	"isolation, purification and partial characterization."		"Jackson, Craig Merton,1941-"	"Ph. D."	"University of Washington"		"890614s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"194 leaves"			"19869074"
"Purification of complex lipides: I. The isolation of egg phosphatidyl choline by an absorption column technique. II. The preparation of dipalmitoleyl-L-a-glyceryl-phosphorylcholine from yeast ..."			"Jayko, Michael Eugene,1927-"	"Ph. D."	"University of Washington"		"890530s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"43 leaves"			"19781439"
"Studies on muscle phosphorylase."			"Kent, Alan B.,1932-"	"Ph. D."	"University of Washington"		"890605s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"107, [1] leaf"			"19817898"
"Chemical synthesis of flavin nucleotides."			"Kilgour, Gordon L."	"Ph. D."	"University of Washington"		"890605s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"52, iii leaves"			"19817810"
"Influence of phosphate and some phosphate esters on the structure and activity of muscle phosphorylase."			"Koh, Pearl Ching-feng,1944-"	"M.S."	"University of Washington"		"890526s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"108 leaves"			"19768687"
"Lipids of the Chinook salmon (Oncorhynchus tschawystscha, Walbaum)."			"La Roche, Gilles Joseph Regent,1922-"	"Ph. D."	"University of Washington"		"890620s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68, [1] leaf"			"19897291"
"Ultraviolet sensitization and photoreactivation of tobacco mosaic virus ribonucleic acid containing 5-fluorouracil."			"Lozeron, Homer Alan,1934-"	"Ph. D."	"University of Washington"		"890720s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"20038475"
"The stepwise activation of antihemophilic factor and Stuart factor during normal blood coagulation."			"Lundblad, Roger L."	"Ph. D."	"University of Washington"		"890720s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"20037983"
"Water soluble block polymers containing L-proline and L-[alpha]-amino acids."			"Lynn, Jackson."	"M.S."	"University of Washington"		"890720s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"20039001"
"The mechanism of methionine biosynthesis."			"Mangum, John Harvey,1933-"	"Ph. D."	"University of Washington"		"890720s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"69 leaves"			"20038651"
"Enzymatic interconversions of folic acid, dihydrofolic acid and tetrahydrofolic acid."			"Mathews, Christopher King,1937-"	"Ph. D."	"University of Washington"		"890530s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19781519"
"The reaction of carboxypeptidase A with chromophoric substrates."			"McClure, William Owen,1937-"	"Ph. D."	"University of Washington"		"890720s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"136 leaves"			"20038192"
"Sarcosine dehydrogenase."			"Mell, Galen Palmer,1934-"	"Ph. D."	"University of Washington"		"900815s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"72 leaves"			"22221540"
