245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Regulation of rat retinogenesis by peptide growth factors /"		"by Raymond Manohar Anchan."	"Anchan, Raymond Manohar."	"Ph. D."	"University of Washington"	"1994"	"950424s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 141 leaves :"			"32356733"
"The fine structure and electrophysiology of heart muscle cell injury."			"Baldwin, Kate Metheny,1940-"	"Ph. D."	"University of Washington"		"890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"126 leaves"			"19763135"
"The morphology and behavior of the rat egg are influenced by actin and calcium during fertilization and artificial activation /"		"by David Edward Battaglia."	"Battaglia, David Edward."	"Ph. D."	"University of Washington"	"1985"	"860207s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"v, 72 leaves, 15 unnumbered leaves of plates :"			"13119709"
"Nuclear magnetic resonance studies of lens transparency /"		"by Christopher Frederick Beaulieu."	"Beaulieu, Christopher Frederick,1960-"	"Ph. D."	"University of Washington"	"1989"	"900515s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 207 leaves :"			"21541780"
"Characterization of Insulin-like Growth Factor-1 (IGF-1) binding sites in rat median eminence :"	"modulation of IGF-1 binding by food restriction /"	"by Nancy Jones Bohannon."	"Bohannon, Nancy Jones."	"M.S."	"University of Washington"	"1986"	"861021s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"31 leaves :"			"14449607"
"Differences in populations of lymphocytes in tolerant and nontolerant rats as determined by antibody labeling and ³H-uridine uptake."			"Bottomly, Helen Kim."	"Ph. D."	"University of Washington"		"890511s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves"			"19694062"
"Mechanisms of control of ovum transport through the oviductal isthmus and into the cornu in rabbits /"		"by Robert Joseph Bourdage."	"Bourdage, Robert Joseph."	"Ph. D."	"University of Washington"	"1982"	"820818s1982\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 143 leaves, 30 unnumbered leaves of plates :"			"8697988"
"An interpretation of the three dimensional structure of blue copper protein /"		"by Rachel Bramson."	"Bramson, Rachel."	"M.S."	"University of Washington"	"1985"	"860327s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"82 leaves, 30 unnumbered leaves of plates :"			"13352681"
"Systematic analysis of rat lens development in vivo and in vitro /"		"by Barbara A. Brewitt."	"Brewitt, Barbara A.,1948-"	"Ph. D."	"University of Washington"	"1989"	"900614s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 209 leaves :"			"21844969"
"The anatomy and function of the contents of the human tarsal sinus and canal."			"Cahill, Donald Richard."	"M.S."	"University of Washington"		"890717s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves"			"20021243"
"Characterization of skeletal myoblast mitogens released following muscle injury /"		"by Gang Chen."	"Chen, Gang,1968-"	"Ph. D."	"University of Washington"	"1993"	"940506s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 89 leaves :"			"30396987"
"Mechanism of action of murine retroviral long terminal repeat region downstream of the enhancer in transcriptional activation and thymic lymphomagenesis /"		"by Hsiaoli Chen."	"Chen, Hsiaoli,1966-"	"Ph. D."	"University of Washington"	"1993"	"940506s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 99 leaves :"			"30396936"
"The synthesis of fluorescein thiocarbamyl colchicine and its effect on cells."			"Clark, John Irwin."	"Ph. D."	"University of Washington"		"890512s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19698929"
"A fine structural study of mouse primordial germ cells."			"Clark, Judy Meyers."	"M.S."	"University of Washington"		"890513s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19703257"
"Ultrastructural studies on the rat testis"	"organization of the interstitial tissue and effect of heat on the seminiferous epithelium."		"Clark, Richard V."	"Ph. D."	"University of Washington"		"890513s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 leaves"			"19703272"
"An investigation of the response of cortical bone in the rabbit to sustained loading in vivo,"		"by John Milton Coletti, Jr."	"Coletti, John Milton."	"M.S."	"University of Washington"		"890525s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19763182"
"Localization of carbonic anhydrase in epiphyseal chondrocytes of chick long bone."			"Colman, Mary Bath."	"M.S."	"University of Washington"		"890525s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"113 leaves"			"19763282"
"The role of the Sertoli cell in testicular function."			"Crawford, Otis Leon."	"M.S."	"University of Washington"		"890525s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"38 leaves"			"19763222"
"The organization of the retinogeniculate pathway in rats, and its experimental modification by lesions."			"Cunningham, Timothy J.,1946-"	"Ph. D."	"University of Washington"		"890619s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"128 leaves"			"19888915"
"Studies of the normal organization of the interhemispheric cortical connections in rats and the plasticity exhibited by the callosal pathway following central lesions in development /"		"by Catherine Grace Cusick."	"Cusick, Catherine Grace."		"University of Washington"		"800327s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 195 leaves, 32 unnumbered leaves of plates :"			"6133461"
"Insulin receptors of choroid plexus in the rat brain /"		"by David A. Davidson."	"Davidson, David A."	"M.S."	"University of Washington"	"1985"	"850423s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"33 leaves :"			"11951347"
"Inhibition of digital flexnor tendon synovial sheath formation by temporary paralysis during embryogenesis."			"Dimond, Richard Allan."	"M.S."	"University of Washington"		"890515s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19704329"
"Characterization of natural regulatory cells in murine bone marrow /"		"by Kenneth Allan Dorshkind."	"Dorshkind, Kenneth Allan."	"Ph. D."	"University of Washington"	"1980"	"810108s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 97 leaves, 5 unnumbered leaves of plates :"			"7052485"
"Assessment of intravascular ultrasound contrast and the ability of power doppler to reflect perfusion differences /"		"by Janet E. Durick."	"Durick, Janet E."	"M.S."	"University of Washington"	"1994"	"941121s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 51 leaves :"			"31495827"
"In vitro alloreactivity of mouse bone marrow cells /"		"by Vera Brankovan Ercegovac."	"Ercegovac, Vera Brankovan."		"University of Washington"		"790906s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 67 leaves, 1 unnumbered leaf of plates :"			"5344942"
"The differential effect of hydrocortisone on the short-lived lymphocyte of the art."			"Esteban, Jose Navarro."	"M.S."	"University of Washington"		"890511s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"34 leaves"			"19694017"
"An electron microscope study of the cells of the neural plate and the process of neurulation in an ascidian embryo."			"Everingham, John Wheeler,1932-"	"Ph. D."	"University of Washington"		"890627s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19932401"
"Properties of F9 cells stably transfected with sense and antisense sparc cDNA /"		"by Elizabeth Anne Everitt."	"Everitt, Elizabeth Anne,1957-"	"Ph. D."	"University of Washington"	"1991"	"920331s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 80 leaves :"			"25567014"
"Topographic order in the rat's optic pathway,"		"by James Gerard Flaherty, III."	"Flaherty, James Gerard."	"M.S."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19792936"
"Neurulation in the mouse :"	"morphology and mechanisms in neural morphogenesis /"	"Beverly Ann Foerder."	"Foerder, Beverly Ann."	"Ph. D."	"University of Washington"		"890601s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"86 leaves :"			"19792898"
"Ontogeny of Langerhans cells in human embryonic and fetal skin :"	"surface markers and cell densities /"	"by Carolyn Ann Foster."	"Foster, Carolyn Ann."	"Ph. D."	"University of Washington"	"1986"	"870408s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"v, 97 leaves, 9 unnumbered leaves of plates :"			"15502575"
"An electron microscopic investigation of mineralizing tissues."			"Frazier, Paul David,1936-"	"Ph. D."	"University of Washington"		"890601s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes"			"19792969"
"Internalization and degradation of radioimmunoconjugates by malignant human lymphoid cells /"		"by Francis Terrence Geissler."	"Geissler, Francis Terrence,1957-"	"Ph. D."	"University of Washington"	"1990"	"910821s1990\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 79 leaves, 10 unnumbered leaves of plates :"			"24267794"
"Male germ cell development and teratoma formation in 129/J mice /"		"by Daniel Gong."	"Gong, Daniel."	"M.S."	"University of Washington"		"800326s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"iv, 91 leaves, 17 unnumbered leaves of plates "			"6131328"
"Normal anatomy of the hippocampus with phased array fast spin echo MRI /"		"by Aurora Gonzalez."	"Gonzalez, Aurora."	"M.S."	"University of Washington"	"1994"	"950123s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 45 leaves :"			"31871775"
"Cell surface determinants of embryonal carcinoma cells, primordial germ cells and early mouse embryos /"		"by Ann Caryn Hahnel."	"Hahnel, Ann Caryn."	"Ph. D."	"University of Washington"	"1984"	"850111s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 88 leaves :"			"11570542"
"Adult and fetal myoblasts regulate myosin heavy chain expression differently /"		"by Rebecca Sue Hartley."	"Hartley, Rebecca Sue,1963-"	"Ph. D."	"University of Washington"	"1992"	"921202s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 130 leaves :"			"27051229"
"Regeneration of the retina in the newt (Diemictylus v. viridescens)"	"an electron microscope study."		"Hendrickson, Anita Elizabeth,1936-"	"Ph. D."	"University of Washington"		"890613s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"254 leaves"		"http://hdl.handle.net/1773/5689;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6411174"	"19860990"
"The normal ultrastructural organization of the immature feline trigeminal brainstem sensory nuclear complex and its morphological response following injury to deciduous dental pulps /"		"by Michael Alan Henry."	"Henry, Michael Alan,1954-"	"Ph. D."	"University of Washington"	"1991"	"920406s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 228 leaves :"			"25599874"
"The respiratory distress syndrome."			"Huber, Gary Louis."	"M.S."	"University of Washington"		"890522s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"368 leaves"			"19746266"
"Cerebral cortex transplants :"	"a morphological study on the development of cerebral cortex from fetal rats transplanted to the brains of newborn rats /"	"by Christine Brunhilde Jaeger."	"Jaeger, Christine Brunhilde."		"University of Washington"		"791101s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 190 leaves, 37 unnumbered leaves of plates :"			"5634522"
"Achaete-scute homologs in vertebrate retinogenesis /"		"by Christine L. Jasoni."	"Jasoni, Christine L."	"Ph. D."	"University of Washington"	"1994"	"950215s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 109 leaves :"			"31995593"
"Mechanisms involved in adjustment of neural circuitry in the visual pathways of the rat /"		"by Ling Sun Jen."	"Jen, Ling Sun."		"University of Washington"		"791029s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"viii, 110 leaves, 19 unnumbered leaves of plates "			"5621049"
"The application of dansyl-chloride in complex biological systems."			"Jenkins, Donald Pauling."	"Ph. D."	"University of Washington"		"890615s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"170 leaves"			"19872098"
"Development of human embryonic and fetal cutaneous vasculature /"		"by Carole Lillian Johnson."	"Johnson, Carole Lillian,1945-"	"Ph. D."	"University of Washington"	"1988"	"891006s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 87 leaves :"			"20448893"
"Dental primary afferent connectivity in the brain stem trigeminal nuclear complex /"		"by Lonnie Rhodes Johnson."	"Johnson, Lonnie Rhodes."	"Ph. D."	"University of Washington"	"1985"	"850816s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 195 leaves, 42 unnumbered leaves of plates :"			"12394383"
"In vivo studies of the mechanisms underlying enhancement and the reversal of tumor growth in mice employing x-irradiation and adoptive transfer of lymphoid cells /"		"Frank R. Jones."	"Jones, Frank R."	"Ph. D."	"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves :"			"19872041"
"An ultrastructural study of the plasma membrane of hamster spermatozoa with particular reference to changes associated with capacitation in-vitro."			"Kinsey, William Henderson."	"Ph. D."	"University of Washington"		"890515s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19704359"
"Crystal structures of ferredoxin II and cytochrome C3 from Desulfovibrio gigas /"		"by Charles Richard Kissinger."	"Kissinger, Charles Richard,1956-"	"Ph. D."	"University of Washington"	"1989"	"900719s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 208 leaves :"			"22099190"
"Analysis of the myogenic lineage in chick embryos /"		"by Douglas Evan Kligman."	"Kligman, Douglas Evan."		"University of Washington"		"791101s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 59 leaves, 4 unnumbered leaves of plates "			"5634587"
"The influence of antimacrophage serum on rat lymphoid tissues and immunological competence in vivo and on macrophage structure and function in vitro."			"Knudson, Sharon Marie,1945-"	"Ph. D."	"University of Washington"		"890515s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"186 leaves"			"19704285"
"The recovery of immunological competence following sublethal irradiation as monitored by the mixed lymphocyte reaction."			"Lamberg, John David."	"M.S."	"University of Washington"		"890609s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19840923"
"The myelogenous phase of B lymphocyte production in the mouse /"		"by Kenneth Samuel Landreth."	"Landreth, Kenneth Samuel."	"Ph. D."	"University of Washington"	"1980"	"810112s1980\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 97 leaves, [8] leaves :"			"7057104"
