245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"To be a father or to be a mate :"	"discerning the adaptive value of testosterone as a mediator of reproductive trade-offs /"	"Elizabeth A. Addis."	"Addis, Elizabeth A."	"Ph. D."	"University of Washington"	"2009"	"100210s2009\\\\xx\a\\\\\bm\\\000\0\eng\c"	"vi, 106 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377266"	"505875924"
"Distinguishing the impacts of prey availability and vessel traffic on an endangered killer whale (Orcinus orca) population /"		"Katherine Leah Ayres."	"Ayres, Katherine Leah."	"Ph. D."	"University of Washington"	"2011"	"120820s2011\\\\xx\a\\\\\bm\\\000\0\eng\c"	"83, 5 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501508"	"807003669"
"Selectivity of the Permian-Triassic mass extinction event on benthic suspension-feeding invertebrates :"	"investigations on articulate brachiopods and bivalve molluscs /"	"Loren A. Ballanti."	"Ballanti, Loren A.,author."	"Ph. D."	"University of Washington"	"2011"	"120821t20112011xx\a\\\\\bm\\\000\0\eng\c"	"viii, 103 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501511"	"807380360"
"Sexual selection, vocal signals, and plumage introgression in an avian hybrid zone /"		"Timothy James Billo."	"Billo, Timothy James."	"Ph. D."	"University of Washington"	"2011"	"111012s2011\\\\xx\ab\\\\bm\\\000\0\eng\c"	"v, 148 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472114"	"756802540"
"Molecular systematics of North Pacific Ceramiaceae (Rhodophyta) :"	"phylogeny, taxonomy, and phylogeography /"	"Amy L. Carlile."	"Carlile, Amy L."	"Ph. D."	"University of Washington"	"2009"	"091215s2009\\\\xx\ab\\\\bm\\\000\0\eng\c"	"viii, 148 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3370471"	"489150211"
"Evolutionary dynamics of pine squirrels (Tamiasciurus) in western North America /"		"Andreas Shintaro Chavez."	"Chavez, Andreas S.,author."	"Ph. D."	"University of Washington"	"2013"	"140912t20132013wauab\\\obdm\s000\0\eng\d"	"1 online resource (x, 175 pages) :"	"Kenagy, George James,degree supervisor."	"http://hdl.handle.net/1773/23350"	"890490417"
"Migration evolution in the Zonotrichia sparrows /"		"Aaron D. Clark."	"Clark, Aaron D.(Aaron Dyar),1976-"	"Ph. D."	"University of Washington"	"2010"	"111021s2010\\\\xx\ab\\\\bm\\\000\0\eng\c"	"viii, 133 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3421754"	"758013238"
"Vernal migratory behavior in captive white-crowned sparrows, Zonotrichia leucophrys /"		"Alexander J. Coverdill."	"Coverdill, Alexander J.,1980-"	"Ph. D."	"University of Washington"	"2008"	"081021s2008\\\\xx\a\\\\\bm\\\000\0\eng\c"	"vi, 131 pages :"		"http://hdl.handle.net/1773/5181;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3318176"	"263034741"
"Regulation of pigment cell specification during embryonic development in the zebrafish /"		"Kevin Patrick Curran."	"Curran, Kevin Patrick."	"Ph. D."	"University of Washington"	"2010"	"101215s2010\\\\xx\a\\\\\bm\\\000\0\eng\c"	"115 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3406032"	"692554033"
"Polymorphism and replication of heterochromatic repeats in the DNA of Arabidopsis /"		"Jerry Davison."	"Davison, Jerry."	"Ph. D."	"University of Washington"	"2006"	"070504s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 74 pages :"		"http://hdl.handle.net/1773/5134;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3241896"	"123997006"
