245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Characterizing experimental information management in biomedical research :"	"a case-study approach /"	"Nicholas R. Anderson."	"Anderson, Nicholas Rolphe."	"Ph. D."	"University of Washington"	"2007"	"070926s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 229 leaves :"			"173314836"
"What difference does a form make :"	"redesign and evaluation of a form for documenting in-hospital cardiac arrest /"	"Alan Ping-Jen Au."	"Au, Alan Ping-Jen."	"Ph. D."	"University of Washington"	"2013"	"140408s2013\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (xii, 141 pages) :"	"Wolf, Fredric Marc,thesis advisor."	"http://hdl.handle.net/1773/22800;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563119"	"876082122"
"Computational methods for the analysis of molecular dynamics simulations /"		"Noah C. Benson."	"Benson, Noah C.(Noah Charles)"	"Ph. D."	"University of Washington"	"2010"	"110208s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 223 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431544"	"701110778"
"Temporal data mining in electronic medical records from patients with acute coronary syndrome /"		"Wynona Black."	"Black, Wynona,author."	"Ph. D."	"University of Washington"	"2013."	"140703t20132013wau\\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 103 pages) :"	"Yetisgen, Meliha,degree supervisor."	"http://hdl.handle.net/1773/25154"	"882582756"
"An evidential knowledge representation for drug-mechanisms and its application to drug safety /"		"Richard David Boyce."	"Boyce, Richard David,1974-"	"Ph. D."	"University of Washington"	"2008"	"090127s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 321 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3328376"	"299814171"
"Statistical reality engine :"	"a platform for experimenting with novel biostatistical consultation workflows in virtual environments /"	"Richard Boyce."	"Boyce, Richard(Richard D.),1974-"	"M.S."	"University of Washington"	"2005"	"060606s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 115 pages :"			"69952639"
"Visual analytics methods for analyzing molecular dynamics simulations of mutant proteins /"		"Dennis N. Bromley."	"Bromley, Dennis N.,author."	"Ph. D."	"University of Washington"	"2014"	"150306t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (316 pages) :"	"Daggett, Valerie,degree supervisor."	"http://hdl.handle.net/1773/27421"	"904449866"
"Automated learning of protein involvement in pathogenesis using integrated queries /"		"Eithon Cadag."	"Cadag, Eithon Michael G."	"Ph. D."	"University of Washington"	"2009"	"100514s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 174 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3394276"	"614443438"
"High-throughput inference-supported protein characterization utilizing the BioMediator data integration platform /"		"Eithon Michael G. Cadeg."	"Cadag, Eithon Michael G."	"M.S."	"University of Washington"	"2006"	"061222s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 113 leaves :"			"77276868"
"Evaluation of the diagnostic accuracy of a clinical decision support system (DXplain) /"		"Franz Calvo."	"Calvo, Franz."	"M.S."	"University of Washington"	"2004"	"050419s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 58 leaves :"			"60593153"
"Data-driven Bayesian belief networks for predicting employment after traumatic brain injury /"		"Jonathan Troadio A. Castro."	"Castro, Jonathan Troadio A."	"M.S."	"University of Washington"	"2004"	"041018s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 66 leaves :"			"56763166"
"Examining the feasibility and acceptability of a fall detection device /"		"Shomir Chaudhuri."	"Chaudhuri, Shomir,author."	"Ph. D."	"University of Washington"	"2015"	"150520t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 162 pages) :"	"Demiris, George,degree supervisor."	"http://hdl.handle.net/1773/33107"	"909647693"
"Qualitative assessment of hot debriefs for code teams at Seattle Children's Hospital /"		"Dongyang Chen."	"Chen, Dongyang,1993-author."	"M.S."	"University of Washington"	"2017"	"170914t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 69 pages) :"	"Gennari, John H.,degree supervisor."	"http://hdl.handle.net/1773/39905"	"1003655060"
"Understanding and facilitating patient expertise sharing /"		"Andrea L. Civan."	"Civan, Andrea L."	"Ph. D."	"University of Washington"	"2009"	"091029s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 271 pages :"			"461064905"
"Understanding and communicating spatially-oriented ontologies /"		"Melissa Clarkson."	"Clarkson, Melissa,1972-author."	"Ph. D."	"University of Washington"	"2014"	"150306t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (151 pages) :"	"Brinkley, James F.,III,degree supervisor."	"http://hdl.handle.net/1773/27420"	"904461747"
"NGSdb :"	"a NGS data management and analysis platform for comparative genomics /"	"Marea Cobb."	"Cobb, Marea,author."	"M.S."	"University of Washington"	"2015"	"151216t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (66 pages) :"	"Myler, Peter John,degree supervisor."	"http://hdl.handle.net/1773/33612"	"932349109"
"Evaluation of a computer-based system using cell phones for HIV positive people in Peru /"		"Walter H. Curioso."	"Curioso, Walter H."	"Ph. D."	"University of Washington"	"2012"	"121119s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (viii, 106 pages) :"	"Pratt, Wanda M.,degree supervisor.http://www.wikidata.org/entity/Q51953877"	"http://hdl.handle.net/1773/20614"	"818659406"
"Automated analysis and surveillance for STI/HIV online behavior /"		"Jonathan DeShazo."	"DeShazo, Jonathan."	"Ph. D."	"University of Washington"	"2009"	"091124s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 112 leaves :"			"469127732"
"Using systematic methods to model information behavior in gastro-intestinal research lab /"		"Anand Krushnakant Dharia."	"Dharia, Anand Krushnakant."	"M.S."	"University of Washington"	"2004"	"050523s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 84 leaves :"			"60426431"
"A rapid prototyping solution for annotating experimental results using the BioMediator system /"		"Loren J. Donelson."	"Donelson, Loren J."	"M.S."	"University of Washington"	"2004"	"041207s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 61 leaves :"			"57182046"
"Approaches and strategy for cancer research and surveillance data :"	"integration, information pipeline, data models, and informatics opportunities /"	"Paul A. Fearn."	"Fearn, Paul A.,author."	"Ph. D."	"University of Washington"	"2016"	"160810t20162016waub\\\\obm\\s000\0\eng\d"	"1 online resource (xvii, 242 pages) :"	"Tarczy-Hornoch, Peter,degree supervisor."	"http://hdl.handle.net/1773/36503"	"956461648"
"CELO :"	"a system for efficiently building informatics solutions to manage biomedical research data /"	"Christine Fong."	"Fong, Christine."	"M.S."	"University of Washington"	"2005"	"051130s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 98 leaves :"			"62385459"
"The Synthetic Biology Open Language a data exchange standard for biological engineering /"		"Michal Galdzicki."	"Galdzicki, Michal."	"Ph. D."	"University of Washington"	"2012"	"130710s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (x, 136 pages) :"	"Gennari, John H.,thesis advisor."	"http://hdl.handle.net/1773/22056"	"852428857"
