245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Variance component estimation of health behaviors in community intervention studies /"		"by Catherine Holly Allan-Andrilla."	"Allan-Andrilla, Catherine Holly."	"M.S."	"University of Washington"	"1990"	"910426s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 75 leaves "			"23613464"
"The spread of plant populations into empty habitats :"	"the theory of wind-dispersal /"	"by Mark Andersen."	"Andersen, Mark."	"M.S."	"University of Washington"	"1987"	"880516s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"36 leaves, 7 unnumbered leaves of plates :"			"17960438"
"Mismodelling covariates in Cox regression /"		"by Garnet L. Anderson."	"Anderson, Garnet L.,1959-"	"Ph. D."	"University of Washington"	"1989"	"891012s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 134 leaves :"			"20482245"
"Efficient deconvolution of episodic hormone data /"		"by Kevin Wade Anderson."	"Anderson, Kevin Wade,1956-"	"Ph. D."	"University of Washington"	"1991"	"920210s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 133 leaves :"			"25254074"
"Estimation of the genotypic parameters under nonnormal models /"		"by Mariza de Andrade."	"Andrade, Mariza de,1953-"	"Ph. D."	"University of Washington"	"1990"	"911022s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 111 leaves :"			"24605312"
"Nonparametric approaches to the reliability of psychometric tests in Alzheimer's disease /"		"by Alice M. Arnold."	"Arnold, Alice M.(Alice Marie),1950-"	"Ph. D."	"University of Washington"	"1992"	"930121s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 109 leaves :"			"27302752"
"Fetal macrosomia in King County, Washington /"		"by Marion W. Athearn."	"Athearn, Marion W."	"M.S."	"University of Washington"	"1987"	"870716s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 63 leaves, 18 unnumbered leaves of plates :"			"16203058"
"Standization of the clinical dementia rating (CDR) among 23 Alzheimer's disease study centers /"		"by Matthew Joseph Barnett."	"Barnett, Matthew Joseph."	"M.S."	"University of Washington"	"1992"	"921006s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 34 leaves :"			"26735030"
"Models of carbohydrate balance and translocation in trees /"		"by Susan Bassow."	"Bassow, Susan."	"M.S."	"University of Washington"	"1989"	"900809s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 141 leaves :"			"22201879"
"The effect of changing tumor lethality and toxicity in carcinogenesis testing /"		"by James L. Bentley."	"Bentley, James L."	"M.S."	"University of Washington"	"1987"	"880525s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 92 leaves :"			"18001880"
"Tax assessment data as a measure of socioeconomic status :"	"an analysis of survival following out-of-hospital cardiac arrest /"	"by Paul Boutin."	"Boutin, Paul."	"(37"	"38)--University of Washington"	"1990"	"910424s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 38 leaves "			"23601573"
"Generalized estimating equations for censored multivariate failure time data /"		"by Jianwen Cai."	"Cai, Jianwen,1963-"	"Ph. D."	"University of Washington"	"1992"	"920721s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 154 leaves :"		"http://hdl.handle.net/1773/9581"	"26228923"
"The effects of modifying FDA statistical standards on the drug approval process /"		"by Sonia C. Castillo."	"Castillo, Sonia C.(Sonia Cecilia),1963-"	"Ph. D."	"University of Washington"	"1993"	"940405s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 165 leaves :"			"30091513"
"Nonlinear parameter estimation for linked pharmacokinetic-pharmacodynamic models :"	"a comparison of a ""One-Step"" and ""Two-Step"" method assuming specified and misspecified variance models /"	"by Virginia Fitzpatrick Chisum."	"Chisum, Virginia Fitzpatrick."	"M.S."	"University of Washington"	"1988"	"880622s1988\\\\xx\af\\\\bm\\\000\0\eng\d"	"v, 67 leaves, 6 unnumbered leaves of plates :"			"18122416"
"Stochastic models for DNA sequence data /"		"by Gary A. Churchill."	"Churchill, Gary A."	"Ph. D."	"University of Washington"	"1988"	"890331s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 129 leaves :"			"19483302"
"An adaptive case-cohort design /"		"by Marcia Aparecida Ciol."	"Ciol, Marcia Aparecida."	"Ph. D."	"University of Washington"	"1991"	"911016s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 133 leaves :"			"24574203"
"A study of the distribution of age at time of diagnosis of patients with Wilms' tumor /"		"by Marcia Aparecida Ciol."	"Ciol, Marcia Aparecida."	"M.S."	"University of Washington"	"1987"	"880602s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 50 leaves :"			"18034072"
"Nonparametric regression analysis of the Ames mutagenicity assay /"		"by John B. Cologne."	"Cologne, John B."	"Ph. D."	"University of Washington"	"1989"	"900809s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 149 leaves :"			"22201875"
"Characterizing the elastase-antiprotease balance in the adult respiratory distress syndrome :"	"a study of the bronchoalveolar lavage fluid /"	"by Danni S. Daniels."	"Daniels, Danni S."	"M.S."	"University of Washington"	"1990"	"910730s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 52 leaves :"			"24155278"
"A conditional logistic regression model for the onset of riverine salmon migrations /"		"by Martin William Dorn."	"Dorn, Martin William,1955-"	"M.S."	"University of Washington"	"1989"	"900116s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 74 leaves, 15 unnumbered leaves of plates :"			"20907446"
"Inferring treatment effect from observational studies :"	"adjustment by prognostic variables vs the propensity score /"	"by Christiana Drake."	"Drake, Christiana(Christiana Maria),1956-"	"Ph. D."	"University of Washington"	"1989"	"900504s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 66 leaves "			"21479295"
"Parameter estimation following group sequential hypothesis testing /"		"by Scott S. Emerson."	"Emerson, Scott S."	"Ph. D."	"University of Washington"	"1988"	"890406s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 161 leaves :"			"19502965"
"Efficient estimation in the generalized semilinear model /"		"by Mary Jane Emond."	"Emond, Mary Jane."	"Ph. D."	"University of Washington"	"1993"	"940119s1993\\\\xx\a\\\\\bmt\\000\0\eng\d"	"viii, 178 pages :"		"http://hdl.handle.net/1773/9543"	"29649143"
"An analysis of longitudinal models /"		"by Gilbert W. Fellingham."	"Fellingham, Gilbert W."	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xviii, 172 leaves :"			"24222536"
"Time-space cluster analysis with covariates /"		"by Jonathan B. Fields."	"Fields, Jonathan B."	"M.S."	"University of Washington"	"1987"	"880516s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 90 leaves "			"17960406"
"Neuropathological characteristics of Alzheimer's disease using classification and regression trees /"		"by Robert B. Fletcher."	"Fletcher, Robert B."	"M.S."	"University of Washington"	"1990"	"910716s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 114 leaves :"			"24082675"
"Estimating confidence intervals for the kappa statistic :"	"a comparison of the bootstrap and usual methods /"	"by Josephine Fong."	"Fong, Josephine."	"M.S."	"University of Washington"	"1992"	"930505s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 43 leaves :"			"28050955"
"Effects of human and environmental factors on hair arsenic content /"		"by Kristin Fossum."	"Fossum, Kristin."	"M.S."	"University of Washington"	"1991"	"920129s1991\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 76 leaves :"			"25182601"
"Effects of the demographic, anthropometric, familial and lifestyle variables on systolic and diastolic blood pressures /"		"by Lydia May Garner."	"Garner, Lydia May."	"M.S."	"University of Washington"	"1988"	"900108s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 81 leaves "			"20859701"
"Analysis of the Clayton-Oakes model :"	"a generalized maximum likelihood approach /"	"by David Glidden."	"Glidden, David."	"Ph. D."	"University of Washington"	"1993"	"940509s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 106 leaves "			"30407128"
"Monte Carlo methods in quantitative genetics /"		"by Sun Wei Guo."	"Guo, Sun Wei,1957-"	"Ph. D."	"University of Washington"	"1991"	"920331s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 130 leaves :"			"25566954"
"Unifying concepts in tree water relations /"		"by Jacqueline Lauren Haskins."	"Haskins, Jacqueline Lauren."	"M.S."	"University of Washington"	"1989"	"900807s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 188 leaves, 52 unnumbered leaves of plates :"			"22193351"
"Hydrogen peroxide-producing lactobacilli in the prevention of bacterial vaginosis, Trichomonas vaginalis, and vaginal yeast infection /"		"by Stephen Edward Hawes."	"Hawes, Stephen Edward."	"M.S."	"University of Washington"	"1993"	"940502s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 105 leaves :"			"30366925"
"The effect of smoking cessation on survival of older adults with coronary artery disease /"		"by Bonnie K. Hermanson."	"Hermanson, Bonnie K."	"M.S."	"University of Washington"	"1987"	"880622s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 40 leaves :"			"18121711"
"Non-treatment in locally staged colorectal cancer :"	"an assessment of patient characteristics /"	"by Hideyo Hirose."	"Hirose, Hideyo."	"M.S."	"University of Washington"	"1987"	"880526s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 58 leaves "			"18006697"
"A study of a proposed method of cladistic analysis of phenotypic associations /"		"by Marla Hoffman."	"Hoffman, Marla."	"M.S."	"University of Washington"	"1991"	"911016s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 76 leaves :"			"24569775"
"Variance adjustments for regression coefficients in logistic regression analysis of sample survey data with varying probability of selection /"		"by Peter Holck."	"Holck, Peter."	"M.S."	"University of Washington"	"1992"	"930208s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 26 leaves :"			"27396460"
