245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Developing digital project delivery routines around frequent disruptions :"	"how do AEC organizations respond to disruptive information exchange requirements? /"	"Hamid Abdirad."	"Abdirad, Hamid,author.http://www.wikidata.org/entity/Q101242292"	"Ph. D."	"University of Washington"	"2020."	"200914t20202020waua\\\\obm\\s000\0\eng\c"	"1 online resource (ix, 146 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/45864"	"1195596473"
"Visualization, communication, and copresence :"	"using building information models in virtual worlds /"	"Ansel K. Anderson."	"Anderson, Ansel K.,author.http://www.wikidata.org/entity/Q106826975"	"Ph. D."	"University of Washington"	"2015"	"151216t20152015waua\\\\obm\\s000\0\eng\c"	"1 online resource (ix, 121 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/33627"	"932352021"
"Integrating human health, ecology and built environment design :"	"a TDAR Gardens Intervention case study with an informal slum community in the Peruvian Amazon. /"	"Leann Andrews."	"Andrews, Leann,author."	"Ph. D."	"University of Washington"	"2018."	"190129t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (84 numbered, 18 unnumbered pages) :"	"Yocom, Kenneth(Kenneth Peter),1973-degree supervisor.http://www.wikidata.org/entity/Q104093612"	"http://hdl.handle.net/1773/42985"	"1083548453"
"Identifying valued community resilience indicators and dimensions for King County /"		"Emma Argiroff."	"Argiroff, Emma,author."	"M. Urban Plan."	"University of Washington"	"2018"	"181204t20182018waua\\\\obm\\s000\0\eng\\"	"1 online resource (86 pages) :"	"Grover, Himanshu,degree supervisor.http://www.wikidata.org/entity/Q99463762;Born, Branden M.,degree committee member.http://www.wikidata.org/entity/Q101539490"	"http://hdl.handle.net/1773/42215"	"1077480033"
"An evaluation framework for the integrated design process of sustainable high-performance buildings /"		"Rahman Azari Najafabadi."	"Azari, Rahman,1979-author."	"Ph. D."	"University of Washington"	"2013"	"140912t20132013waua\\\\obdm\s000\0\eng\c"	"1 online resource (ix, 156 pages) :"	"Kim, Yong-Woo,1972-degree supervisor.http://www.wikidata.org/entity/Q105284102"	"http://hdl.handle.net/1773/23344"	"890493255"
"Under the bridge :"	"utilizing covered liminal spaces for sanctioned homeless encampments in the city of Seattle /"	"Maxwell Baker."	"Baker, Maxwell,1987-author."	"M. Urban Plan."	"University of Washington"	"2016"	"160810t20162016wauab\\\obm\\s000\0\eng\d"	"1 online resource (156 pages) :"	"Chalana, Manish,degree supervisor.http://www.wikidata.org/entity/Q101575397"	"http://hdl.handle.net/1773/36509"	"956463655"
"Alley imagination :"	"building community resilience into linear neighborhood spaces in Tacoma /"	"Clara Cheeves."	"Cheeves, Clara,author."	"M. Urban Plan."	"University of Washington"	"2020."	"210402t20202020wauab\\\obm\\s000\0\eng\d"	"1 online resource (60 pages) :"	"Abramson, Daniel(Daniel Benjamin),1963-degree supervisor."	"http://hdl.handle.net/1773/46391"	"1244554869"
"Re-presenting antiquity as distinction :"	"Pre-Arab pasts in Tunis' colonial, postcolonial and contemporary built environments /"	"Daniel E. Coslett."	"Coslett, Daniel E.,author."	"Ph. D."	"University of Washington"	"2017"	"170918t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xxii, 592 pages) :"	"McLaren, Brian L.,degree supervisor."	"http://hdl.handle.net/1773/39969"	"1004244105"
"Developing a quantitative method for the measurement of public life-supportive urban form :"	"eight test sites and applications in Seattle, WA and Copenhagen, Denmark /"	"Ian Crozier."	"Crozier, Ian,author."	"M. Urban Plan."	"University of Washington"	"2017"	"170918t20172017wauab\\\obm\\s000\0\eng\d"	"1 online resource (iv, 76 pages) :"	"Berney, Rachel,degree supervisor.http://www.wikidata.org/entity/Q101579952"	"http://hdl.handle.net/1773/39965"	"1004241088"
"The relationship of built environment and weather with bike share :"	"evidence from the Pronto Bike Share System in Seattle /"	"Wei Ding."	"Ding, Wei,author."	"M. Urban Plan."	"University of Washington"	"2016"	"160810t20162016wauab\\\obm\\s000\0\eng\d"	"1 online resource (90 pages) :"	"Bae, Chang-Hee Christine,degree supervisor."	"http://hdl.handle.net/1773/36508"	"956462908"
