245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"An examination of Canadian banking ..."			"Aitken, James."	"M.B.A."	"University of Washington"		"890728s1928\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 306 leaves"			"20082498"
"Some phases of commercial competition in the Pacific ..."			"Bachelor, Robert Willard."	"M.B.A."	"University of Washington"		"890804s1922\\\\xx\a\\\\\bm\\\000\0\eng\d"	"216, x leaves"			"20125844"
"History of public school revenues and their apportionment in California."			"Baker, Carl Oscar."	"M.A."	"University of Washington"		"890728s1927\\\\xx\a\\\\\bm\\\000\0\eng\d"	"122 leaves"			"20083446"
"Elementary accounting principles and bookkeeping methods /"		"by Lee Cleveland Ball."	"Ball, Lee Cleveland,author."	"M.B.A."	"University of Washington"	"1930."	"191017s1930\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (226 pages)"		"http://hdl.handle.net/1773/44616"	"1123219023"
"Elementary accounting principles and bookkeeping methods ..."			"Ball, Lee Cleveland."	"M.B.A."	"University of Washington"		"890705s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"226 leaves"			"19961740"
"The establishment of an employment reporting service for Washington ..."			"Ballaine, Wesley Charles."	"M.B.A."	"University of Washington"		"890705s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"66 leaves"			"19961480"
"Effecta repartitio ..."			"Baumgartner, Grace."	"M.A."	"University of Washington"		"890728s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"130 leaves"			"20083043"
"Investments of some endowed colleges ..."			"Bibb, Thomas William,1884-"	"M.A."	"University of Washington"		"890728s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves"			"20082359"
"A study of trade of the Port of New Orleans ..."			"Bohan, Richard Timothy."				"961010s1925\\\\xx\ab\\\\bm\\\000\0\eng\d"	"75 leaves"			"35712416"
"A system of branch accounting for a chain of retail grocery stores ..."			"Butterbaugh, Grant Illion."	"M.B.A."	"University of Washington"		"890804s1923\\\\xx\k\\\\\m\\\\000\0\eng\d"	"152 leaves"			"20125750"
"Eight years of labor banking ..."			"Bye, John O."	"M.A."	"University of Washington"		"890622s1928\\\\xx\a\\\\\bm\\\000\0\eng\d"	"176 leaves"			"19908699"
"Financing the pulp and paper industry on the Pacific Coast ..."			"Calhoun, Charles Eliot."	"M.B.A."	"University of Washington"		"890718s1930\\\\xx\af\\\\bm\\\000\0\eng\d"	"205 leaves including plates, tables"			"20026762"
"A process for recording and analyzing chain store value facts ..."			"Capen, Donald Frank."	"M.B.A."	"University of Washington"		"890619s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"186 leaves"			"19891261"
"The analysis of the foreign trade of the Philippine Islands and some contructive measures for its development ..."			"Carbajosa y Carbajal, Vicente."				"961010s1924\\\\xx\d\\\\\bm\\\000\0\eng\d"	"167 [2] leaves"			"35712380"
"Ratios in bank credit analysis ..."			"Carroll, Frank Samuel."	"M.B.A."	"University of Washington"		"890613s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"155 leaves"			"19861731"
"The international aspect of the Chinese silk industry."			"Chang, Pei Yuan."				"961031s1927\\\\xx\abf\\\bm\\\000\0\eng\d"	"136 leaves"			"35827907"
"The labour movement in China ..."			"Chu, Tung Chi."	"M.B.A."	"University of Washington"		"890727s1928\\\\xx\a\\\\\bm\\\000\0\eng\d"	"125 leaves"			"20078017"
"A study in a bank failure ..."			"Clark, Herald Ray."	"M.A."	"University of Washington"		"890818s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"37 leaves"			"20211521"
"Governmental attempts to curb the monopoly of the Aluminum company of America."			"Coleman, Raymond W."				"961021s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"46 leaves"			"35769621"
"Chain and group banking ..."			"Craig, Willard Maxson."	"M.B.A."	"University of Washington"		"890705s1931\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iv, 113 leaves"			"19961311"
"The relation of the Panama canal to certain economic problems of western United States."			"Crumbaker, Calvin."				"960627s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"122 leaves"			"34999734"
