245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
A study of the critical heat flux in an accelerating pool boiling system.			"Adams, Jim Mills."		Ph. D.	University of Washington		820105s1962\\\\xx\\\\\\\bm\\\000\0\eng\d	150 pages			8040574
The effect of acceleration on the peak heat flux in nucleate pool boiling.			"Adams, Jim Mills,1936-"		M.S. in E.	University of Washington		890607s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	"39, [10] leaves"			19829143
Design of packed bed catalytic reactors uding a digital computer.			"Almond, James Clayton,1933-"		M.S. in Chem. E.	University of Washington		890603s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	"50, [16] leaves"			19808127
Design studies of dust removal in a venturi scrubber.			"Anderson, C. Robert."		M.S. in Chem. E.	University of Washington		890602s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	61 leaves			19805678
Rate of decomposition of magnesium nitrate in a fluidized bed.			"Anderson, David M."		M.S. in Chem. E.	University of Washington		890602s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	54 leaves			19805622
Mutual diffusion in associated binary liquid mixtures.			"Anderson, Donald K.(Donald Keith),1931-"		Ph. D.	University of Washington		890531s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	101 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6004273	19789904
Non-crystalline cellulose characterizations.			"Anderson, Nils Theodore."		M.S. in Chem. E.	University of Washington		890602s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	37 leaves			19805706
Part I. Thermodynamic studies in the system: cellulose - water. Part II. Nuclear magnetic resonance studies in the system: cotton linters - water.			"Anderson, Nils Theodore,1935-"		Ph. D.	University of Washington		890531s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	179 leaves			19789759
Preparation of titanium boride by the electrolysis of fused salts.			"Ardeshir, Farhad Shiavak."		M.S. in Chem. E.	University of Washington		890717s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	67 leaves			20019805
"The production, movement and evaporation of sprays in spray dryers."			"Arni, Venkata Rao Sahib,1926-"		Ph. D.	University of Washington		890717s1960\\\\xx\a\\\\\m\\\\000\0\eng\d	261 leaves			20019870
"Effect of gaseous environment, surface area, and temperature on the devitrification of vitreous silica."			"Asplin, Lyle Irving."		M.S. in Chem. E.	University of Washington		890717s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	58 leaves			20019787
An interferometric study of mass transfer during drop formation.			"Atwood, Glenn Arthur,1935-"		Ph. D.	University of Washington		890607s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	120 leaves			19828764
Formulation and solution of the exponential pile equations with fast and thermal extraneous sources.			"Behrendt, George H. W."		M.S. in E.	University of Washington		890607s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	54 leaves			19829037
Material buckling measurements in a subcritical uranium-graphite reactor.			"Blyckert, Warner Adolph."		M.S. in E.	University of Washington	1960	960625s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	49 leaves			34987414
Maximum stable drop size in Taylor vortices.			"Bromfeld, Frederick Solomon,1938-"		M.S. in Chem. E.	University of Washington		890607s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	25 leaves			19828218
Analog simulation of non-steady state fluid flow problems.			"Cambio, Ronald Thomas."		M.S. in Chem. E.	University of Washington		890717s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	42 leaves			20019763
Extraction of pertechnetate in a purex process.			"Campbell, Milton Hugh."		M.S. in E.	University of Washington		890706s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	41 leaves			19968020
Mathematical simulation of the transient behavior of a pulsed sieve-plate solvent extraction column.			"Champagne, Francis Henry."		M.S. in Chem. E.	University of Washington		890620s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	105 leaves			19897615
Condensing heat transfer coefficients inside a sloping tube.			"Chang, Allison S."		M.S. in Chem. E.	University of Washington		890620s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	67 leaves			19897545
The effect of the various sulfite delignification conditions on the yield of cellulose and the molecular weights of the lignin sulfonates.			"Chang, Min-Cheng Gerald."		M.S. in Chem. E.	University of Washington		890620s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	41 leaves			19897563
"The material buckling temperature coefficient of a natural uranium, graphite moderated, water cooled, exponential pile."			"Cowan, Charles Lee."		M.S. in E.	University of Washington		890717s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	78 leaves			20019687
Evaluation of chlorine inhibition of graphite oxidation as a reactor safeguard.			"Dahl, Roy Edward."		M.S. in E.	University of Washington		890728s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	44 leaves			20082173
"Heat transfer and pressure drop for high quality steam-water mixtures flowing in a horizontal, rectangular duct, heated on one side."			"Davis, Earl James,1934-"		Ph. D.	University of Washington		890727s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	210 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6005961	20079026
Equilibrium studies of the system Fe -Ca⁺ H⁺ -Dowex 50W-X8.			"Eatough, Norman LeRoy."		M.S. in Chem. E.	University of Washington		890727s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	71 leaves			20079000
