245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A spectroscopic study of selected diphenyl and triphenylmethane dyes."			"Adam, Frank Cuthbert,1927-"	"Ph. D."	"University of Washington"		"890531s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"122, [1] leaf"			"19786805"
"Preparation of ethyl 2-t-butoxycyclopropenecarboxylate."			"Akiyama, James Kozo."	"M.S."	"University of Washington"		"890601s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"48, [1] leaf"			"19795349"
"Compleximetric determination of calcium and magnesium in sea water."			"al Kadhim, Zahida."	"M.S."	"University of Washington"		"890628s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19936423"
"Part I: The reaction of 2-bromocyclopropanecarboxylates with strong bases. Part II: The reaction of cyclopropene and triphenylmethyl salts."			"Albin, Jerry Richard,1933-"	"Ph. D."	"University of Washington"		"890531s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"125, [1] leaf"			"19786847"
"The structures of low molecular weight lignin-like sulfonates."			"Andrus, G. Merrill,1925-"	"Ph. D."	"University of Washington"		"890714s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"152, [1] leaf"			"20007133"
"Reflection spectra of molecular crystals."			"Anex, Basil Gideon,1931-"	"Ph. D."	"University of Washington"		"890714s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139, [1] leaf"			"20007073"
"Radiative capture of alpha particles and deuterons at energies up to 40 Mev."			"Ball, James Bryan,1932-"	"Ph. D."	"University of Washington"		"890714s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"99, [1] leaf"			"20007078"
"The electronic spectra and structures of the carboxyl group and related systems."			"Barnes, Edwin Ellsworth,1929-"	"Ph. D."	"University of Washington"		"890714s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"189 leaves"			"20007052"
"Infrared intensities and bond moments in CH₃F and CD₃F."			"Barnett, Gordon Dean,1924-"	"Ph. D."	"University of Washington"		"890714s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78, [1] leaf"			"20007112"
"Interactions of diffusing species in polargraphic studies."			"Beilby, Alvin Lester,1932-"	"Ph. D."	"University of Washington"		"890531s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"71, [1] leaf"			"19786862"
"A study of model compounds of DPN and DPNH,"		"by Gerald Berkelhammer."	"Berkelhammer, Gerald,1931-"	"Ph. D."	"University of Washington"	"1957"	"951206s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"108, [1] leaf"			"33861525"
"A thermogravimetric study of 5-substituted barbituric acids and salts."	"Thermogravimetric analysis: temperature limits and rate of heating."		"Berlin, Alexandre,1935-"	"Ph. D."	"University of Washington"		"890626s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"155 leaves"			"19924313"
"Study of the 30-43-Mev He-ion induced formation of Be⁷ from Al²⁷, O¹⁶ and other light elements."			"Bouchard, George Henry."	"M.S."	"University of Washington"		"890626s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"40 leaves"			"19924253"
"Sodium diphenylamine sulfonate as an analytical reagent for ozone."			"Bovee, Harley Howard,1918-"	"Ph. D."	"University of Washington"		"890626s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84, [1] leaf"			"19924267"
"A mechanistic study of acetal hydrolysis."			"Brownawell, Darrell William,1933-"	"Ph. D."	"University of Washington"		"890628s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"86 leaves"			"19935732"
"A preliminary investigation of some free radical reactions of azulene."			"Chang, Gerald Min-Cheng."	"M.S."	"University of Washington"		"890616s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"30 leaves"			"19879050"
"Bicyclo[1.1.0]butane."			"Ciula, Richard Paul."	"Ph. D."	"University of Washington"		"890616s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19879608"
"A study of the synthesis of bicyclic small ring compounds."			"Colby, Thomas Harold,1931-"	"Ph. D."	"University of Washington"		"890714s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"132, [1] leaf"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:5802135"	"20007088"
"A high precision adsorption apparatus,"		"by George Constabaris."	"Constabaris, George,1924-"	"Ph. D."	"University of Washington"	"1957"	"951206s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"181, [1] leaf"			"33862804"
"Solvent and substituent effects on the ultraviolet spectra of some para disubstituted benzene derivatives."			"Craven, James Milton,1930-"	"Ph. D."	"University of Washington"		"890714s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"181, [1] leaf"			"20007065"
"The unimolecular decomposition of vibrationally excited secondary butyl radicals."			"Diesen, Ronald William,1931-"	"Ph. D."	"University of Washington"		"890602s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19803766"
"A radiocarbon dating system"	"measurements of the C¹⁴ activity of sequoia rings."		"Dorn, Thomas Felder,1933-"	"Ph. D."	"University of Washington"		"890602s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"143, [2] leaves"			"19803877"
"Part I: Studies related to the structure and synthesis of rubrofusarin."	"Part II: Spectral correlations of xanthone derivatives."		"Dreyer, David Leonard,1930-"	"Ph. D."	"University of Washington"		"890602s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"173 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6004282"	"19804059"
"Vapor pressures of aluminum chloride, aluminum bromide and the mixed halide phase Al₂Br₂Cl₄."			"Dunne, Thomas Gregory,1930-"	"Ph. D."	"University of Washington"		"890602s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71, [3] leaves"			"19803689"
"The behavior of azulene with nucleophilic species."			"Elvigan, Leonard Roger,1935-"	"M.S."	"University of Washington"		"890726s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"19 leaves"			"20070875"
"A study of the infrared spectral intensities of the hydrogen sulfide molecule."			"Emerson, Merle Thomas,1930-"	"Ph. D."	"University of Washington"		"890726s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81, [1] leaf"			"20070854"
"Part I: The acidity function, H₀, in acetic acid-water mixtures."	"Part II: A kinetic study of the chromic acid oxidation of diphenylmethane."		"Evans, Robert John,1928-"	"Ph. D."	"University of Washington"		"890626s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90, [1] leaf"			"19924287"
