245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Fluid mechanics of fish guidance."			"Abiodun, Adigun Adegoke,1939-"	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"49 leaves"			"228410074"
"Pore pressure components in cohesive soils."			"Ali, Ahmed Osman."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"82 leaves"			"228410051"
"Coefficients of lateral pressure in preconsolidated clays."			"Awad, I. S.(Isam Shehadeh),1939-"	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"69 leaves"			"228410075"
"Analysis of emerging transportation demands in the Sudan."			"Bakhreiba, Mohamed Salih."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"76 leaves"			"228410052"
"The influence of signs and markings on driver behavior at a two land freeway off-ramp /"		"by Victor Harold Bishop."	"Bishop, Victor H."	"M.S."	"University of Washington"	"1966"	"971210s1966\\\\xx\ad\\\\bm\\\000\0\eng\d"	"vii, 87 leaves :"			"38065705"
"Moment rotation behavior of high tensile bolted structural joints functioning as friction connections."			"Brookhart, George Clinton."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"61 leaves"			"228410048"
"Numerical solution for plane problems of classical elastostatics using an integral equation formulation."			"Chang, Edward Chung-cheng."	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"45 leaves"			"228411850"
"Information system for university classroom assignment."			"Clark, William Lewis."	"M.S.E."	"University of Washington"		"080521s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"94 leaves"			"228429459"
"Dynmic system for producing simulated atmospheres."			"Cooper, Hal B. H."	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"88 leaves"			"228410054"
"An investigation of methods of signalizing left turning movements at channelized intersections /"		"by Barry William Fairfax."	"Fairfax, Barry W."	"M.S."	"University of Washington"	"1966"	"971211s1966\\\\xx\ad\\\\bm\\\000\0\eng\d"	"ix, 58 leaves :"			"38070572"
"Physical properties of soil mixtures."			"Gaafar, Kamal."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"92 leaves"			"228410057"
"Disposal of industrial wastes in large sewer systems and the drafting of appropriate rules and regulations."			"Gibbs, Charles Virgil."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"75 leaves"			"228410058"
"Review of the shakedown of structures."			"Haddadin, Munther Jeries,1940-"	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"129 leaves"			"228413732"
"Strength of T and L-beams with longitudinal reinforcement in combined torsion, bending, and shear."			"Hamilton, Michael Ernest."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"90 leaves"			"228410059"
"Diagonal tension cracking in reinforced concrete T-beams."			"Haynes, Harvey Hilbert."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"75 leaves"			"228410077"
"Analysis of rectangular plates with two edges simply supported and two edges supported by columns."			"Helms, Frederick Randolph."	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"65 leaves"			"228410049"
"Shear transfer in previously cracked reinforced concrete."			"Hofbeck, Joseph Allen."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"55 leaves"			"228412726"
"Financing of municipal street improvements in the State of Washington."			"Hoffman, Donald Lee."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"62 leaves"			"228410078"
"Finite-difference analysis of large axisymmetric deformation of thin orthotropic shells of revolution."			"Hubka, Ralph Eldon."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"90 leaves"			"228410060"
"Effect of a single resonant expansion chamber on the propagation of long waves in a channel /"		"by Robert Turner Hudspeth."	"Hudspeth, Robert T."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\a\\\\\am\\\000\0\eng\d"	"39 leaves :"			"228410079"
"Investigation of composite beams without shear on the interface."			"Hyde, Larry L."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"109 leaves"			"228410061"
"Comparison of soil-cement stabilization with bitumious-soil stabilization."			"Jain, SahibDayal."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"57 leaves"			"228410062"
"Water resource management in the state of Oregon."			"Jensen, Joseph Ashby."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"78 leaves"			"228410080"
