245$a	245$b	245$c	100	wikidata100	502$b	502$c	502$d	008	300$a	700	Wikidata	856$u	001
Monstrous texts and textual monsters :	transgressive hybridity in Ovid's Metamorphoses /	Sophie Emilia Seidler.	"Seidler, Sophie Emilia,author.http://www.wikidata.org/entity/Q107145141"	Q107145141	M.A.	University of Washington	2020.	210427t20202020wau\\\\\obm\\s000\0\eng\d	"1 online resource (3 unnumbered pages, 96 pages)"	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/46422	1247949416
"Gods and humans in Ovid's ""Metamorphoses"" :"	constructions of identity and the politics of status /	Ethan T. Adams.	"Adams, Ethan T."		Ph. D.	University of Washington	2003	030611s2003\\\\xx\\\\\\\bm\\\000\0\eng\d	"iv, 293 leaves"			http://hdl.handle.net/1773/11479;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3079200	52416358
The origin and employment of a foreign eschatological concept in archaic Greek literature /		by Garth Alford.	"Alford, Garth."		Ph. D.	University of Washington	1987	871208s1987\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 183 leaves"				17203335
Apuleius' political animal :	a socio-cultural reading of identity in the Metamorphoses /	Ashli Jane Elizabeth Baker.	"Baker, Ashli Jane Elizabeth."		Ph. D.	University of Washington	2011	111014s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 300 leaves"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472077	756933548
The best of the Olympians :	the character of Apollo in the Homeric Epics and Hymns /	Edward M. Bertany.	"Bertany, Edward M.,author.http://www.wikidata.org/entity/Q107630576"	Q107630576	Ph. D.	University of Washington	2018.	190408t20182018wau\\\\\obm\\s000\0\eng\d	1 online resource (224 pages)	"Levaniouk, Olga,1971-degree supervisor.http://www.wikidata.org/entity/Q90070146"	Q90070146	http://hdl.handle.net/1773/43341	1091905965
A model of conflict :	the metonymic function of stasis in Xenophon's Hellenica /	Richard Fernando Buxton.	"Buxton, Richard Fernando."		Ph. D.	University of Washington	2010	110516s2010\\\\xx\a\\\\\bm\\\000\0\eng\d	"ii, 272 pages"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443181	724136122
The oath in epic poetry /		by Cathy L. Callaway.	"Callaway, Cathy L."		Ph. D.	University of Washington	1990	910322s1990\\\\xx\\\\\\\bmt\\000\0\eng\d	"iv, 296 leaves"			http://hdl.handle.net/1773/11449;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9104206	23283140
I do what I want :	freedom and power in classical Athens /	Naomi Esther Campa-Thompson.	"Campa-Thompson, Naomi Esther,author."		Ph. D.	University of Washington	2014	141029t20142014waua\\\\obm\\s000\0\eng\d	1 online resource (137 pages) :	"Blondell, Ruby,1954-degree supervisor.http://www.wikidata.org/entity/Q55154421"	Q55154421	http://hdl.handle.net/1773/26267	893999065
The honey bee and apian imagery in classical literature /		Rachel D. Carlson.	"Carlson, Rachel D.,author."		Ph. D.	University of Washington	2015	150520t20152015wau\\\\\obm\\s000\0\eng\d	1 online resource (159 pages)	"Clauss, James Joseph,degree supervisorhttp://www.wikidata.org/entity/Q67928352"	Q67928352	http://hdl.handle.net/1773/33129	909635565
Herkos Athe?naio?n :	"the Ajax myth, the Trojan War, and civic ideology in fifth-century Athens /"	Charles D. Carver.	"Carver, Charles D.,author.http://www.wikidata.org/entity/Q107692898"	Q107692898	Ph. D.	University of Washington	2018.	190206t20182018wau\\\\\obm\\s000\0\eng\d	1 online resource (184 pages)	"Blondell, Ruby,1954-degree supervisor.http://www.wikidata.org/entity/Q55154421"	Q55154421	http://hdl.handle.net/1773/43009	1084662465
