245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Fiction of Katab Yacine"	"a study in Afro-occidentalism."		"Aresu, Bernard,1944-"	"Ph. D."	"University of Washington"		"890525s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"194 leaves"			"19761491"
"The other voice :"	"an introduction to the phenomenology of metamorphosis /"	"by Husain Jameel Bargouti."	"Bargouti, Husain Jameel."	"Ph. D."	"University of Washington"	"1992"	"920722s1992\\\\xx\\\\\\\bmt\\000\0\eng\d"	"ii, 195 leaves "		"http://hdl.handle.net/1773/6684"	"26236849"
"The myth of woman in Baudelaire and Blok."			"Beamish-Thireit, Françoise Marie-Odile,1939-"	"Ph. D."	"University of Washington"		"890517s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"243 leaves"			"19717899"
"An examination of narrative strategy in A la recherche du temps perdu and A dance to the music of time."			"Bjornson, Barbara Ann,1938-"	"Ph. D."	"University of Washington"		"890510s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"201 leaves"			"19686330"
"""Come Vivo Scrivo"" :"	"Lalla Romano's works between experimentation and autobiographism /"	"by Flavia Brizio."	"Brizio-Skov, Flavia."	"Ph. D."	"University of Washington"	"1988"	"890301s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 165 leaves :"			"19283848"
"Edgar Allan Poe :"	"an extreme example of a romantic tendency of thought /"	"by Carola E. Bussman."	"Bussman, Carola E."	"M.A."	"University of Washington"	"1986"	"860925s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"49 leaves "			"14263831"
"Fictionality and reality in narrative discourse :"	"a reading of four contemporary Taiwanese writers /"	"by Li-fen Chen."	"Chen, Lifen."	"Ph. D."	"University of Washington"	"1990"	"900809s1990\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 307 leaves "		"http://hdl.handle.net/1773/6624;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9025990"	"22201794"
"Feng Chih: a study of the ascent and decline of his lyricism (1920-1959)."			"Cheung, Dominic,1943-"	"Ph. D."	"University of Washington"		"890512s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"223 leaves"			"19696650"
"Melodrama and tragedy in Yüan tsa-chü /"		"by Ping-cheung Cheung."	"Cheung, Ping-cheung."		"University of Washington"		"801120s1980\\\\xx\\\\\\\bmt\\000\0\eng\d"	"ii, 354 leaves "		"http://hdl.handle.net/1773/6628"	"6960102"
"Spatial form and the Chinese long vernacular Hsiao-shuo /"		"by Kuei-fen Chiu."	"Chiu, Kuei-fen."	"Ph. D."	"University of Washington"	"1990"	"910813s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 247 leaves :"			"24229464"
"The teller in the tale :"	"the Eye's I in four novels by Doris Lessing and Carmen Martin Gaite /"	"by Linda Eileen Chown."	"Chown, Linda Eileen."	"Ph. D."	"University of Washington"	"1986"	"870128s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"418 leaves "			"15125461"
"A comparative study of the anti-hero in Danish and American fiction."			"Christensen, Nadia Margaret,1937-"	"Ph. D."	"University of Washington"		"890606s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"222 leaves"			"19821500"
"The conceptist prose of Francisco de Quevedo and Sir Thomas Browne: the Suenos and Urne burial."			"Clamurro, William Henry."	"Ph. D."	"University of Washington"		"890512s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"218 leaves"			"19696669"
"A computer analysis of the Latin poetry of the fourth century /"		"by William Hammond Clow, Jr."	"Clow, William Hammond."	"Ph. D."	"University of Washington"	"1984"	"850219s1984\\\\xx\a\\\\\bmt\\000\0\eng\d"	"111 leaves :"		"http://hdl.handle.net/1773/6639"	"11707755"
"Federico García Lorca's Poeta en Nueva York"	"the fall into consciousness."		"Craige, Betty Jean."	"Ph. D."	"University of Washington"		"890525s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"212 leaves"	"García Lorca, Federico,1898-1936.Poeta en Nueva York.English."		"19761511"
"The temptation of Saint George :"	"a critical study of the 1880's novels of Bernard Shaw /"	"by David Decker."	"Decker, David."	"Ph. D."	"University of Washington"	"1988"	"890830s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 278 leaves "			"20282331"
"Le Lieu privilégié in Bécquer and Ruskin /"		"by Eugene Francis Del Vecchio."	"Del Vecchio, Eugene Francis."		"University of Washington"		"790822s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 193 leaves "			"5298137"
