245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Mechanisms of B and T lymphocyte accumulation in tumor-draining lymph nodes /"		"Lauren M. Habenicht."	"Habenicht, Lauren M.,author."	"M.S."	"University of Washington"	"2016"	"160804t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (49 pages)"	"Ruddell, Margaret Alanna,degree supervisor."	"http://hdl.handle.net/1773/36470"	"954805853"
"Loss of Fnip1 results in renal cyst formation and synergizes with TSC1 loss to promote mTORC1 activation /"		"Ryan M. Centini."	"Centini, Ryan M.,author."	"M.S."	"University of Washington"	"2017"	"170914t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (43 pages) :"	"Iritani, Brian Masao,1962-degree supervisor."	"http://hdl.handle.net/1773/39909"	"1003655236"
"Evidence for minimal cardiogenic potential of Sca-1 positive cells in the adult mouse heart /"		"Lauren E. Neidig."	"Neidig, Lauren E.,author."	"M.S."	"University of Washington"	"2018"	"181127t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (28 pages) :"	"Murry, Charles E.,1959-degree supervisor."	"http://hdl.handle.net/1773/42161"	"1076364314"
"Conditional disruption of Hem-1 results in impaired development of alveolar macrophages, pulmonary alveolar proteinosis, and increased susceptibility to influenza virus infection /"		"Nutthakarn Suwankitwat."	"Suwankitwat, Nutthakarn,author."	"M.S."	"University of Washington"	"2019."	"200212t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 46 pages) :"	"Iritani, Brian Masao,1962-degree supervisor."	"http://hdl.handle.net/1773/45094"	"1140399653"
"A novel BOX maze learning paradigm measures sleep-induced cognitive impairment /"		"Kishore K. Mukherjee."	"Mukherjee, Kishore K.,author."	"M.S."	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (26 pages) :"	"Ladiges, Warren C.,1946-degree supervisor."	"http://hdl.handle.net/1773/44004"	"1117469611"
"Kinetics of the chronic stress response to stocking density and impacts on infectious hematopoietic necrosis virus mortality in rainbow trout /"		"Jenna J. Klug."	"Klug, Jenna J.,author."	"M.S."	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (42 pages) :"	"Kurath, Gael(Microbiologist),degree supervisor."	"http://hdl.handle.net/1773/44003"	"1117469422"
"Nutritional gel supplementation reduces weight loss and mortality in mice infected with influenza A/PR/8/34 virus /"		"Jessica Felgenhauer."	"Felgenhauer, Jessica,author."	"M.S."	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 39 pages) :"	"Frevert, Charles W.,degree supervisor."	"http://hdl.handle.net/1773/44005"	"1117469543"
"Hematopoietic stem cell-derived chimeric antigen receptor expressing cells traffic to HIV reservoir sites in SHIV-infected non-human primates /"		"Isaac M. Barber-Axthelm."	"Barber-Axthelm, Isaac M.,author."	"M.S."	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 126 pages) :"	"Kiem, Hans-Peter,degree supervisor."	"http://hdl.handle.net/1773/44002"	"1117469200"
"Resilience to acute sleep deprivation is associated with attenuation of hippocampal mediated learning impairment /"		"Amanda Lee."	"Lee, Amanda Y.author."	"M.S."	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 24 pages) :"	"Ladiges, Warren C.,1946-degree supervisor."	"http://hdl.handle.net/1773/45807"	"1193566288"
"Conditional disruption of Hem-1 results in impaired B cell development and aberrant antibody production /"		"Alan V. Avalos."	"Avalos, Alan Vinicio,author."	"M.S."	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 41 pages)  :"	"Iritani, Brian Masao,1962-degree supervisor."	"http://hdl.handle.net/1773/45806"	"1193561685"
