245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Abstractions for effectively portable shared memory parallel programs /"		"by Gail A. Alverson."	"Alverson, Gail A.,1964-"	"Ph. D."	"University of Washington"	"1990"	"910819s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 198 leaves :"			"24254011"
"Specification, simulation, and verification of timing behavior /"		"by Tod Amon."	"Amon, Tod,1963-"	"Ph. D."	"University of Washington"	"1993"	"940317s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 158 pages :"			"29981946"
"Operating system support for high performance multiprocessing /"		"by Thomas Edward Anderson."	"Anderson, Thomas E.,1961-"	"Ph. D."	"University of Washington"	"1991"	"920513s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 149 leaves :"			"25810475"
"Improving file access performance :"	"cache management for mapped files /"	"by Katherine Jean Armstrong."	"Armstrong, Katherine Jean."	"M.S."	"University of Washington"	"1990"	"910710s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 118 leaves :"			"24051119"
"The on-chip parallelism of VLSI circuits /"		"by Mary Lane Bailey."	"Bailey, Mary Lane."	"Ph. D."	"University of Washington"	"1989"	"900316s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 145 leaves :"			"21222784"
"Use of petri nets to model and test a control system /"		"by Alexandra R. Barke."	"Barke, Alexandra R."	"M.S."	"University of Washington"	"1990"	"910723s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 110 leaves :"			"24121259"
"Time-space tradeoffs for graph s-t connectivity /"		"by Gregory Barnes."	"Barnes, Gregory,1965-"	"Ph. D."	"University of Washington"	"1992"	"930413s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 75 leaves :"			"27909382"
"High performance cross-address space communication /"		"by Brian Nathan Bershad."	"Bershad, Brian Nathan,1965-"	"Ph. D."	"University of Washington"	"1990"	"910828s1990\\\\xx\a\\\\\bmt\\000\0\eng\d"	"ix, 140 leaves :"		"http://hdl.handle.net/1773/6939;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9108440"	"24304356"
"Scaling issues in multiprocessor memory hierarchies /"		"by Jonathan L. Bertoni."	"Bertoni, Jonathan L.,1959-"	"Ph. D."	"University of Washington"	"1991"	"920508s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 156 leaves :"			"25785232"
"Chaotic routing, design and implementation of an adaptive multicomputer network router /"		"by Kevin Bolding."	"Bolding, Kevin."	"Ph. D."	"University of Washington"	"1993"	"940321s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 176 pages :"			"29995175"
"Retargetable instruction scheduling for pipelined processors /"		"by David Gordon Bradlee."	"Bradlee, David Gordon,1955-"	"Ph. D."	"University of Washington"	"1991"	"911010s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 278 leaves :"			"24530714"
"Representation of d-dimensional geometric objects /"		"by Erik Brisson."	"Brisson, Erik,1957-"	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\a\\\\\bmt\\000\0\eng\d"	"x, 165 leaves :"		"http://hdl.handle.net/1773/6903"	"24224203"
"Conservative parallel discrete-event simulation in a non-uniform memory access system /"		"by Reid Larmon Brown."	"Brown, Reid Larmon."	"M.S."	"University of Washington"	"1990"	"910723s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 52 leaves :"			"24121282"
"A distributed message-passing system for Microsoft Windows /"		"by Ross Brown."	"Brown, Ross."	"M.S."	"University of Washington"	"1992"	"921105s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 30, [1] leaves :"			"26921105"
"Topics in the theory of distributed computing /"		"by Soma Chaudhuri."	"Chaudhuri, Soma."	"Ph. D."	"University of Washington"	"1990"	"910816s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 126 leaves :"			"24244000"
"Data prefetching for high-performance processors /"		"by Tien-Fu Chen."	"Chen, Tien-Fu,1961-"	"Ph. D."	"University of Washington"	"1993"	"940317s1993\\\\xx\a\\\\\bmt\\000\0\eng\d"	"viii, 142 leaves :"		"http://hdl.handle.net/1773/6871;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9409294"	"29982335"
"Remote procedure call design for flexibility and performance in heterogeneous environments /"		"by Sung Kwon Chung."	"Chung, Sung Kwon,1959-"	"Ph. D."	"University of Washington"	"1990"	"910722s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 136 leaves :"			"24115183"
"Separating formal bounds from practical performance in learning systems /"		"by David Cohn."	"Cohn, David(David Ariel),1963-"	"Ph. D."	"University of Washington"	"1992"	"921105s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 119 pages :"			"26921140"
"Weyl, a language for computer graphics and computer aided geometric design /"		"by Austin Dahl."	"Dahl, Austin."	"M.S."	"University of Washington"	"1992"	"920729s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 126 leaves :"			"26282070"
