245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Predicting risk of re-hospitalization for congestive heart failure patients /"		"Jayshree Agarwal."	"Agarwal, Jayshree."	"M.S."	"University of Washington, Tacoma"	"2012"	"140331s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 46 pages) :"	"Basu Roy, Senjuti,thesis advisor."	"http://hdl.handle.net/1773/22628;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1533454"	"875196287"
"Interpretable data phenotyping for healthcare via unsupervised learning /"		"Christine Allen."	"Allen, Christine,author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2020."	"200907t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 39 pages) :"	"Teredesai, Ankur,degree supervisor."	"http://hdl.handle.net/1773/45774"	"1193325032"
"An evaluation of complex adaptive evolvable system simulation /"		"Kevin E. Anderson."	"Anderson, Kevin E.(Kevin Eugene),author."	"M.S."	"University of Washington, Tacoma"	"2016"	"160502t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 48 pages) :"	"Mobus, George E.,degree supervisor."	"http://hdl.handle.net/1773/35501"	"948518347"
"Reconfigurable convolution implementation for CNNs in FPGA /"		"Jesse Bannon."	"Bannon, Jesse,author."	"M.S."	"University of Washington, Tacoma"	"2018."	"190422t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 18 pages) :"	"Tolentino, Matthew E.,degree supervisor."	"http://hdl.handle.net/1773/43271"	"1098135873"
"SocialLDA :"	"scalable topic modeling in social networks /"	"Ashish Bindra."	"Bindra, Ashish."	"M.S."	"University of Washington, Tacoma"	"2012"	"121017s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 49 pages) :"	"Teredesai, Ankur,thesis advisor."	"http://hdl.handle.net/1773/20301;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1508731"	"813236147"
"Predicting German compound words using a recurrent neural network /"		"Edward Joseph Callow."	"Callow, Edward Joseph,author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2019."	"191119t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (34 pages) :"	"Nascimento, Anderson C. A.,degree supervisor."	"http://hdl.handle.net/1773/44691"	"1128028506"
"Design and qualitative/quantitative analysis of multi-agent spatial simulation library /"		"Timothy Chuang."	"Chuang, Timothy,1979-"	"M.S."	"University of Washington, Tacoma"	"2012"	"130814s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (v, 52 pages) :"	"Fukuda, Munehiro,thesis advisor."	"http://hdl.handle.net/1773/21817;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1529070"	"855789277"
"Data provenance for multi-agent models in a distributed memory /"		"Delmar Bryan Davis II."	"Davis, Delmar Bryan,II,author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2017"	"171130t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 102 pages) :"	"Asuncion, Hazeline Uy,degree supervisor."	"http://hdl.handle.net/1773/40436"	"1013580569"
"Improved signcryption and broadcast signcryption with detachable signatures /"		"Edgar Elliott."	"Elliott, Edgar,author."	"M.S."	"University of Washington, Tacoma"	"2020."	"200505t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (25 pages) :"	"Barreto, Paulo S. L. M.,degree supervisor."	"http://hdl.handle.net/1773/45415"	"1153270292"
"Selecting robust strategies in RTS games via concurrent plan augmentation /"		"Abdelrahman Elogeel."	"Elogeel, Abdelrahman,author."	"M.S."	"University of Washington. Tacoma"	"2015"	"150522t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (32 pages) :"	"Teredesai, Ankur,degree supervisor."	"http://hdl.handle.net/1773/33065"	"909911746"
"Toward an accurate acoustic localization system /"		"Mohamadbagher Fotouhi."	"Fotouhi, Mohammabagher,author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2019."	"191119t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 46 pages) :"	"Cheng, Wei(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/44688"	"1128028114"
"Hardening DGA classifiers using adversarial attacks and IVAP /"		"Charles Grumer."	"Grumer, Charles,author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2019."	"200212t20192019wau\\\\\obm\\s000\0\eng\d"	"1 online resource (46 pages)"	"Cock, Martine de,degree supervisor."	"http://hdl.handle.net/1773/45086"	"1140388193"
"Communication and round balanced oblivious FSM evaluation /"		"Caleb Horst."	"Horst, Caleb,author."	"M.S."	"University of Washington, Tacoma"	"2016"	"170320t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 36 pages) :"	"Nascimento, Anderson C. A.,degree supervisor."	"http://hdl.handle.net/1773/38035"	"976437331"
"Management and prediction of moving objects under location uncertainty /"		"Abdullah Islam."	"Islam, Abdullah,author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2020."	"200516t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 32 pages) :"	"Ali, Mohamed H.,degree supervisor.;Hendawi, Abdeltawab,degree supervisor."	"http://hdl.handle.net/1773/45425"	"1154456576"
"Street parking sign detection, recognition and trust system /"		"Zhongyu Jiang."	"Jiang, Zhongyu,1996-author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2019."	"200212t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 33 pages) :"	"Cheng, Wei(Computer scientist),degree supervisor.;Hu, Juhua,degree supervisor."	"http://hdl.handle.net/1773/45081"	"1140387799"
"Electromyography (EMG) based finger movement detection /"		"Ghazaleh Jowkar."	"Jowkar, Ghazaleh,author."	"M.S."	"University of Washington, Tacoma"	"2020."	"200516t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 52 pages) :"	"Cheng, Wei(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/45419"	"1154455352"
"Authority, expertise, and active learning in the CS classroom /"		"Shubham Kabu."	"Kabu, Shubham,author."	"M.S.C.S.S."	"University of Washington, Tacoma"	"2019."	"200211t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 84 pages) :"	"Chinn, Donald,1967-degree supervisor."	"http://hdl.handle.net/1773/45079"	"1140261323"
"Using biomedical data to identify genetic variants that drive drug responses in acute myeloid leukemia /"		"Nicole Kauer."	"Kauer, Nicole,author."	"M.S."	"University of Washington, Tacoma"	"2020."	"200505t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 53 pages) :"	"Yeung, Ka Yee,degree supervisor."	"http://hdl.handle.net/1773/45417"	"1153270563"
