245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"User-centric classification of virtual reality locomotion methods /"		"Jeremy Albert."	"Albert, Jeremy,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018"	"181113t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (51 pages) :"	"Sung, Kelvin,1964-degree supervisor."	"http://hdl.handle.net/1773/42095"	"1062655096"
"Semantic indexing of images using a Web ontology language /"		"Gowri Allampalli-Nagaraj."	"Allampalli-Nagaraj, Gowri."	"M.S."	"University of Washington"	"2007"	"071012s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 115 leaves :"			"174120512"
"Iterative Bayesian model averaging :"	"a method for the application of survival analysis to high-dimensional microarray data /"	"Amalia Annest."	"Annest, Amalia."	"M.S."	"University of Washington, Tacoma"	"2008"	"081104s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 89 leaves :"			"268783444"
"Exploratory wayfinding in wide field ethnography /"		"Aytul Arisoy."	"Arisoy, Aytul,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2016"	"170320t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 89 pages) :"	"Socha, David Grimes,1959-degree supervisor."	"http://hdl.handle.net/1773/38033"	"976438352"
"Deep learning for validating resolution and detecting secondary structure elements of proteins in 3D Cryo-electron microscopy images /"		"Todor Kirilov Avramov."	"Avramov, Todor Kirilov,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2019."	"190508t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 130 pages) :"	"Si, Dong(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/43604"	"1100486164"
"Eat this book :"	"human-centered research and software design using the metaphor of food to support media consumption and design an ambient technology display for stashes of to-be-read ebooks /"	"Dan Becker."	"Becker, Dan,1971-author."	"M.S."	"University of Washington, Bothell"	"2013"	"140912t20132013waua\\\\obdm\s000\0\eng\d"	"1 online resource (106 pages) :"	"Socha, David Grimes,1959-degree supervisor."	"http://hdl.handle.net/1773/23348"	"890492699"
"Genetic-based service composition using BPEL /"		"Geoffrey Alan Beers."	"Beers, Geoffrey Alan."	"M.S."	"University of Washington"	"2005"	"060718s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 89 leaves :"			"70585175"
"Audio screen :"	"unsighted game mechanics for mobile devices /"	"Jonathan Brammer."	"Brammer, Jonathon,author."	"M.S."	"University of Washington, Bothell"	"2016"	"160502t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 125 pages) :"	"Erdly, William Walter,degree supervisor."	"http://hdl.handle.net/1773/35502"	"948518388"
"Critical MASS :"	"performance and programmability evaluation of MASS (multi-agent spatial simulation) and hybrid OpenMP/MPI /"	"Zachary J. Brownell."	"Brownell, Zachary J.,author."	"M.S."	"University of Washington Bothell"	"2015"	"151207t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 167 pages) :"	"Fukuda, Munehiro,degree supervisor."	"http://hdl.handle.net/1773/33461"	"931599162"
"Can intelligent hyperparameter selection improve resistance to adversarial examples? /"		"Cody Burkard."	"Burkard, Cody,author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2017"	"170914t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 62 pages) :"	"Lagesse, Brent,degree supervisor."	"http://hdl.handle.net/1773/39901"	"1003655048"
"Eye tracking and game mechanics :"	"an evaluation of unmodified tablet computers for use in vision screening software for children /"	"Carisa Chang."	"Chang, Carisa,author."	"M.S."	"University of Washington Bothell"	"2014"	"150306t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (86 pages) :"	"Erdly, William Walter,degree supervisor."	"http://hdl.handle.net/1773/27373"	"904456391"
"A two-layer authentication using voiceprint for voice assistants /"		"Yun-Tai Chang."	"Chang, Yun-Tai,author."	"M.S.C.S.E."	"University of Washington, Bothell"	"2018."	"190115t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 62 pages) :"	"Dupuis, Marc J.,degree supervisor."	"http://hdl.handle.net/1773/42134"	"1082266842"
"Deep learning based intrusion detection system for internet of things /"		"Shiven Chawla."	"Chawla, Shiven,author."	"M.S.C.S.S."	"University of Washington Bothell"	"2017"	"170912t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 64 pages) :"	"Thamilarasu, Geethapriya,degree supervisor."	"http://hdl.handle.net/1773/39829"	"1003325123"
