245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A comparative analysis of US Departments of Transportation scheduling specifications and industry recommended scheduling practices /"		"Salam A Abdalla."	"Abdalla, Salam A.,author."	"M.S.C.M."	"University of Washington"	"2015"	"160404t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 235 pages) :"	"Abdel Aziz, Ahmed M.,degree supervisor."	"http://hdl.handle.net/1773/35101"	"945931202"
"A comparative analysis of construction operation information exchange via paper-based systems and COBie format :"	"a case study of the first COBie pilot project at University of Washington /"	"Gayane Aghazarian."	"Aghazarian, Gayane,author.http://www.wikidata.org/entity/Q106191814"	"M.S.C.M."	"University of Washington"	"2012"	"140328s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vii, 82 pages) :"	"Dossick, Carrie Sturts,1973-thesis advisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/22602;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1533438"	"875014163"
"Analysis of the public private partnerships' (PPP) structure and projects in Saudi Arabia /"		"Abdulelah Hamad Alfawzan."	"Alfawzan, Abdulelah Hamad."	"M.S.C.M."	"University of Washington"	"2009"	"091201s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 136 leaves :"			"471936957"
"Success factors for design-build contracting /"		"Matthew James Anderson."	"Anderson, Matthew James,1971-"	"M.S.C.M."	"University of Washington"	"2001"	"020117s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 109 leaves :"			"48807160"
"Subcontractor prequalification as a procurement strategy for hospital construction /"		"Thomas R. Baker."	"Baker, Thomas R.(Thomas Randolph),1970-"	"M.S.C.M."	"University of Washington"	"2000"	"010430s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 80 leaves :"			"46844832"
"Building information modeling :"	"a better way to achieve sustainable design? /"	"Basem Abdullah Banabilah."	"Banabilah, Basem Abdullah."	"M.S.C.M."	"University of Washington"	"2008"	"090521s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 65 pages :"			"336574583"
"Failure tendencies of exterior insulation finish systems (EIFS) /"		"by Martha E. Barkman."	"Barkman, Martha E."	"M.S.C.M."	"University of Washington"	"1999"	"000515s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 62 leaves :"			"44054191"
"An analysis of ""green building"" in commercial construction from a contractor's perspective /"		"Carrington E. Barrs IV."	"Barrs, Carrington E."	"M.S.C.M."	"University of Washington"	"2001"	"010831s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 106 pages :"			"47890811"
"Information exchange in the design, construction, operation and maintenance of public transit infrastructure /"		"Mihir Bharmal."	"Bharmal, Mihir,author."	"M.S.C.M."	"University of Washington"	"2016"	"160502t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (71 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/35507"	"948518784"
"Individual and organizational factors influencing technology adoption for construction safety /"		"Atieh Sadat Borhani."	"Borhani, Atieh Sadat,author."	"M.S.C.M."	"University of Washington"	"2016"	"160801t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 68 pages) :"	"Lin, Ken-Yu,1975-degree supervisor.http://www.wikidata.org/entity/Q90004643"	"http://hdl.handle.net/1773/36421"	"954340667"
"Building user audit :"	"capturing behavior, energy, and culture /"	"Seyed Alireza Borhani."	"Borhani, Seyed Alireza,author.http://www.wikidata.org/entity/Q106427250"	"M.S.C.M."	"University of Washington"	"2015"	"160404t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 145 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/35099"	"945931166"
"LEED certification :"	"a constructor's perspective /"	"Joshua Cloud."	"Cloud, Joshua."	"M.S.C.M."	"University of Washington"	"2006"	"070206s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 187 leaves :"			"82142860"
"Impact of building information modeling (BIM) on the roles and responsibilities of architects in the Puget Sound Region /"		"Naila Crawford."	"Crawford, Naila."	"M.S.C.M."	"University of Washington"	"2008"	"090318s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 91 leaves (some folded) :"			"316225235"
"Analysis of effective team-building in design/build construction /"		"Aaron J. Crow."	"Crow, Aaron J."	"M.S.C.M."	"University of Washington"	"2007"	"080729s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 87 leaves :"			"236489014"
"An analysis of the United States Army Corps of Engineers use of alternate delivery methods /"		"Patrick J. Dagon."	"Dagon, Patrick J."	"M.S.C.M."	"University of Washington"	"2006"	"080528s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 70 leaves :"			"229183733"
"An investigation of obstacles faced by construction companies operating in developing countries in Southeast Asia /"		"by Patima Dejarath."	"Dejarath, Patima."	"M.S.C.M."	"University of Washington"	"2001"	"011012s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 93 leaves :"			"48133907"
"An investigation of construction change orders on U.S. Coast Guard projects /"		"by James John Dempsey."	"Dempsey, James John."	"M.S.C.M."	"University of Washington"	"1998"	"990617s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 212 leaves :"			"41558201"
"Analysis of structure monitoring technology /"		"Vasyl Andriyovuch Dmytriv."	"Dmytriv, Vasyl Andriyovuch."	"M.S.C.M."	"University of Washington"	"2007"	"071016s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 112 leaves :"			"174270571"
"A technical preconstruction services process model for the private real estate development industry /"		"Gregory A. Duggan."	"Duggan, Gregory A.,author."	"M.S.C.M."	"University of Washington"	"2003."	"190725s2003\\\\waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 108 pages) :"	"Pace, Clark Bunker,degree supervisor."	"http://hdl.handle.net/1773/33330"	"1110109859"
"A technical preconstruction services process model for the private real estate development industry /"		"Gregory A. Duggan."	"Duggan, Gregory A.,author."	"M.S.C.M."	"University of Washington"	"2003"	"040217s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 108 leaves :"			"54435349"
"Barriers to the adoption of 4D modeling within the construction industry /"		"John R. Elswick."	"Elswick, John R."	"M.S.C.M."	"University of Washington"	"2011"	"120509s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 121 leaves :"			"793359930"
"Construction management in developing nations in Africa /"		"Theodros Gebremichael."	"Gebremichael, Theodros."	"M.S.C.M."	"University of Washington"	"2000"	"001220s2000\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 69 pages :"			"45607131"
"Mentoring in the construction industry /"		"Harold C. Gerber."	"Gerber, Harold C.,author."	"M.S.C.M."	"University of Washington"	"2002."	"190725s2002\\\\wau\\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 46 pages)"	"Schaufelberger, John,1942-degree supervisor."	"http://hdl.handle.net/1773/33332"	"1110109693"
"Mentoring in the construction industry /"		"Harold C. Gerber."	"Gerber, Harold C.,author."	"M.S.C.M."	"University of Washington"	"2002"	"030715s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 46 leaves "			"52615770"
