245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Lipopolysaccharide lipid A structural heterogeneity of Porphyromonas gingivalis /"		"Montaser Nazmi Al-Qutub."	"Al-Qutub, Montaser Nazmi."	"Ph. D."	"University of Washington"	"2005"	"060222s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 126 leaves :"		"http://hdl.handle.net/1773/6383;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3183336"	"64197174"
"Use of gas plasma deposited oligoglyme coatings to prevent protein adsorption and subsequent Streptococcus mutans biofilm formation on four dental materials /"		"Brian M. Almond."	"Almond, Brian M."	"M.S. Den."	"University of Washington"	"2006"	"070508s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 28 leaves :"			"124067659"
"A three-dimensional analysis of molar movement during headgear treatment /"		"Jennifer L. Ashmore."	"Ashmore, Jennifer L."	"M.S. Den."	"University of Washington"	"2000"	"001206s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 53 leaves :"			"45492031"
"Dental fear and behavior of children in private pediatric dentistry practices :"	"a population-based study /"	"Krista S. Baier."	"Baier, Krista S."	"M.S. Den."	"University of Washington"	"2002"	"021203s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 25 leaves "			"51110213"
"Generation and function of Porphyromonas gingivalis lipid A heterogeneity /"		"Brian W. Bainbridge."	"Bainbridge, Brian W."	"Ph. D."	"University of Washington"	"2007"	"070621s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 130 leaves :"		"http://hdl.handle.net/1773/6394;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3252846"	"144800687"
"Tooth tipping in premolar extraction cases treated with aligner appliances /"		"Danilee K. Baldwin."	"Baldwin, Danilee K."	"M.S. Den."	"University of Washington"	"2005"	"060612s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 35 leaves :"			"70070775"
"The effect of toothbrushing instruction on infant oral health /"		"by Michael Robert Becker."	"Becker, Michael Robert."	"M.S. Den."	"University of Washington"	"1999"	"000510s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 50 leaves :"			"44024544"
"Incisor intrusion in adults :"	"the effects on alveolar bone level and root length /"	"Lucien J. Bellamy."	"Bellamy, Lucien J."	"M.S. Den."	"University of Washington"	"2007"	"080514s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 20 leaves :"			"228069567"
"Mononuclear cell expression of human toll-like receptor mRNA /"		"Hema Bharath."	"Bharath, Hema."	"M.S."	"University of Washington"	"2004"	"050203s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 45 leaves :"			"57560427"
"Barriers to obtaining needed dental treatment for Head Start children in Washington /"		"Leena L. Bitar."	"Bitar, Leena L."	"M.S. Den., M.P.H."	"University of Washington"	"2007"	"070828s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 39 leaves :"			"166353564"
"Identification and characterization of type II collagen mutations /"		"by Raymond Bogaert."	"Bogaert, Raymond,1961-"	"Ph. D."	"University of Washington"	"1998"	"990915s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 130 leaves :"		"http://hdl.handle.net/1773/6391;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916626"	"42375806"
"Dietary consistency and the midline sutures :"	"a study in growing pigs /"	"Amrit K. Burn."	"Burn, Amrit K."	"M.S. Den."	"University of Washington"	"2007"	"080522s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 42 leaves :"			"228504806"
"Extracellular ATP regulates the release of calcitonin gene-related peptide from bovine dental pulp /"		"Shiwei Cai."	"Cai, Shiwei."	"M.S."	"University of Washington"	"2000"	"010319s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 63 leaves :"			"46480924"
"The transient receptor potential channel 1 (TRPC1) mediates calcium-regulated differentiation in oral gingival keratinocytes /"		"Shiwei Cai."	"Cai, Shiwei."	"Ph. D."	"University of Washington"	"2004"	"050207s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 125 leaves :"		"http://hdl.handle.net/1773/6390;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139453"	"57586028"
"In vitro fluoride release after the application of two commercially available fluoride varnishes /"		"by Jorge Luis Castillo."	"Castillo, Jorge Luis,1968-author."	"M.S. Den."	"University of Washington"	"2000"	"010109s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 43 leaves :"			"45690456"
"Order effects in the evaluation of pain by children using the cold pressor model /"		"by Peter Yan-Kit Chan."	"Chan, Peter Yan-Kit."	"M.S. Den."	"University of Washington"	"2000"	"010320s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 63 leaves :"			"46489148"
"The development and validation of an orthodontic expert system for treatment need assessment /"		"Judy C. Chen."	"Chen, Judy C."	"M.S. Den."	"University of Washington"	"2002"	"030402s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 41 leaves :"			"51960128"
"Clear sequential removable orthodontic appliances :"	"effects of material stiffness and activation schedule on occlusal characteristics /"	"Karen M. Clements."	"Clements, Karen M."	"M.S. Den."	"University of Washington"	"2002"	"030410s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 39 leaves :"			"52033821"
"Fractal analysis of the regenerate in mandibular distraction osteogenesis /"		"Nicole Connors."	"Connors, Nicole."	"M.S. Den."	"University of Washington"	"2002"	"030417s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 43 leaves :"			"52082249"
"The effect of epinephrine on plasma lidocaine concentrations in pediatric dental patients /"		"Lisa A. Coveney."	"Coveney, Lisa A."	"M.S. Den."	"University of Washington"	"2002"	"021104s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 29 leaves :"			"50926115"
"A cephalometric comparison of two treatment modalities for Class II malocclusion :"	"cervical headgear versus maxillary first premolar extraction /"	"Darcy Catherine Cruikshank."	"Cruikshank, Darcy Catherine."	"M.S. Den."	"University of Washington"	"2004"	"050502s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 30 leaves :"			"60037395"
"Lipid A heterogeneity within Porphyromonas gingivalis and other oral bacteria :"	"effect of lipid A content on hTLR4 utilization and E-selectin expression /"	"Douglas Raymond Dixon."	"Dixon, Douglas Raymond."	"Ph. D."	"University of Washington"	"2005"	"060213s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 167 leaves :"		"http://hdl.handle.net/1773/6385;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3183355"	"63760407"
