245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Mourning small spaces /"		"Kelsey Aschenbeck."	"Aschenbeck, Kelsey,author."	"M. Design"	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (20 pages) :"	"Muren, Dominic,degree supervisor."	"http://hdl.handle.net/1773/44001"	"1117469088"
"Dwelling amongst a ludic Internet of Things :"	"an autobiographical design inquiry /"	"Aubree M. Ball."	"Ball, Aubree M.,author."	"M. Design"	"University of Washington"	"2018."	"190128t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (48, [2] pages) :"	"Desjardins, Audrey,degree supervisor."	"http://hdl.handle.net/1773/42942"	"1083528486"
"Poaching in southern Africa :"	"identifying leverage points for effective intervention /"	"Jeremy Barribeau."	"Barribeau, Jeremy,author."	"M. Design"	"University of Washington"	"2020."	"200907t20202020wauab\\\obm\\s000\0\eng\d"	"1 online resource (89 pages) :"	"Roesler, Axel,degree supervisor."	"http://hdl.handle.net/1773/45782"	"1193325083"
"Feeling climate change :"	"intersections of climate change and everyday cyclists /"	"Heidi Rebecca Biggs."	"Biggs, Heidi Rebecca,author."	"M. Design"	"University of Washington"	"2019."	"190830t20192019wauab\\\obm\\s000\0\eng\d"	"1 online resource (44 pages) :"	"Desjardins, Audrey,degree supervisor."	"http://hdl.handle.net/1773/43957"	"1114640613"
"Augmented woodworking /"		"Derek Burkhardsmeier."	"Burkhardsmeier, Derek,author."	"M. Design"	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (54 pages) :"	"Roesler, Axel,degree supervisor."	"http://hdl.handle.net/1773/43998"	"1117451160"
"Listening by design /"		"Coreen Callister."	"Callister, Coreen,author."	"M. Design"	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (13 pages) :"	"Gould, Annabelle,degree supervisor."	"http://hdl.handle.net/1773/43997"	"1117451154"
"Mixed reality and tactility :"	"the space between two perceptions /"	"Phillip Carpenter."	"Carpenter, Phillip,author."	"M. Design"	"University of Washington"	"2019."	"190905t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (20 unnumbered pages) :"	"Roesler, Axel,degree supervisor."	"http://hdl.handle.net/1773/44000"	"1117469240"
"Chronologic :"	"tracking stories of illness in chronic care /"	"Jonathan Cook."	"Cook, Jonathan(Jonathan Asbjorn),author."	"M. Design"	"University of Washington"	"2014"	"150107t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (49 pages) :"	"Hirsch, Edward A.,1970-degree supervisor."	"http://hdl.handle.net/1773/26741"	"899290857"
"ARCAD :"	"augmented reality computer aided design /"	"Martin Joseph Costello."	"Costello, Martin Joseph,author."	"M. Design"	"University of Washington"	"2018."	"190422t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 102 pages) :"	"Roesler, Axel,degree supervisor."	"http://hdl.handle.net/1773/43258"	"1098062243"
"Design for creative aging /"		"Cal Dobrzynski."	"Dobrzynski, Cal,author."	"M. Design"	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (65 pages) :"	"Matthews, Kristine,degree supervisor."	"http://hdl.handle.net/1773/45805"	"1193561474"
"Speaking up :"	"communicating with authorities through positive disruptions /"	"Richelle Dumond."	"Dumond, Richelle,author."	"M. Design"	"University of Washington"	"2017"	"171201t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (51 pages) :"	"Hirsch, Edward A.,1970-degree supervisor."	"http://hdl.handle.net/1773/40463"	"1013748972"
"A creative inquiry :"	"how context affects design /"	"Samer A. Fouad."	"Fouad, Samer,author."	"M. Design"	"University of Washington"	"2020."	"200903t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (32 pages) :"	"Matthews, Kristine,degree supervisor."	"http://hdl.handle.net/1773/45753"	"1192966643"
"Design for us /"		"Michael Fretto."	"Fretto, Michael,author."	"M. Design"	"University of Washington"	"2013"	"140911t20132013waua\\\\obfm\s000\0\eng\d"	"1 online resource (65 pages) :"	"Hirsch, Edward A.,1970-degree supervisor."	"http://hdl.handle.net/1773/23642"	"890427314"
"I wish for an animal :"	"a multiplayer mixed-reality game about wildlife conservation /"	"Shaghayegh Ghassemian."	"Ghassemian, Shaghayegh,author."	"M. Design"	"University of Washington"	"2015"	"160212t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (35 unnumbered pages) :"	"Hirsch, Edward A.,1970-degree supervisor."	"http://hdl.handle.net/1773/33887"	"938951497"
"Navigating 3d scatter plots in immersive virtual reality /"		"Geoff Gray."	"Gray, Geoff(Geoffrey E.),author."	"M. Design."	"University of Washington"	"2016"	"161010t20162016wauab\\\obm\\s000\0\eng\d"	"1 online resource (vii, 65 pages) :"	"Roesler, Axel,degree supervisor."	"http://hdl.handle.net/1773/37003"	"960219547"
