245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"(Re)collector /"		"James Coupe."	"Coupe, James."	"Ph. D."	"University of Washington"	"2009"	"100817s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 115 leaves :"	"Cortázar, Julio.Short stories.Selections.English."		"656443267"
"Natural individuals :"	"extro-categorized arts after the internet /"	"Yun Mi Her."	"Her, Yun Mi,author."	"Ph. D."	"University of Washington"	"2020."	"200903t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 82 pages) :"	"Coupe, James,degree supervisor."	"http://hdl.handle.net/1773/45713"	"1192562166"
"The final image :"	"an artwork and techniques in immersion /"	"Martin Jarmick."	"Jarmick, Martin,author.http://www.wikidata.org/entity/Q105309195"	"Ph. D."	"University of Washington"	"2019."	"190816t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 75 pages) :"	"Karpen, Richard,1957-degree supervisor.http://www.wikidata.org/entity/Q7326996"	"http://hdl.handle.net/1773/43874"	"1112366121"
"Shin'm (sin'ŭm) :"	"reshaping the perceived body with sound : hybrid of iṇteractive installation and performance /"	"Eun Su Kang."	"880-01Kang, Ŭn-su."	"Ph. D."	"University of Washington"	"2010"	"140415s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 92 leaves :"	"Garcia-Snyder, Diana,dancer,choreographer."		"876736107"
"Biological systems art :"	"artistic research into the algorithms of living systems /"	"Allison Kudla."	"Kudla, Allison."	"Ph. D."	"University of Washington"	"2011"	"130722s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 92 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501540"	"853458933"
"Two women :"	"on the cinematic experience in installation art /"	"Ha Na Lee."	"Lee, Ha Na,author."	"Ph. D."	"University of Washington"	"2016"	"161010t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 123 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/36984"	"960215883"
"The dialectics of a machine /"		"Inmi Lee."	"Lee, Inmi,author."	"Ph. D."	"University of Washington"	"2018"	"181030t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 74 pages) :"	"Coupe, James,degree supervisor."	"http://hdl.handle.net/1773/42043"	"1059536559"
"Aeolian traces /"		"Joel Ong."	"Ong, Joel,author."	"Ph. D."	"University of Washington"	"2017"	"171116t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 177 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/40405"	"1011688316"
"Deep decline /"		"Marcin Paczkowski."	"Paczkowski, Marcin,author."	"Ph. D."	"University of Washington"	"2016"	"161010t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 118 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/36983"	"960215759"
"Transforming the poetic experience of space through light /"		"Maja Petric."	"Petrić, Maja,1981-author."	"Ph. D."	"University of Washington"	"2013."	"140606t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 68 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/24073"	"881123011"
"Corpus corvus /"		"Heather Raikes."	"Raikes, Heather."	"Ph. D."	"University of Washington"	"2011"	"130212s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 70 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472266"	"827362643"
"Site machines /"		"Tivon Rice."	"Rice, Tivon,author."	"Ph. D."	"University of Washington"	"2016"	"161010t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 94 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/36982"	"960215653"
"Silicone love - her garden /"		"Chun Shao."	"Shao, Chun,author."	"Ph. D."	"University of Washington"	"2019."	"190816t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 91 pages) :"	"Karpen, Richard,1957-degree supervisor.http://www.wikidata.org/entity/Q7326996"	"http://hdl.handle.net/1773/43873"	"1112366163"
"Axial :"	"a sound art work of an oceanographic expedition /"	"Hugo Solis."	"Solis, Hugo,author."	"Ph. D."	"University of Washington"	"2014"	"140922t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (xii, 201 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/25394"	"891113678"
"Errai /"		"Ewa Trebacz."	"Trebacz, Ewa."	"Ph. D."	"University of Washington"	"2010"	"140528s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 114 leaves :"			"880659001"
"Machines for living /"		"Robert Twomey."	"Twomey, Robert,author."	"Ph. D."	"University of Washington"	"2018"	"180627t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 115 pages) :"	"Pampin, Juan,degree supervisor.http://www.wikidata.org/entity/Q6300733"	"http://hdl.handle.net/1773/41712"	"1042090657"
"La biblioteca ciega /"		"Nicolás Varchausky."	"Varchausky, Nicolás,author."	"Ph. D."	"University of Washington"	"2015"	"150609t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 129 pages) :"	"Karpen, Richard,degree supervisor."	"http://hdl.handle.net/1773/33071"	"910899010"
"Modularity and space juxtaposition :"	"beyond site-specificity in art /"	"On Ni Wan."	"Wan, On Ni,author."	"Ph. D."	"University of Washington"	"2012"	"160715s2012\\\\waua\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 64 pages) :"	"Coupe, James,degree supervisor."	"http://hdl.handle.net/1773/34321"	"953626340"
"So near, so far /"		"Sangjun Yoon."	"Yoo, Sangjun,author."	"Ph. D."	"University of Washington"	"2020."	"200903t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (105 pages) :"	"Coupe, James,degree supervisor."	"http://hdl.handle.net/1773/45714"	"1192562174"
