245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The design and execution of costumes for Sinbad the sailor."			"Ackley, Marilyn McKnight."	"M.A."	"University of Washington"		"890613s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51 leaves"			"19860071"
"Lysistrata: costume designs and their execution in production."			"Adams, Donald Alan."	"M.A."	"University of Washington"		"890606s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"66 leaves"			"19821426"
"Producing Shakespeare's The tempest."			"Ammons, Mark Walton."	"M.A."	"University of Washington"		"890613s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"178 leaves"			"19859944"
"Producing The diary of Anne Frank."			"Bailor, Jerry Roland."	"M.A."	"University of Washington"		"890526s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"152 leaves"			"19767409"
"A notebook for Stop the world - I want to get off."			"Berger, Craig Michael."	"M.A."	"University of Washington"		"890516s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"148 leaves"			"19713251"
"A master's thesis production of Henrik Ibsen's Hedda Gabler."			"Besse, Thomas Clayton."	"M.A."	"University of Washington"		"890510s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164 leaves"			"19685188"
"Producing A Taste of Honey."			"Borak, Jeffrey."	"M.A."	"University of Washington"		"890609s1966\\\\xx\ad\\\\bm\\\000\0\eng\d"	"143 leaves"			"19840807"
"Let your Medea be fierce and unyielding,"		"by John H. Caley, Jr."	"Caley, John H."	"M.A."	"University of Washington"		"890526s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"116 leaves"			"19767426"
"A conjectural reconstruction of the Chestnut Street Theatre, Philadelphia, 1794-1820."			"Carey, Darcy Sabin."	"M.A."	"University of Washington"	"1974"	"890508s1974\\\\xx\af\\\rbm\\\000\0\eng\d"	"125 leaves, 7 leaves of plates :"			"19675081"
"Exit the chorus girl"	"the development of dance in musical comedy 1930-1943."		"Clifton, James Richard."	"M.A."	"University of Washington"		"890526s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"42 leaves"			"19767388"
"The evolution of the French melodrama from the neo-classic tragedy of the eighteenth century."			"Collins, Thomas Peter."	"M.A."	"University of Washington"		"890526s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19767421"
"Marriage, sex, and plain dealing :"	"a study in the moral view of Wycherley's plays /"	"by Richard Anthony Davis."	"Davis, Richard Anthony."	"Ph. D."	"University of Washington"	"1976"	"890616s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"169 leaves"		"http://hdl.handle.net/1773/10239;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7700635"	"19879001"
"Thai theatrical costume."			"Day, Charlene."	"M.A."	"University of Washington"		"910114s1973\\\\xx\ao\\\\bm\\\000\0\eng\d"	"iv, 35 leaves"			"22962570"
"Baal"	"technical directing thesis."		"Deppe, Philip Robinson."	"M.A."	"University of Washington"		"890511s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"15 leaves"			"19693292"
