245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Surficial seismology :"	"landslides, glaciers, and volcanoes in the Pacific Northwest through a seismic lens /"	"Kate Allstadt."	"Allstadt, Kate,author."	"Ph. D."	"University of Washington"	"2013."	"140627t20132013wauab\\\obm\\s000\0\eng\d"	"1 online resource (213 pages) :"	"Vidale, John,1959-degree supervisor."	"http://hdl.handle.net/1773/25008"	"881851968"
"Characterizing habitable environments on Mars using infrared spectroscopy from orbit /"		"Elena Sophia Amador."	"Amador, Elena Sophia,author."	"Ph. D."	"University of Washington"	"2017"	"170531t20172017wauab\\\obm\\s000\0\eng\d"	"1 online resource (194 pages) :"	"Bandfield, Joshua L.,degree supervisor."	"http://hdl.handle.net/1773/38516"	"988400776"
"Modeling global cosmogenic nuclide production rates through first principles /"		"David C. Argento."	"Argento, David C.,author."	"Ph. D."	"University of Washington"	"2013."	"140619t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 135 pages):"	"Stone, John O.,1961-degree supervisor."	"http://hdl.handle.net/1773/24234"	"881504309"
"Case study of outer radiation belt electron precipitation inferred from balloon-observed x-ray spectra /"		"Amanda Nichole Baker."	"Baker, Amanda Nichole."	"M.S."	"University of Washington"	"2010"	"110201s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 91 leaves :"			"699864653"
"Mars' water cycle seen through an ice lens /"		"Jonathan Bapst."	"Bapst, Jonathan,author."	"Ph. D."	"University of Washington"	"2018"	"180627t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii, 116 pages) :"	"Bandfield, Joshua L.,degree supervisor."	"http://hdl.handle.net/1773/41698"	"1042090057"
"Glaciers, erosion and climate change in the Himalaya and St. Elias Range, SE Alaska /"		"Adam D. Barker."	"Barker, Adam D.,1980-author."	"Ph. D."	"University of Washington"	"2016"	"170531t20162016wauab\\\obm\\s000\0\eng\d"	"1 online resource (xi, 147 pages) :"	"Hallet, Bernard,1948-degree supervisor."	"http://hdl.handle.net/1773/38518"	"988401104"
"Quaternary glaciation in Central Asia /"		"Jigjidsurengiin Batbaatar."	"Batbaatar, Jigjidsurengiin,author.http://www.wikidata.org/entity/Q106149523"	"Ph. D."	"University of Washington"	"2018."	"190122t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 389 pages) :"	"Gillespie, Alan R.,degree supervisor."	"http://hdl.handle.net/1773/42867"	"1083143141"
"Electrical conductivity of the Pampean shallow subduction region of Argentina near 33S and of the Payunia region of Argentina near 36.5S /"		"Aurora Iris Burd."	"Burd, Aurora Iris,author."	"Ph. D."	"University of Washington"	"2013."	"140425t20132013wauab\\\od\\\\000\0\eng\d"	"1 online resource (87 pages) :"	"Booker, John,1942-degree supervisor."	"http://hdl.handle.net/1773/23426"	"878160184"
"A window into terrestrial paleoclimate :"	"soil carbonate formation processes and climate proxy applications /"	"Landon K. Burgener."	"Burgener, Landon K.,1985-author.http://www.wikidata.org/entity/Q106149526"	"Ph. D."	"University of Washington"	"2018."	"190124t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 259 pages) :"	"Huntington, Katharine W.,degree supervisor."	"http://hdl.handle.net/1773/42870"	"1083267149"
"Could narrow marine embayments prevent sea-glacier invasion, and protect photosynthetic life during a snowball Earth? /"		"Adam J. Campbell."	"Campbell, Adam Jared,author."	"Ph. D."	"University of Washington"	"2015"	"151130t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 65 pages) :"	"Waddington, Edwin D.,degree supervisor."	"http://hdl.handle.net/1773/33414"	"930618251"
"Melt-triggered seismic response in hydraulically-active polar ice :"	"observations and methods /"	"Joshua D. Carmichael."	"Carmichael, Joshua D.,author."	"Ph. D."	"University of Washington"	"2013."	"140627t20132013wauab\\\obm\\s000\0\eng\d"	"1 online resource (xi, 194 pages) :"	"Joughin, Ian R.,degree supervisor."	"http://hdl.handle.net/1773/25007"	"881851698"
"Measured and modeled albedos of sea-ice surfaces with implications for Snowball Earth /"		"Regina C. Carns."	"Carns, Regina C.,author."	"Ph. D."	"University of Washington"	"2015"	"150520t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (112 pages) :"	"Warren, Stephen G.,degree supervisor."	"http://hdl.handle.net/1773/33052"	"909637754"
"Core complex exhumation in peri-Adriatic extension, and kinematics of Neogene slip along the Saddle Mountains thrust /"		"Gabriele M. Casale."	"Casale, Gabriele M."	"Ph. D."	"University of Washington"	"2012"	"130628s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 85 pages) :"	"Cowan, Darrel S.,thesis advisor."	"http://hdl.handle.net/1773/21966;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3542104"	"851202795"
"The plasma physics processes that drive ring current enhancements during geomagnetic storms and substorms /"		"Michele Diane Cash."	"Cash, Michele Diane."	"Ph. D."	"University of Washington"	"2012"	"121217s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 163 pages) :"	"Winglee, Robert M.,thesis advisor."	"http://hdl.handle.net/1773/20760;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3521640"	"821711010"
"Pyroxene chemistry in polymict eucrite Northwest Africa 6475 :"	"contrasts with Juvinas, Stannern and Igdi, and evaluation of models for eucrite magmatic evolution /"	"Nicholas Castle."	"Castle, Nicholas."	"M.S."	"University of Washington"	"2012"	"130628s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 28 pages) :"	"Bachmann, Olivier,thesis advisor."	"http://hdl.handle.net/1773/21964;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1528920"	"851202790"
"Using low-frequency earthquakes to investigate slow slip processes and plate interface structure beneath the Olympic Peninsula, WA /"		"Shelley Chestler."	"Chestler, Shelley,author."	"Ph. D."	"University of Washington"	"2017"	"180315t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 120 pages) :"	"Creager, Kenneth Clark,1956-degree supervisor."	"http://hdl.handle.net/1773/40779"	"1028740237"
"3D multi-fluid simulations of magnetic reconnection at the dayside magnetopause and its effects on the magnetosphere /"		"Moon-Young Choi."	"Choi, Moon-Young,1983-"	"M.S."	"University of Washington"	"2011"	"111024s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 52 leaves :"			"758393090"
