245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Embedded entrepreneurship :"	"social roots of the entrepreneur-official nexus in China's rural enterprises /"	"by Ron Brandel Atley."	"Atley, Ron Brandel."	"M.A.I.S."	"University of Washington"	"1997"	"980608s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 89 leaves "			"39252375"
"Forging a national identity in Taiwan :"	"public opinion polls, electoral results, political parties and media /"	"Jessica Bozza."	"Bozza, Jessica."	"M.A.I.S."	"University of Washington"	"2003"	"030917s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 91 leaves "			"53043174"
"Not so black and white :"	"panda conservation, bile farming and the conflict between cultural traditions and modern values in China /"	"Lindsay Butt."	"Butt, Lindsay,1980-author."	"M.A.I.S."	"University of Washington"	"2013."	"140612t20132013waub\\\\obm\\s000\0\eng\d"	"1 online resource (55 pages) :"	"Harrell, Stevan,degree supervisor."	"http://hdl.handle.net/1773/24104"	"881341778"
"Smugglers, society, and state policy in Northern Song Qianzhou /"		"Peyton H. Canary."	"Canary, Peyton H.,1984-author."	"M.A.I.S."	"University of Washington"	"2010"	"101103s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 87 leaves :"			"677058779"
"Legacies of the pro-growth policies of Japan's Ministry of Finance /"		"by John B. Chafee, Jr."	"Chafee, John B."	"M.A.I.S."	"University of Washington"	"1988"	"890317s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 48 leaves :"			"19380968"
"Imparting knowledge :"	"language, legitimacy, and Chineseness /"	"Jason Li-Hsi Chan."	"Chan, Jason Li-Hsi."	"M.A.I.S."	"University of Washington"	"2007"	"070924s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 87 leaves "			"173263063"
"Between state and market :"	"China's development banking in comparative perspective /"	"Muyang Chen."	"Chen, Muyang,author.http://www.wikidata.org/entity/Q108163339"	"Ph. D."	"University of Washington"	"2018."	"190508t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (123 pages)  :"	"Bachman, David M.,degree supervisor.http://www.wikidata.org/entity/Q101933530"	"http://hdl.handle.net/1773/42929"	"1100482562"
"Corruption in reform-era China :"	"the lack of normative consensus and effects on institutional strategies /"	"Sing-Tingn Evelyn Chia."	"Chia, Sing-Tingn Evelyn."	"M.A.I.S."	"University of Washington"	"2004"	"040930s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 70 leaves "			"56609410"
"Thought discipline in the Chinese Communist party ..."			"Compton, Boyd."				"920915s1951\\\\xx\\\\\\\m\\\\000\0\eng\d"	"48 leaves"			"26608252"
"Aerospace collaboration :"	"theories and case studies from the U.S.-Japan and U.S.-Korean experience : implications for theater missle defense /"	"by Stanley Dean Crow, Jr."	"Crow, Stanley Dean,Jr."	"M.A.I.S."	"University of Washington"	"1997"	"980311s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 99 leaves :"			"38586041"
"Generational and imperial responsibility :"	"Manchu identity during the reign of Qianlong /"	"Andrea Descoteaux Hugg."	"Descoteaux Hugg, Andrea,1980-"	"M.A.I.S."	"University of Washington"	"2007"	"070924s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 51 leaves "			"173262942"
"A foundation for extraction, inequality and unsustainable growth :"	"the role of property policies in the development of China /"	"Ross Christopher Doll."	"Doll, Ross Christopher."	"M.A.I.S."	"University of Washington"	"2011"	"120123s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 99 leaves :"			"773630639"
"Pushing the limits :"	"the emergence and growth of China's private book industry /"	"Qi Gan."	"Gan, Qi,1965-"	"M.A.I.S."	"University of Washington"	"2003"	"030922s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 111 leaves :"			"53064124"
"Education problems of migrant children in China /"		"Yuancheng Gao."	"Gao, Yuancheng,author."	"M.A.I.S."	"University of Washington"	"2018"	"181204t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (60 pages) :"	"Chan, Kam Wing,degree supervisor."	"http://hdl.handle.net/1773/42151"	"1077479509"
"The formalization of bureaucratic controls on Japan :"	"the privatization and divestiture of Nippon Telegraph and Telephone in a political-economic context /"	"by Craig Gottlieb."	"Gottlieb, Craig."	"M.A.I.S."	"University of Washington"	"1998"	"990325s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 55 leaves "			"41038397"
"The Japanese schoolgirl figure :"	"renegotiation of power through societal construction, masking a crisis of masculinity /"	"Sarah Hamm."	"Hamm, Sarah."	"M.A.I.S."	"University of Washington"	"2012"	"130701s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 153 pages) :"	"Curran, Sara R.,thesis advisor."	"http://hdl.handle.net/1773/22001;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515917"	"851394249"
"Zhang Jie's women :"	"narrating nuxing /"	"by Maria Anna Katherina Hreshchyshyn."	"Hreshchyshyn, Maria Anna Katherina."	"M.A.I.S."	"University of Washington"	"1995"	"960206s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 75 pages "			"34140949"
"Online Chinese nationalism in post-Olympic China /"		"Xiaowei Hu."	"Hu, Xiaowei,1994-author."	"M.A.I.S."	"University of Washington"	"2018"	"181114t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 48 pages) :"	"Dong, Madeleine Yue,1964-degree supervisor.http://www.wikidata.org/entity/Q100445766"	"http://hdl.handle.net/1773/42121"	"1065528895"
"The changing dynamism in Sino-Japanese relations regarding historical vestige /"		"Hideyuki Iijima."	"Iijima, Hideyuki."	"M.A.I.S."	"University of Washington"	"2003"	"040303s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 87 leaves "			"54527738"
"Visualizing Zhang Zhizhong's Tianshan Pictorial and Xinjiang Youth Song and Dance Troupe :"	"how Chinese Turkestan became Chinese /"	"Justin Jacobs."	"Jacobs, Justin."	"M.A.I.S."	"University of Washington"	"2005"	"051208s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 59 leaves :"			"62513727"
"AIDS awareness and education in PRC media :"	"a content analysis of the People's Daily and China Central Television's ""If I have tomorrow"" /"	"Katherine Janis."	"Janis, Katherine,1974-"	"M.A.I.S."	"University of Washington"	"2004"	"050628s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 73 pages :"			"60814632"
"The role of China's State-owned enterprises in preserving social stability /"		"Guyu Jiang."	"Jiang, Guyu,1997-author.http://www.wikidata.org/entity/Q107067242"	"M.A.I.S."	"University of Washington"	"2020."	"200907t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (55 pages) :"	"Yang, Clair,degree supervisor.http://www.wikidata.org/entity/Q105099440"	"http://hdl.handle.net/1773/45793"	"1193353125"
