245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Occupational changes of women in American industry ..."			"Worthington, Grace."				"961018s1925\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"35760460"
"Radical tendencies in the Seattle labor movement as reflected in the proceedings of its central body /"		"by Melvin Gardner DeShazo."	"DeShazo, Melvin Gardner,author."	"M.A."	"University of Washington"	"1925"	"890808s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"106 leaves"			"20140323"
"Radical tendencies in the Seattle labor movement as reflected in the proceedings of its central body /"		"by Melvin Gardner De Shazo."	"De Shazo, Melvin Gardner,author."	"M.A."	"University of Washington"	"1925."	"190712s1925\\\\wau\\\\\obm\\s000\0\eng\d"	"1 online resource (106 pages)"	"McMahon, Theresa Schmid,degree supervisor."	"http://hdl.handle.net/1773/33328"	"1108338137"
"Rent as cost and rent as surplus in merchandising in Seattle ..."			"Baumgartner, Grace."	"Ph. D."	"University of Washington"		"890804s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"190 leaves"			"20125291"
"Governmental control of consumption in England."			"Kobe, Susumu."	"M.A."	"University of Washington"		"890727s1928\\\\xx\\\\\\\bm\\\000\0\eng\d"	"280 leaves"			"20078434"
"Economic theories of consumption as applied to labor ..."			"Jones, Alice Hanson,1904-1985."	"M.A."	"University of Washington"		"890804s1928\\\\xx\\\\\\\bm\\\000\0\eng\d"	"137 [3] leaves"			"20124472"
"Labor in municipal politics:"	"a study of labor's political policies and activities in Seattle ..."		"Dickson, W. J.(William John),1904-"	"M.A."	"University of Washington"		"890807s1928\\\\xx\a\\\\\bm\\\000\0\eng\d"	"145 leaves"			"20135233"
"An analysis of labor turnover in specific industries from the standpoint of the employee ..."			"Barnett, Elmer Haron."	"M.A."	"University of Washington"		"890623s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19914728"
"Sectional planes of living ..."			"Whitelaw, John Willis."	"M.A."	"University of Washington"		"890628s1931\\\\xx\b\\\\\m\\\\000\0\eng\d"	"80 leaves"			"19936971"
"A study of the Washington coal industry with special reference to the industrial relations problem /"		"by Frederick Eugene Melder."	"Melder, Frederick Eugene,1904-1968."	"M.A."	"University of Washington"		"900807s1931\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iii, 148 leaves :"			"22193358"
"The foreign trade of Manchuria ..."			"Seeger, Homer Lewis."				"901106s1933\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iv, 90 leaves"			"22639875"
"The issuance of licenses and the regulation of securities by the federal power commission ..."			"Puffer, Claude E."	"M.A."	"University of Washington"		"890626s1933\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 296 leaves"			"19924197"
"The decline of self-help and growth of radicalism among Seattle's organized unemployed ..."			"Hogan, John Arthur."	"M.A."	"University of Washington"		"890623s1934\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 125 leaves"			"19914888"
"Seattle municipal street railway ..."			"Lechner, Anna Bell."	"M.A."	"University of Washington"		"890609s1936\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 194 leaves"			"19839582"
"The history and significance of the American Newspaper Guild strike against the Seattle Post-Intelligencer ..."			"Wolfard, John Addison."	"M.A."	"University of Washington"		"890628s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"128 leaves"			"19937352"
"The Seattle teamsters ..."			"Westine, Carl Gustaf."	"M.A."	"University of Washington"		"890714s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"20006994"
"Savings and savings institutions with special reference to the state of Washington ..."			"Wagner, Fred William,1904-"	"Ph. D."	"University of Washington"		"890606s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 521 numb leaves, 1 leaf including tables"			"19823715"
"The Lumber and Sawmill Workers' Union in British Columbia ..."			"Smythe, Limen Towers."	"M.A."	"University of Washington"		"890606s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19823761"
"Labor problems in the fruit industry of the Yakima valley ..."			"Scroggs, Joseph Campbell."	"M.A."	"University of Washington"		"890628s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19936921"
"A comparative study of price and production indexes in agriculture and industry in the Dominion of Canada ..."			"Rawlinson, Frederick Stanley."	"M.A."	"University of Washington"		"890621s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"210 leaves"			"19903602"
"National uniform delivered prices ..."			"Mehlhorn, Harriet."				"900716s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 121 leaves"			"22040103"
"Accounting aspects of the regulation and supervision of building and loan associations in Washington ..."			"Lei, Cheuk Lam,1905-"	"Ph. D."	"University of Washington"		"890606s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 334 leaves, 1 leaf including tables"			"19823670"
"Thoughts on laissez faire from the writings of selected economists ..."			"Gibson, Emery Menzo."	"M.A."	"University of Washington"		"890613s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 98 leaves"			"19861643"
"Labor relations in the Puget Sound flour milling industry ..."			"Elberson, Irving Donald."	"M.A."	"University of Washington"		"890606s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"238 leaves"			"19823797"
"The bank of Canada ..."			"Dixon, Floyd Jefferson."	"M.A."	"University of Washington"		"890530s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 123 leaves"			"19783854"
"An economic, historical analysis of the federal land bank system ..."			"Bennett, Victor Wilson,1889-"	"Ph. D."	"University of Washington"		"890601s1937\\\\xx\ab\\\\bm\\\000\0\eng\d"	"2 volumes"			"19792993"
"Analysis of the attempts of workers in the Seattle needle trades to organize and bargain collectively under section 7(a) of the National industrial recovery administration ..."			"Anderson, Margaret Kay."	"M.A."	"University of Washington"		"890605s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 148 leaves"			"19816833"
"International air transportation,"		"by Charles Stuart Sheldon, 2nd ..."	"Sheldon, Charles S.,author."	"M.A."	"University of Washington"		"890609s1938\\\\xx\abk\\\bm\\\000\0\eng\d"	"iii, 140 leaves"			"19839565"
"Municipal protection of labor and the consumer in Seattle ..."			"Rubin, Sidney."	"M.A."	"University of Washington"		"890606s1938\\\\xx\a\\\\\m\\\\000\0\eng\d"	"124 leaves"			"19823872"
"The development and cost of municipal operation of the Seattle street railways ..."			"Purdy, Harry L.(Harry Leslie),1901-1974."	"M.A."	"University of Washington"		"890626s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19924186"
"Seattle's A.F. of L. - C.I.O war of the warehousemen ..."			"Prouty, Herbert Clay."	"M.A."	"University of Washington"		"890622s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 136 leaves"			"19908824"
"The history of Seattle real estate bonds from 1920 to 1938 ..."			"Klise, Eugene Storm,1908-"	"M.A."	"University of Washington"		"890606s1939\\\\xx\ad\\\\bm\\\000\0\eng\d"	"165 leaves"			"19823630"
"A manual for teachers of first year bookkeeping ..."			"Hubbell, Monroe Harman."	"M.A."	"University of Washington"		"890613s1939\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ix, 121 leaves"			"19860269"
"Keynesian economics: a synthesis ..."			"Timlin, Mabel Frances."	"Ph. D."	"University of Washington"		"890714s1940\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 326 leaves, 1 leaf including diagrams"			"20006988"
"Experience rating in unemployment compensation with especial reference to the state of Washington ..."			"Hogan, Thomas Elfred."	"M.A."	"University of Washington"		"890623s1940\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 94 leaves"			"19914857"
