245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A study of education of women in Korea since 1910."			"Lee, Kyu Hwan."	"M.A."	"University of Washington"		"890614s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"168 leaves"			"19866084"
"Development of seasonal resource units correlating rhythms, music, art, dancing, dramatics, choral speaking, and physical education with reading readiness learning experiences and activities at the kindergarten and first grade level."			"Lewis, Hilda Hannah."	"M. Ed."	"University of Washington"		"890712s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"147 leaves"			"19994851"
"A study of student retardation and its relationship to discipline problems in the Lake Washington Junior High School, Kirkland, Washington."			"Lindsley, Robert Edward."	"M. Ed."	"University of Washington"		"890711s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19991689"
"Academic forecasting in the technical-vocational high school subjects at West Seattle High School."			"Long, James Robert,1923-"	"D. Ed."	"University of Washington"		"890712s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"236 leaves"			"19995442"
"A study of the heterogeneous musical instrument class in an elementary school."			"Mackenzie, Clemewell Loraine."	"M. Ed."	"University of Washington"		"890615s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"50 leaves"			"19872730"
"The contribution of interest test scores to differential academic prediction."			"Maier, Glen Emil,1911-"	"D. Ed."	"University of Washington"		"890712s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"150, [1] leaf"			"19995395"
"Determination of specific problem-solving techniques and their relation to problem solving in fifth grade arithmetic."			"Major, Helen Elizabeth."	"M. Ed."	"University of Washington"		"890711s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19991737"
"A study of the curricular offerings, student enrollments, teacher preparation and teaching loads in physical science in the public senior high schools of the state of Washington, 1955-1956."			"McCain, Wendell Merle."	"M. Ed."	"University of Washington"		"890711s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"178 leaves"			"19991659"
"An analysis of the interests and abilities of above average children as a basis for teacher planning in the social studies-language arts areas at the fifth grade level."			"McCallum, Elizabeth Ann."	"M.A."	"University of Washington"		"890712s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"162 leaves"			"19994975"
"The schools and the social agencies in Seattle."			"McLeod, Norman Neil."	"M. Ed."	"University of Washington"		"890615s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"112 leaves"			"19872761"
"An iterative selection of variables for predicting certain criteria of academic success at the University of Washington."			"Mills, Donald Frank,1927-"	"Ph. D."	"University of Washington"		"900720s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164 leaves"			"22107879"
"A study of the factors influencing high school seniors to reject teaching as a career."			"Mitchell, James Robert."	"M. Ed."	"University of Washington"		"890621s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings)"			"19904106"
"The development of resource units in newswriting, copy-editing, and headline writing for a beginner's course in journalism."			"Moffat, William John."	"M. Ed."	"University of Washington"		"890607s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"167 leaves"			"19827708"
"An analysis of the uses of cumulative records in the public schools of Snohomish County, Washington."			"Morrow, Mary Lou."	"M. Ed."	"University of Washington"		"910114s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"22962579"
"The guidance of business students through the business club with specific reference to Franklin High School, Seattle, Washington."			"Muirhead, William Jack,1924-"	"M. Ed."	"University of Washington"		"890615s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves"			"19872808"
"Community colleges for India."			"Pavamani, Victor George Martin,1916-"	"Ph. D."	"University of Washington"		"890615s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"459, [1] leaf"			"19872938"
"Recommendations for improvement of the science area in the curriculum of the Sunnyside, Washington, public school based on an analysis of local courses of study, experimental studies in other school systems, and on the research reported in this field since 1950."			"Petersen, Orval Lyman."	"M. Ed."	"University of Washington"		"890531s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 103, 15 leaves"			"19790127"
"A study of supervision of public school library programs in the state of Washington."			"Peterson, Marion Elizabeth."	"M.A."	"University of Washington"		"890617s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"247 leaves"			"19884265"
"The development of group experiences in art in the elementary school as exemplified in such resource unites as the mural, display, and the diorama."			"Purschansky, Jeannette Owen."	"M. Ed."	"University of Washington"		"890619s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"230 leaves"			"19889058"
"A study of the problems involved in converting the Veteran's Administration Guidance Center at Seattle University to a school and community counseling center."			"Reas, Herbert Durand."	"M. Ed."	"University of Washington"		"890619s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19889141"
"A study of the selecting and replacing of instructional materials in public high schools of the state of Washington."			"Rhodes, Chester Verne."	"M. Ed."	"University of Washington"		"890619s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings)"			"19889156"
"An evaluation of the preliminary studies in the organization and development of a scope and sequence covering grades on through twelve in the Renton, Washington School District No. 403."			"Rich, Daniel."	"M. Ed."	"University of Washington"		"890619s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"161, [1] leaf"			"19888997"
"A study of the prognostic value of academic records and the Edwards Personal Preference Record in determining leadership potential for Army ROTC cadets."			"Rude, Walter Allen."	"M.A."	"University of Washington"		"890621s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19904234"
"A course of study in health education for the first grade in the Puyallup, Washington Public Schools."			"Sands, Adah Helen."	"M. Ed."	"University of Washington"		"890621s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19904602"
"Vocabulary development and its implication for more effective learning on the junior high school level."			"Sarto, Angeline Marie."	"M. Ed."	"University of Washington"		"890621s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19904153"
"A study of materials and teaching procedures being used to challenge the abilities of the gifted child in grades one to six in the Seattle public schools."			"Scarvie, Glenn Manford."	"M. Ed."	"University of Washington"		"890621s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"110 leaves"			"19904312"
"History and development of a county unit system of school administration, Klamath County school district, Klamath County."			"Sevruk, Stanley Steve."	"M. Ed."	"University of Washington"		"910108s1957\\\\xx\ab\\\\bm\\\000\0\eng\d"	"159 leaves"			"22936295"
"Status of married women teachers in the Province of British Columbia."			"Shopland, Stella."	"M.A."	"University of Washington"		"890621s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19904658"
"A historical study of Grays Harbor County with emphasis on the history of the city of Aberdeen implemented by a resource unit."			"Short, Yvonne Theresa."	"M. Ed."	"University of Washington"		"890621s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"173 leaves"			"19903954"
"An investigation of instructional problems encountered by beginning secondary school science teachers in the Pacific Northwest /"		"John Stanley Shrader."	"Shrader, John Stanley,1922-"	"Ph. D."	"University of Washington"		"890621s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"181 leaves :"			"19904382"
"The effect of self-support upon student success in Walla Walla College."			"Silver, Robert Eugene,1915-"	"D. Ed."	"University of Washington"		"901128s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"128 leaves"			"22746962"
"A proposed remedial reading program for the schools of Palmer, Alaska."			"Smart, Barbara Crumpler."	"M.A."	"University of Washington"		"910114s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"86 leaves"			"22962578"
"The development of resource units in art as a basis for correlation with seventh grade social studies in the Madison Junior High School, Seattle, Washington."			"Smith, Robert Keyes."	"M. Ed."	"University of Washington"		"890526s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"165 leaves"			"19768362"
"A study of underachievement and overachievement of selected students entering the University of Washington for fall quarter 1953."			"Smith, Winnifred Edna Crawford."	"M. Ed."	"University of Washington"		"890526s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"112 leaves"			"19768202"
"The organization of basic resource units emphasing printed mass media for a terminal course study in English for high school seniors."			"Southworth, Jennie Barton."	"M. Ed."	"University of Washington"		"890526s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19768300"
"A survey of selected schools in Alaska to determine the number of atypical children receiving regular classroom instruction."			"Spears, Muriel Rivers."	"M. Ed."	"University of Washington"		"910103s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves"			"22920749"
"A comparative study of administrative responsibilities in conducting elementary school field trips."			"Steed, Frederick Benjamin."	"M. Ed."	"University of Washington"		"910103s1956\\\\xx\ab\\\\bm\\\000\0\eng\d"	"63 leaves"			"22920746"
"A study of an experiment in the use of school subsidies to promote community recreation programs in the state of Washington,"		"by Warren Rawford Tappin, Jr."	"Tappin, Warren Rawford,1918-"	"Ph. D."	"University of Washington"		"890630s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"175 leaves"			"19950840"
"A study of the factors relative to the operation of an after-school recreation program in the elementary schools of Bremerton, Washington."			"Taylor, Troy Gilbert."	"M. Ed."	"University of Washington"		"890713s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"20000709"
"A study of criteria for the selection of certain items of audio-visual equipment for schools."			"Theimer, Arthur Clarence."	"M. Ed."	"University of Washington"		"890713s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 leaves"			"20000718"
"A study of the curriculum for an outdoor education program."			"Thorleifson, George Christian."	"M. Ed."	"University of Washington"		"890713s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"164 leaves"			"20000715"
"Resource and learning unit on moral and ethical values for sixth grade, designed to combat morally delinquent acts and tendencies."			"Treffinger, Enid Marie."	"M.A."	"University of Washington"		"890713s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"157 leaves"			"20000728"
"An analysis of the duties of school district audio-visual directors."			"Trimble, James Edward."	"M. Ed."	"University of Washington"		"890630s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19950871"
"A study of the use and value of audio-visual materials and equipment in the teaching of Gregg Shorthand."			"Turner, Ann Mae."	"M. Ed."	"University of Washington"		"890629s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"128 leaves"			"19948289"
"A study of vocabulary emphasis and concomitant reading scores at the junior high school level."			"Vopni, Sylvia Freda,1910-"	"Ph. D."	"University of Washington"		"890629s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 244 leaves"			"19946792"
"An exploratory investigation in correlating ninth grade English and social studies in the regularly scheduled class periods in the Lewis and Clark High School in Spokane, Washington."			"Watrous, Mary Woodworth,1915-2007."	"Ph. D."	"University of Washington"		"890713s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"309, [2] leaves"			"20000745"
"A survey of junior high school student government practices in twenty-five first class districts in the state of Washington."			"Watson, Olive Jean."	"M. Ed."	"University of Washington"		"890713s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"65 leaves"			"20000767"
"An investigation of the relationships of laterality to success in certain physical education activities among University of Washington women students."			"Way, Eunice Ellen,1924-"	"Ph. D."	"University of Washington"		"890607s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"19828421"
"An analysis of remedial reading instruction in the intermediate classroom."			"White, Jessie Irene."	"M. Ed."	"University of Washington"		"890630s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"131 leaves"			"19950862"
"A study to predict success in algebra of ninth grade students in the Puyallup Junior High School."			"Whitesel, William Frank."	"M. Ed."	"University of Washington"		"890630s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"59 leaves"			"19950820"
"Differentiating materials to provide for the individual reading needs of children at the primary level."			"Whittaker, Mary Beatrice."	"M.A."	"University of Washington"		"890630s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19950849"
"A historical study of the American dependents' secondary schools functioning in Germany from 1946 to 1955."			"Wiksten, Frank Alfred."	"M. Ed."	"University of Washington"		"890629s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51 leaves"			"19948345"
"A study of selected educational programs related to problems of an aging population."			"Wilson, Helen Seelye."	"M. Ed."	"University of Washington"		"890629s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 leaves"			"19948226"
"A historical development of the role of intergroup education in working toward a cultural democracy."			"Yorita, Benjamin."	"M. Ed."	"University of Washington"		"890711s1956\\\\xx\\\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19990907"
"The development of units in Washington State resources for the course of study in social studies, forth grade, Lister Elementary School, Tacoma, Washington."			"Alvanick, Rose Elizabeth."	"M. Ed."	"University of Washington"		"890526s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"186 leaves"			"19768569"
"An analysis of the educational problems peculiar to the church school with implications for church school leader."			"Amundsen, Dorothea Olivia."	"M.A."	"University of Washington"		"890526s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19768713"
"A proposed curriculum change based on a study of algebraic inequalities."			"Anderson, Edwin LeRoy."	"M.E."	"University of Washington"		"890526s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19768851"
"A resource unit in high school Spanish for working with exceptionally rapid and interested learners to develop an appreciation of Hispanic life and literature."			"Angelica,Sister."	"M.A."	"University of Washington"		"890626s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"267 leaves"			"19926754"
"The development of resource units in general science for Dingras High School, Dingras, Ilocos Norte, Philippines."			"Bangloy, Flaviana Cristobal."	"M. Ed."	"University of Washington"		"890626s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"195 leaves"			"19924316"
"The development of a resource unit in language arts and social studies emphasizing orientation and guidance experiences at the seventh grade level in the James Madison Junior High School, Seattle, Washington."			"Barney, Emil Millard."	"M. Ed."	"University of Washington"		"890627s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"185 leaves"			"19930512"
"An analytical study of curriculum development for mentally retarded children in the Clover Park schools."			"Barnovich, Alta Cowling."	"M. Ed."	"University of Washington"		"890626s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19924304"
"An analysis of internal house organs in a number of school districts in five counties of Southern California."			"Benson, Elizabeth Meyer."	"M. Ed."	"University of Washington"		"890526s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves, [6 leaves, 10 pages, 6] leaves"			"19769035"
"A follow up study of students leaving the Everett Washington Junior College between 1948 and 1953."			"Berg, Rodney Kenneth,1912-"	"Ph. D."	"University of Washington"		"890526s1958\\\\xx\ab\\\\bm\\\000\0\eng\d"	"207, [3] leaves"			"19768397"
"A study of characteristics of selected eighth grade pupils in relation to differences between educational achievement as measured by standardized tests and academic success as indicated by school marks."			"Bonney, Aurlo Arthur,1916-"	"D. Ed."	"University of Washington"		"890621s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"254, [1] leaf"			"19904884"
"A study of the organization and administrative practices in elementary libraries in Washington."			"Burns, Berniece Margaret."	"M. Ed."	"University of Washington"		"890614s1958\\\\xx\ab\\\\bm\\\000\0\eng\d"	"76 leaves"			"19867614"
"A study of the extent to which objective tests may be used to measure shorthand skills."			"Calder, Edith Anne."	"M. Ed."	"University of Washington"		"890627s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19930445"
"The effect of a 1951-1952 University of Washington sponsored community development study upon the public schools of Winlock, Washington."			"Caldwell, Marion Kent."	"M. Ed."	"University of Washington"		"951026s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"33378190"
"An evaluation of an experiment in the prediction of success in ninth grade algebra and general mathematics in the Everett junior high schools."			"Carboneau, Robert Dale."	"M. Ed."	"University of Washington"		"890614s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19867791"
"A survey of the need for a course of study and the development of selected units to be used in a course of study for business law in the Seattle public schools."			"Christophersen, Raymond."	"M. Ed."	"University of Washington"		"890621s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19904733"
"A survey of the status of honors programs in American colleges and universities for 1954."			"Codd, William Joseph,1913-"	"Ph. D."	"University of Washington"		"890627s1958\\\\xx\a\\\\\bmt\\000\0\eng\d"	"348, [2] leaves"		"http://hdl.handle.net/1773/7786;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:5807353"	"19929799"
"A study of the mechanical aspects of the registration and daily schedule-making practices of selected public senior high schools in King County, Washington."			"Curry, Charles Allen."	"M. Ed."	"University of Washington"		"890724s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"20059988"
"An analysis of non-teaching duties of elementary school teachers in the first-class districts of the state of Washington,"		"by Clarence Ivring Daniel, Jr."	"Daniel, Clarence Ivring,1919-"	"Ed. D."	"University of Washington"		"890822s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"116 leaves"			"20229372"
"A nine year study of the rehabilitation of 100 laryngectomees, emphasizing the interdisciplinary approach."			"Dawson, Myrtle Holtby,1910-"	"D. Ed."	"University of Washington"		"890725s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"398, [26] leaves"			"20063309"
"A suggested junior high school science curriculum for the Campus School of the New York State University Teachers College at Oneonta based on a study of current curriculum trends and the psychology of early adolescents."			"Deering, William Louis."	"M.A."	"University of Washington"		"890725s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"148 leaves"			"20063231"
