245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Nuclear magnetic resonance and dielectric relaxation studies of molecular dynamics in ferroelectric and antiferroelectric crystals of the KDP-type."			"Adriaenssens, Guy Jean Emiel,1940-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"189 leaves"			"228413206"
"Low frequency dielectric relaxation in potassium dihydrogen arsenate."			"Aikins, James Andrew."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"40 leaves"			"228413151"
"Remote ultrasonic diagnosis of fluid flow systems."			"Albright, Robert James,1941-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"183 leaves"			"228413170"
"Fast digital multipliers."			"Boseret, Francis J."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"85 leaves"			"228413227"
"Techniques of state assignment and state reduction."			"Brcich, Joseph A."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"47 leaves"			"228413172"
"Minimum mean square estimation of x-ray images using optical filters."			"Cain, David Gordon,1945-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"174 leaves"			"228413175"
"Preliminary search for the effect of stellar X-rays and solar radiation on the Antarctic earth-ionosphere waveguide."			"Chaffer, John Richard."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"147 leaves"			"228413255"
"Measuring accuracy of distance relay protection with reference to untransposed transmission lines."			"Chakraborty, S.(Sujit),1942-"	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"93 [1] leaf"			"228413228"
"Thermal effects due to the propagation of acoustic waves in biological tissues."			"Chan, Andrew Kwok-Shing,1941-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"131 leaves"			"228413176"
"Design of remote stations for use in the Antarctic."			"Chandler, Alan Scott."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"42 leaves"			"228413196"
"Deuteron magnetic resonance study of ferrous fluosilicate hexahydrate."			"Chow, George Sheung Kwan."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"43 leaves"			"228413216"
"Design of asynchronous sequency filters."			"Citta, Richard Warren."	"M.S.E.E"	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"73 leaves"			"228413198"
"BNDC and current oscillations in n-type germanium at low temperatures."			"De Biasi, Ronaldo Sergio,1943-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"143 leaves"			"228413152"
"On the identification of systems with time-delay elements."			"De Glanville, Brian Peter."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"128 leaves"			"228413149"
"Computer measurement of cardiac output."			"Dionne, Paul Joseph."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"155 leaves"			"228413179"
"Comparison of digital and analog doppler shifts using correlation techniques."			"D'Souza, Edward."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"69 leaves"			"228413262"
"Determination of peak blood acceleration in the aorta by continuous wave Doppler techniques."			"Fairbanks, Eugene S."	"M.S.E.E."	"University of Washington"	"1972"	"960625s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"34987863"
"Fourier optics analysis of a radial pattern used to test locust eye resolution."			"Feder, David."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"51 leaves"			"228413180"
"Perspective of texture by computer animated graphics /"		"by Harvey Jason Friedman."	"Friedman, Harvey Jason."	"M.S.E."	"University of Washington"	"1971"	"080520s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"63 leaves"			"228413208"
"Time division multiplex system for the transmission of slowly varying medical signals."			"Garg, Ranjana."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"47 [1] leaf"			"228413219"
"Anisotropic optical waveguides and applications to integrated optics."			"Gia Russo, Don Paul,1943-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"138 leaves"			"228413199"
"Potentialities and limitations of Brune realization for driving point impedances of a new class of three element kind networks."			"Gulati, Ajit."	"M.S.E.E."	"University of Washington"	"1971"	"810123s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves :"			"7079727"
"Digital transient recorder."			"Guo, Jong."	"M.S.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"26 leaves"			"228413259"
"Ethiopian national satellite for multipurpose application."			"Habte, Sissay."	"M.S.E.E."	"University of Washington"		"080521s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"67 [3] leaves"			"228429505"
"Verification of Aizerman's conjecture for a class of third order regulatory systems."			"Hager, John Beecher."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"24 leaves"			"228413266"
"Application of threshold logic techniques to the problem of prosthetic control."			"Hata, David Michael."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"181 leaves"			"228413213"
"Remote determination of the transverse wind velocity and structure constant using narrow beam waves."			"Heneghan, J. Michael(James Michael),1944-"	"Ph. D."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"128 leaves"			"228413256"
"Dipole impedance in a magnetoplasma as a function of antenna angle to d.c. magnetic field; theory and experiment."			"Hentges, Kenneth M."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"43 leaves"			"228413217"
"Automated AC design of two-port networks."			"Hjellen, Gregory A."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"119 leaves"			"228413269"
"Acoustical holography using liquid crystals area detectors."			"Intlekofer, Michael James."	"M.S.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"63 leaves"			"228413218"
"Influence of temperature and humidity on the low frequency capacitance and conductance across a philodendron leaf (a study of the backster effect)."			"Johnson, Rex Vincent."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"26 leaves"			"228413181"
"Conditional sum addition in a -2 base system."			"Kanani, Dhirubhai Vallabhdas."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"86 [1] leaf"			"228413229"
"Determination of power system stability using the direct method of liapunov and frequency domain stability criteria."			"Kanasuta, Kraisi."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"86 leaves"			"228413155"
"Application of muscle deformation as a control signal for prosthetic devices."			"Kataoka, Richard W."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"119 leaves"			"228413211"
"Large scale information retrieval system."			"Khanna, Karun."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"95 leaves"			"228413261"
"Analysis of phase delay in round trip signals from the ATS-1 satellite."			"Kim, Seung Kyoon."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"87 [2] leaves"			"228413230"
