245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Nature in Emerson and Thoreau ..."			"Adams, Ellen Louise."	"M.A."	"University of Washington"		"890605s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19817169"
"The technique of Edwin Arlington Robinson and Robert Frost ..."			"Altman, Louise Knutson."	"M.A."	"University of Washington"		"890605s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"23 leaves"			"19817316"
"A study of the punctuation of Spenser's Faerie queene ..."			"Atkinson, Dorothy Frances."	"Ph. D."	"University of Washington"		"890720s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 237 leaves"			"20040719"
"Some implications of philosophic determinism in the works of Thedore Dreiser ..."			"Beal, Maud Layton."	"M.A."	"University of Washington"		"890605s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19817037"
"Loci e libro veritatum: passages selected from the theological dictionary of Thomas Gascoigne: translation and introduction ..."			"Beasom, James Prince."	"M.A."	"University of Washington"		"890607s1929\\\\xx\b\\\\\bm\\\000\0\eng\d"	"238 leaves"			"19827724"
"Anglo-French relations as reflected in the plays of William Shakespeare ..."			"Becker, George Joseph."	"M.A."	"University of Washington"		"890607s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"78 leaves"			"19827321"
"Jane Austen's sense of humor /"		"by Cecilia Smith Bell."	"Bell, Cecilia Smith,author."	"M.A."	"University of Washington"	"1931"	"890607s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"93 leaves "			"19827207"
"Mark Twain's pessimism /"		"by Hazel Lamar Bell."	"Bell, Hazel Lamar,author."	"M.A."	"University of Washington"	"1929."	"191024s1929\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (77 pages)"	"Eby, Edwin Harold,1900-1994,degree supervisor."	"http://hdl.handle.net/1773/44612"	"1124928623"
"Mark Twain's pessimism ..."			"Bell, Hazel Lamar."	"M.A."	"University of Washington"		"890605s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19817197"
"Symbolism of Melville's novels ..."			"Bennett, Alvin Lowell."	"M.A."	"University of Washington"		"890605s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19817086"
"Some political beliefs of Philip Massinger ..."			"Blanchard, Fred Clayson."	"M.A."	"University of Washington"		"890710s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19984158"
"The perfectionism of John Humphrey Noyes ..."			"Blankenship, Russell."	"M.A."	"University of Washington"		"890621s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"97 [2] leaves"			"19903324"
"A comparative study of three English versions of the Apollonius of Tyre story ..."			"Bowker, Doris Sylvia."	"M.A."	"University of Washington"		"890710s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19984229"
"A translation of selected chapters from Louis Cazamain's Carlyle,"		"by Isabel Donkin Cooper ..."	"Cazamian, Louis François,1877-1965."	"M.A."	"University of Washington"		"890623s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"141 leaves"	"Cooper, Isabel Donkin,translator."		"19915515"
"Edwin Lawrence Godkin as a utilitarian ..."			"Christianson, Victor Childs."	"Ph. D."	"University of Washington"		"890621s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"147 [1] leaf"			"19905576"
"The genesis and development of Whittier's poetical theories ..."			"Condit, Charlotte Frances."	"M.A."	"University of Washington"		"890720s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"41 leaves"			"20040657"
"The subject matter of junior college English ..."			"Cowals, Hazel Alice."	"M.A."	"University of Washington"		"890712s1929\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19994723"
"Prolegomena to the Crocean exegesis of history ..."			"Coyden, Stephen Anthony."	"M.A."	"University of Washington"		"890707s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"135 leaves"			"19976280"
"Influence of Tamburlaine on Elizabethan drama to the year 1600 ..."			"Curtiss, Verne Elizabeth."	"M.A."	"University of Washington"		"890801s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"20108612"
"The political novel in America from 1892 to 1903 ..."			"Cutler, Bernice Acors."	"M.A."	"University of Washington"		"890802s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"117 leaves"			"20111677"
"History of censorship of the New York stage ..."			"Day, Florence May."	"M.A."	"University of Washington"		"890802s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"125 leaves"			"20111685"
"The meaning of gentilesse in Chaucer ..."			"Diveley, Ruth Anna."	"M.A."	"University of Washington"		"890609s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19840239"
"Tennyson's Queen Mary and Aubrey De Vere's Mary Tudor: a study in Tennyson's sources ..."			"Dooley, Bertha Rosetta."	"M.A."	"University of Washington"		"890609s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19840450"
"A study of the mysticism of Emily Dickinson ..."			"Dooley, Helen Anne."	"M.A."	"University of Washington"		"890609s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"76 leaves"			"19840091"
"The commentary of Marsiglio Ficino the Florentine on Plato's symposium concerning love."			"Ethelind, Mary Catherine Desmond,sister."	"Ph. D."	"University of Washington"		"890710s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"239 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16275"	"19985690"
"Wordsworth's conception of God at different periods of his life ..."			"Fisher, Grace Hoover."	"M.A."	"University of Washington"		"890609s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19840481"
"The Freeman: a magazine of social criticism ..."			"Forbes, Edith."	"M.A."	"University of Washington"		"890707s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"90 leaves"			"19976191"
"Wordsworth's conception of nature and natural education in relation to Rousseau ..."			"Fowler, Herbert Eugene."	"M.A."	"University of Washington"		"890626s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"86 leaves"			"19924265"
"The seven deadly sins in early English dramatic literature ..."			"Franklin, Grace Hawley."	"M.A."	"University of Washington"		"890626s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 72 leaves"			"19924277"
"Carlyle's influence on a Tale of two cities ..."			"Fraser, Alice Sinclair."	"M.A."	"University of Washington"		"890626s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"58 leaves"			"19924291"
"The disillusion of Herman Melville ..."			"Griswold, Dorothy Littlefield."	"M.A."	"University of Washington"		"890707s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves, 2 leaves"			"19976184"
"Notes and comments on the Prioresse /"		"by Sister Mary Alexander (Elizabeth Gloor Gross)."	"Gross, Elizabeth Gloor."	"M.A."	"University of Washington"		"791207s1930\\\\xx\a\\\\rbm\\\000\0\eng\d"	"iii, 113 leaves :"			"5770570"
"The use of witchcraft in Elizabethan drama ..."			"Haley, Margaret Lois."	"M.A."	"University of Washington"		"890706s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"64 leaves"			"19968011"
"The function of music and song in Elizabethan drama through Shakespeare /"		"Agnes Camilla Hansen."	"Hansen, Agnes Camilla,author."	"M.A."	"University of Washington"	"1930."	"191114s1930\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (53 pages)"	"Taylor, Edward Ayers,degree supervisor."	"http://hdl.handle.net/1773/44600"	"1127641498"
