245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Variability in blood/air partitioning of volatile organic compounds :"	"effect of concentration and correlation with blood chemistry /"	"by Walter S. Ackerlund."	"Ackerlund, Walter S."	"M.S."	"University of Washington"	"1990"	"910424s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 104 leaves :"			"23601569"
"Predictors of outcome in surgically treated occupationally related carpal tunnel syndrome /"		"by Michael Laurin Adams."	"Adams, Michael Laurin."	"M.P.H."	"University of Washington"	"1991"	"911011s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 57 leaves "			"24535118"
"Effects of sulfur dioxide in combination with heat stress on pulmonary function in asthmatics /"		"by Armando Alcalde."	"Alcalde, Armando."	"M.S."	"University of Washington"	"1989"	"900305s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 35 leaves :"			"21171524"
"Evaluation of the NIOSH phase contrast microscopy method for counting asbestos fibers in ambient air by comparison with scanning electron microscopy /"		"by Phillip Keith Amundson."	"Amundson, Phillip Keith."	"M.S."	"University of Washington"	"1988"	"890908s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 50 leaves :"			"20314950"
"Effect of face velocity, flanges, and mannikin position on the effectiveness of an enclosing hood /"		"by Nir Barnea."	"Barnea, Nir."	"M.S."	"University of Washington"	"1991"	"920210s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 69 leaves :"			"25254062"
"A study of lead exposure profiles in handgun users at an indoor firing range /"		"by Sherry Lynne Baron."	"Baron, Sherry Lynne."	"M.S."	"University of Washington"	"1992"	"930121s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 54 leaves :"			"27300441"
"The effects of ozone on intercellular adhesion molecule 1 expression in human nasal epithelial cells /"		"by Nancy Beth Beck."	"Beck, Nancy Beth."	"M.S."	"University of Washington"	"1992"	"930409s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 43 leaves :"			"27893027"
"Characterization of Cryptosporidium infection by oocyst and antigen shedding and circulating antibody levels /"		"by Jennifer Lynn Beeh."	"Beeh, Jennifer Lynn."	"M.S."	"University of Washington"	"1992"	"921005s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 122 leaves :"			"26729540"
"Detection and analysis of mutagenicity in complex mixtures using the combined Ames/TLC assay /"		"by Denise Bender."	"Bender, Denise."	"M.S."	"University of Washington"	"1991"	"910910s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 81 leaves :"			"24353822"
"Spectral emissions of welding arcs as a function of power dissipated in the arc /"		"by Daniel J. Bentler."	"Bentler, Daniel J."	"M.S."	"University of Washington"	"1989"	"891012s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 198 leaves :"			"20481403"
