245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"An epidemiologic study of risk factors for ventricular septal defects /"		"by Melissa Manners Adams."	"Adams, Melissa Manners."	"Ph. D."	"University of Washington"	"1985"	"850815s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 289 leaves :"			"12389704"
"Determinants of smoking relapse among women who have quit smoking on their own /"		"by Nitsa Allen-Barash."	"Allen-Barash, Nitsa."	"Ph. D."	"University of Washington"	"1988"	"890807s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 143 leaves "			"20137733"
"The epidemiology of unintentional residential fire injuries in King County, Washington /"		"by Jane Elizabeth Ballard."	"Ballard, Jane Elizabeth."	"Ph. D."	"University of Washington"	"1989"	"891201s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 235 leaves :"			"20720931"
"A preliminary study of metals concentrations in drinking water from office buildings and schools /"		"by Nancy Beaudet."	"Beaudet, Nancy."	"M.S."	"University of Washington"	"1987"	"880727s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 69 leaves :"			"18277217"
"A counseling program for worker protection from sapstain solution /"		"by Randall Keith Bentley."	"Bentley, Randall Keith."	"M.S."	"University of Washington"	"1986"	"861008s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 65 leaves :"			"14362693"
"Descriptive epidemiology of birthweight in infants of southeast Asian immigrant parents /"		"by Cynthia Jean Berg."	"Berg, Cynthia Jean."	"M.P.H."	"University of Washington"	"1989"	"900809s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 99 leaves :"			"22201884"
"Circulating lipid levels and subsequent cancer in an employee population /"		"by Robert Olaf Bergelin."	"Bergelin, Robert Olaf."	"M.S."	"University of Washington"	"1988"	"890405s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 22 leaves :"			"19497030"
"Epidemiology of fatal childhood injuries /"		"by Robert James Brison."	"Brison, Robert James."	"M. Pub. Health"	"University of Washington"	"1986"	"861014s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"23 leaves "			"14392548"
"High birth weight in Washington State :"	"antecedents of macrosomia /"	"by Andrew Brunskill."	"Brunskill, Andrew."	"M.P.H."	"University of Washington"	"1988"	"890807s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 19 leaves :"			"20137874"
"Predicting the use of laparoscopy in the diagnosis of pelvic inflammatory disease /"		"by Susan E. Buskin."	"Buskin, Susan E."	"M. Pub. Health"	"University of Washington"	"1987"	"880603s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, [22] leaves "			"18037731"
"Epidemiology of childhood injuries /"		"by Bruce Nedrow Calonge."	"Calonge, Bruce Nedrow."	"M. Pub. Health"	"University of Washington"	"1986"	"861008s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"43 leaves :"			"14362705"
"Prenatal risk factors for febrile seizures in childhood /"		"by Patricia A. Cassano."	"Cassano, Patricia A."	"Ph. D."	"University of Washington"	"1987"	"880603s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 128 leaves "			"18038617"
"Indeterminate HIV western blots :"	"natural history, risk of sexual transmission, and usefulness of supplemental tests /"	"by Connie L. Celum."	"Celum, Connie L.,author."	"M.P.H."	"University of Washington"	"1989"	"900305s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"26 leaves "			"21171490"
"The effect of oral food intake on the risk of developing acute graft-versus-host disease in allogeneic marrow transplant recipients with hematologic malignancies /"		"by Carrie L. Cheney."	"Cheney, Carrie L.,1950-"	"Ph. D."	"University of Washington"	"1989"	"900525s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 133 leaves "			"21589156"
"Vasectomy and coronary heart disease /"		"by Elizabeth Suenghae Choy."	"Choy, Elizabeth Suenghae."	"Ph. D."	"University of Washington"	"1985"	"850815s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 124 leaves :"			"12389819"
"Cancer risk in relation to serum levels of selenium, retinol, and copper /"		"by Ralph Jay Coates."	"Coates, Ralph Jay."	"Ph. D."	"University of Washington"	"1986"	"870130s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"x, 233 leaves "			"15135745"
"Paternal occupation and adverse reproductive outcome /"		"by William Edward Daniell."	"Daniell, William Edward."	"M. Pub. Health"	"University of Washington"	"1986"	"861014s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves "			"14392474"
"Second cancers in patients with chronic lymphocytic leukemia /"		"by James Wesley Davis."	"Davis, James Wesley."	"M.S."	"University of Washington"	"1986"	"870402s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"16 leaves "			"15478581"
"Field testing and evaluation of a quantitative-fit test dust respirator /"		"by McClelland Davis."	"Davis, McClelland."	"M.S. Pub. Health"	"University of Washington"	"1986"	"861009s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves :"			"14368606"
"Predictors for a poor recovery after a minor head injury /"		"by Barbara Garii Dicker."	"Dicker, Barbara Garii."	"Ph. D."	"University of Washington"	"1989"	"900801s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 108 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9020911"	"22165497"
"Bicycle helmet use by children :"	"evaluation of a community-wide helmet campaign /"	"by Carolyn DiGuiseppi."	"DiGuiseppi, Carolyn."	"M.P.H."	"University of Washington"	"1988"	"890807s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 34 leaves "			"20136886"
"Analysis of sampling collection behavior between standard 37mm industrial hygiene cassettes in the open and closed face configuration /"		"by David Darrell Douglas."	"Douglas, David Darrell."	"M.S. Pub. Health"	"University of Washington"	"1986"	"861007s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 68 leaves :"			"14354478"
"A retrospective serological study of chlamydia TWAR infection, in a twelve-year sample of pneumonia in the Group Health Cooperative of Puget Sound /"		"by Debra A. Egan."	"Egan, Debra A."	"M.P.H."	"University of Washington"	"1988"	"890901s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 33 leaves "			"20291849"
