245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Angola is America /"		"Daniel Evan Atkinson."	"Atkinson, Daniel Evan."	"Ph. D."	"University of Washington"	"2011"	"120203s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 234 pages :"			"775010650"
"Haitian dance band music :"	"the political economy of exuberance /"	"by Gage Averill."	"Averill, Gage."	"Ph. D."	"University of Washington"	"1989"	"900323s1989\\\\xx\ag\\\\bm\\\000\0\eng\d"	"xi, 362 leaves :"			"21260489"
"Musical instruments as symbols of culture :"	"the impact of the Finnish Folk Music Institute's Kantele to the schools project upon the role of the kantele in Finnish society /"	"by Diane Elizabeth Cornell."	"Cornell, Diane Elizabeth."	"M.A."	"University of Washington"	"1990"	"910612s1990\\\\xx\ag\\\\bm\\\000\0\eng\d"	"xi, 131 leaves :"			"23927156"
"Form and structure in Kondi music of northeastern Sierra Leone :"	"Kututeng music among the Limba /"	"by Peter S. Davenport."	"Davenport, Peter S."	"M.A."	"University of Washington"	"1984"	"850528s1984\\\\xx\ag\\\\bm\\\000\0\eng\d"	"ix, 255 leaves :"			"12085713"
"State patronage of Burmese traditional music /"		"Gavin Duncan Douglas."	"Douglas, Gavin,1967-"	"Ph. D."	"University of Washington"	"2001"	"020114s2001\\\\xx\ag\\\\bm\\\000\0\eng\d"	"vii, 265 leaves :"		"http://hdl.handle.net/1773/10621;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022831"	"48781517"
"Black women performers of women-identified music :"	"""they cut off my voice, I grew two voices"" /"	"by Eileen M. Hayes."	"Hayes, Eileen M."	"Ph. D."	"University of Washington"	"1999"	"000210s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"viii, 312 leaves "		"http://hdl.handle.net/1773/10623;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936414"	"43436758"
"The invention of traditional Korean opera and the problem of the traditionesque :"	"chʼanggûk and its relation to pʼansori narratives /"	"by Andrew P. Killick."	"Killick, Andrew P.(Andrew Peter)"	"Ph. D."	"University of Washington"	"1998"	"990119s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xxviii, 559 pages :"		"http://hdl.handle.net/1773/10622"	"40643233"
"Axé :"	"Brazilian reaffirmation of cultural identity in musical performance in Seattle, Washington /"	"Phyllis L. Landers."	"Landers, Phyllis L."	"M.A."	"University of Washington"	"1999"	"000626s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 120 leaves :"			"44477761"
"Heterogeneity and multiplicity :"	"in search of Ping Pu identity and their music in Taiwan /"	"by Shin-Hui Lin."	"Lin, Shin-Hui."	"M.A."	"University of Washington"	"2000"	"020712s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 117 leaves :"			"50158584"
"The Siam Sangkiit Ensemble in Seattle :"	"reinventing the music culture of Thailand in a diasporic community /"	"by Pornprapit Phoasavadi."	"Pornprapit Phoasavadi,1974-"	"M.A."	"University of Washington"	"1998"	"990701s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 104 leaves :"			"41640700"
"Batak architectonics :"	"an examination of tropic transformations across the domains of Batak expressive culture /"	"by Mark Renner."	"Renner, Mark,1961-"	"M.A."	"University of Washington"	"1998"	"990226s1998\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 85 leaves :"			"40866925"
"Making beats :"	"the art of sample-based hip hop /"	"Joseph Glenn Schloss."	"Schloss, Joseph Glenn."	"Ph. D."	"University of Washington"	"2000"	"000816s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 239 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9964289"	"44798840"
"The hoop of many hoops :"	"the integration of Lakota ancestral knowledge and Bahá'í teachings in the performative practices of Kevin Locke /"	"Pauline Isabel Marie Tuttle."	"Tuttle, Pauline Isabel Marie."	"Ph. D."	"University of Washington"	"2002"	"030113s2002\\\\xx\ag\\\\bm\\\000\0\eng\d"	"xviii, 822 leaves :"			"51392214"
"Out of the rhythm section :"	"the role of the bajo sexto in Tejano conjunto /"	"by Stephen Louis Winant."	"Winant, Stephen Louis."	"M.A."	"University of Washington"	"2002"	"021003s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 133 pages :"			"50730004"
"Liminality and hybridism in the music of Hermeto Pascoal /"		"Vilson Zattera."	"Zattera, Vilson."	"Ph. D."	"University of Washington"	"2010"	"110303s2010\\\\xx\ag\\\\bm\\\000\0\eng\d"	"xvi, 211 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3424128"	"705140969"
