title	subtitle	statedAs	creator	genre	submittedTo	inception	language	pages 1	pages 2	pages 3	degreeSupervisor	hdlURI 1	OCLCID
"The fire landscape: its sources and its development from Bosch through Jan Brueghel I, with special emphasis on the mid-sixteenth century Bosch ""revival."""			Corwin, Nancy A.	Ph. D.	University of Washington		890525s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	575				http://hdl.handle.net/1773/6234	19761657
Olokun :	a focal symbol of religion and art in Benin /	Alfred Omokaro Izevbigie.	Izevbigie, Alfred Omokaro,1942-	Ph. D.	University of Washington		890807s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	381				http://hdl.handle.net/1773/6217	20134701
The origin and development of Japanese landscape prints	a study in the synthesis of eastern and western art.		Lee, Julian Jinn.	Ph. D.	University of Washington		890614s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	1009				http://hdl.handle.net/1773/6231	19867737
Some aspects of genre painting and its popularity in eighteenth-century France /		by Heather Ann McPherson.	McPherson, Heather.	Ph. D.	University of Washington	1982	821006s1982\\\\xx\a\\\\\bmt\\000\0\eng\d	421	7			http://hdl.handle.net/1773/6220	8835417
The drawings by Hans Holbein the Younger for Erasmus' 'Praise of Folly' /		by Erika Betty Goodman Michael.	Michael, Erika,1937-	Ph. D.	University of Washington	1981	811015s1981\\\\xx\af\\\\bmt\\000\0\eng\d	565	27			http://hdl.handle.net/1773/6219	7849367
A critical evaluation of contemporary art for its usefulness in the public high school curriculum /		by Dorothy Milne Rising.	Rising, Dorothy Milne,1895-1992,author.	M. Fine Arts	University of Washington, 1933.		191218s1933\\\\xx\\\\\\obm\\\000\0\eng\d	83	2		Isaacs, Walter F.,degree supervisor.	http://hdl.handle.net/1773/44620	1131907787
The Yomihon illustrations of Katsushika Hokusai.			Sandler, Mark Howard,1945-	Ph. D.	University of Washington		890509s1977\\\\xx\a\\\\\bm\\\000\0beng\d	357				http://hdl.handle.net/1773/6232	19679724
An analysis of painting in the light of aesthetic theory /		Kyle Eldon Taylor.	Taylor, Kyle Eldon,author.	M. Fine Arts	University of Washington, 1931.		191120s1931\\\\xx\\\\\\obm\\\000\0\eng\d	63			Isaacs, Walter F.,degree supervisor.	http://hdl.handle.net/1773/44621	1128154558
A catalogue and analysis of eighteenth-century French prints after Netherlandish Baroque paintings /		by Vivian Lee Atwater.	Atwater, Vivian Lee.	Ph. D.	University of Washington	1988	890111s1988\\\\xx\a\\\\\bcm\\000\0\eng\d	1675	22			http://hdl.handle.net/1773/6218	19003168
An assembly of ladies :	the fifteenth-century pictorial tradition of Christine de Pizan's La citeÌ des dames and Le treÌsor de la citeÌ des dames /	by Laura Jean Dufresne.	Dufresne, Laura Jean.	Ph. D.	University of Washington	1989	900507s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	517	27			http://hdl.handle.net/1773/6238	21489202
Spirits like the sound of the rattle and drum :	George Thornton Emmons' collection of Tlingit shamans' kits /	by Barbara Elizabeth Iliff.	Iliff, Barbara Elizabeth.	Ph. D.	University of Washington	1994	950801s1994\\\\xx\a\\\\\bmt\\000\0\eng\d	574	14			http://hdl.handle.net/1773/6221	32905792
Changing images of women :	Taisho-period paintings by Uemura Shoen (1875-1949), Ito Shoha (1877-1968), and Kajiwara Hisako (1896-1988) /	by Michiyo Morioka.	Morioka, Michiyo.	Ph. D.	University of Washington	1990	910311s1990\\\\xx\a\\\\\bmt\\000\0\eng\d	434	16			http://hdl.handle.net/1773/6225	23228337
Les nus-pieds et la pauvreteÌ d'esprit :	French counter reformation thought and the peasant paintings of the Le Nain brothers /	by Martha Kellogg Smith.	Smith, Martha Kellogg,1947-	Ph. D.	University of Washington	1989	900213s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	300	8			http://hdl.handle.net/1773/6214	21057393
The identical synthronos Trinity :	representation, ritual and power in the Spanish Americas /	by Ann Elizabeth Storey.	Storey, Ann Elizabeth.	Ph. D.	University of Washington	1997	980324s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	370	13			http://hdl.handle.net/1773/6228	38840406
