245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Hearing in salmonids with reference to the use of sound in fish culture."			"Abbott, Robert Riley."	"M.S."	"University of Washington"		"890605s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"48 leaves"			"19815580"
"Development of marine and estuarine fisheries in East Pakistan."			"Ahmad, Shafi Uddin."	"M.S."	"University of Washington"		"890603s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"133 leaves"			"19808146"
"Chromosomal and phenotypic variations in three species of marine gastropod (Thais)."			"Ahmed, Muzammil,1938-"	"Ph. D."	"University of Washington"		"890606s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"151 leaves"			"19822031"
"Bathymetric distribution of the echinoderms off the northern Oregon coast."			"Alton, Miles Samuel."	"M.S."	"University of Washington"		"890603s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19808152"
"A Study of demersal fishes and fisheries of the Northeastern Pacific Ocean."			"Alverson, Dayton L.,1924-"	"Ph. D."	"University of Washington"		"890605s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"286 leaves"			"19816255"
"The use of Pacific hake otoliths for age studies."			"Ammah, Philip Aryee."	"M.S."	"University of Washington"		"890603s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"59 leaves"			"19808207"
"Development of the fishing industry and proposals for development of inland fisheries as supplement to marine fish production in Ghana."			"Armah, Marquaye."	"M.S."	"University of Washington"		"890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19751921"
"Oxidative metabolism of nonprotein nitrogen components by fish spoilage bacteria and their physiology of psychrotrophic growth during storage of fish (English sole)."			"Bannerjee, David,1934-"	"Ph. D."	"University of Washington"		"890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"146 leaves"			"19751000"
"Primary production in Iliamna Lake, Alaska, 1962-1967."			"Baxter, Richard Andrew."	"M.S."	"University of Washington"		"890606s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19821440"
"The effects of implanted wire tags and fin excision on the growth and survival of coho salmon, Oncorhynchus kisutch (Walbaum)."			"Bergman, Peter K.(Peter Kenneth),1933-"	"Ph. D."	"University of Washington"		"890515s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"119 leaves"			"19705840"
"The effects of hydrostatic pressure on the structure of terrestrial and marine bacteria."			"Boatman, Edwin Spencer,1921-"	"Ph. D."	"University of Washington"		"890515s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"237 leaves"			"19705872"
"Characteristics and angling desires of western Washington trout anglers, and a simulation of the fishery-management system so as to optimize angler enjoyment."			"Braaten, Duane Ole,1942-"	"Ph. D."	"University of Washington"		"890606s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"155 [13] leaves"		"http://hdl.handle.net/1773/5393;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7100947"	"19822063"
"Immersion freezing of fish in dichlorodifluoromethane."			"Bucholz, Shyrl Bunker."	"M.S."	"University of Washington"		"890513s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19703588"
"Analysis of the Puget Sound sport fishery for resident coho salmon, Oncorhynchus kisutch (Walbaum)."			"Buckley, Raymond M."	"M.S."	"University of Washington"		"890513s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19703561"
"Qualitative and quantitative changes in the plasma proteins of Pacific salmon resulting from natural and induced stresses."			"Cardwell, Rick Daniel."	"M.S."	"University of Washington"		"890513s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19703530"
"The occurrence, taxonomy and activity of chitinoclastic bacteria from sediment, water and fauna of Puget Sound."			"Chan, John G.,1938-"	"Ph. D."	"University of Washington"		"890513s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"311 leaves"			"19703599"
"The morphology, morphogenesis and reactive responses of ³H-thymidine labeled leucocytes in the Manila clam, Tapes semidecussata (Reeve)."			"Cheney, Daniel P.,1941-"	"Ph. D."	"University of Washington"		"890513s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"194 leaves"			"19703580"
"Post mortem degradation of fish muscle proteins:"	"the role of proteolytic Pseudomonas spp. and their mechanism of action."		"Chung, Jong Rak,1932-"	"Ph. D."	"University of Washington"		"890606s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"242 leaves"			"19821845"
"The effects of ocean fishing upon the Columbia River hatchery stocks of fall chinook salmon /"		"by Frederick Charles Cleaver."	"Cleaver, Fred C.(Frederick Charles),1916-2002."	"Ph. D."	"University of Washington"		"890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"159 leaves :"			"19750948"
"Comparison between gillnet and purse seine catches of salmon in the North Pacific Ocean."			"Craddock, Donovan R."	"M.S."	"University of Washington"		"890523s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19751880"
"Analysis of the dynamics of sockeye salmon returns to the Chignik Lakes, Alaska."			"Dahlberg, Michael L."	"Ph. D."	"University of Washington"		"890606s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"337 leaves"			"19821871"
"Studies on the thermal destruction of vitamin B₁ in commercial salmon feed during drying."			"Decker, Carl David."	"M.S."	"University of Washington"		"890603s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19808099"
"The wound repair process and reaction to intraspecific tissue implants in the Pacific oyster, Crassostrea gigas (Thunberg)."			"DesVoigne, David Merritt."	"M.S."	"University of Washington"		"890506s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19668421"
"The uptake, elimination and effects of processing on the survival of poliovirus in West Coast oysters."			"Digirolamo, Rudolph Gerard,1934-"	"Ph. D."	"University of Washington"		"890506s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"165 leaves"			"19668452"
"The inland fisheries of Nigeria."			"Elliott, Olubunmi."	"M.S."	"University of Washington"		"890603s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19808097"
"Recent changes in the numbers of salmon (Oncorhynchus) and steelhead (Salmo) that return to their producing areas :"	"in the Columbia River Basin /"	"by Don Michael Fagot."	"Fagot, Don Michael."	"M.S."	"University of Washington"	"1970"	"810304s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"198 leaves :"			"7189203"
"Possible effects of low dissolved oxygen content in the Duwamish River estuary on migrating adult chinook salmon."			"Fujioka, Jeffrey Tad."	"M.S."	"University of Washington"		"890526s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19767336"
"The effect of endrin on the uptake of phospholipids, neutral lipids, and cholesterol by embryos of steelhead trout (Salmo gairdneri)."			"Grajcer, Dov,1936-"	"Ph. D."	"University of Washington"		"890513s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19703522"
"The pathological effects of ionizing radiation on the earthworm, Eisenia foetida."			"Grass, James Carl."	"M.S."	"University of Washington"		"890513s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"66 leaves"			"19703540"
"Simulation model of a hypothetical intraseasonal gantlet fishery,"		"by Joseph Warren Greenough, Jr."	"Greenough, Joseph W.,1936-"	"M.S."	"University of Washington"		"890513s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"166 leaves"			"19703509"
"Biological assay and partial characterization of the gonadotropic factors of the pituitary gland of Pacific salmon (Oncorhynchus)."			"Gronlund, William D."	"M.S."	"University of Washington"		"890511s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19691517"
"A comparison of the occurrence of gross physical anomalies between F₁ progeny of normal and irradiated coho salmon."			"Gunstrom, Gary K."	"M.S."	"University of Washington"		"890511s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19691495"
"The extracellular products of Monochrysis lutheri and their utilization by bacteria."			"Heller, Jonathan."	"M.S."	"University of Washington"		"890523s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19750826"
"Studies on the effect of free fatty acid development on the fish paste forming ability of proteins of several species of fish."			"Herrera, Pablo Miguel."	"M.S."	"University of Washington"		"890523s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19750749"
"The food of juvenile sockeye salmon, Oncorhynchus nerka, related to the zooplankton in Iliamna Lake, Bristol Bay, Alaska."			"Hoag, Stephen Holly."	"M.S."	"University of Washington"		"890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"72 leaves"			"19750693"
"Studies on the nature of the cold shock phenomenon in coliform bacteria."			"Houghtby, Gary Alan."	"Ph. D."	"University of Washington"		"890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"144 leaves"			"19751521"
"The life history and ecology of Cottus sp. in Lake Washington."			"Ikusemiju, Kola."	"M.S."	"University of Washington"		"900424s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves"			"21421048"
"Total phosphorus and phosphorus-32 in seawater, invertebrates, and algae from North Head, Washington, 1965-66."			"Isakson, John S.,author."	"M.S."	"University of Washington"		"890603s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19808291"
"Discrimination of Fraser River and Lake Washington sockeye salmon by means of scale characters."			"Isaksson, Arni."	"M.S."	"University of Washington"		"890603s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19808550"
"The effects of endrin on the reproduction of a freshwater fish (Oryzias latipes) /"		"by Howard Ernest Johnson."	"Johnson, Howard Ernest,1935-"	"Ph. D."	"University of Washington"	"1967"	"890605s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"136 leaves :"			"19816201"
"Lactate dehydrogenase variation in the crested blenny, Anoplarchus."			"Johnson, Michael Styles."	"M.S."	"University of Washington"		"890506s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"54 leaves"			"19668471"
"Food and feeding habits of juvenile coho salmon and steelhead trout in Worthy Creek, Washington."			"Johnston, James Michael."	"M.S."	"University of Washington"	"1970"	"890506s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19668490"
"Population dynamics of the skipjack tuna of the Eastern Pacific Ocean."			"Joseph, James,1930-2009."	"Ph. D."	"University of Washington"		"890606s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"304 leaves"			"19821934"
"Some effects of the parasitic copepod, Mytilicola orientalis Mori, on three species of bivalve molluscs in selected sites in Washington, Oregon, and California."			"Katkansky, Stanley Charles,1938-"	"Ph. D."	"University of Washington"		"890508s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"158 leaves"			"19673997"
"An evaluation of the bottom fauna and its role as fish food in Fern Lake, Washington."			"Klaassen, Harold Eugene,1935-"	"Ph. D."	"University of Washington"		"890506s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"308 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6709914"	"19668408"
