245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Colchiploidy in Populus Trichocarpa T. & G. ex Hook."				"M.S. in F."	"University of Washington"		"890613s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"103 leaves"			"19863049"
"Surface characteristics of commercially manufactured Douglas fir and hemlock veneer."			"Ainslie, Winston Churchill."	"M.F."	"University of Washington"		"890607s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"105 leaves"			"19829381"
"Current logging practices in the Pacific Colombian forests and proposed mechanization with North American methods."			"Anaya-Lopez, Hector J."	"M.F."	"University of Washington"		"890607s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19829455"
"The effects of drying temperatures in particle board bonding."			"Anderson, David June."	"M.S. in F."	"University of Washington"		"890607s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19829346"
"The effects of nursery fertilization on the growth of Douglas-fir."			"Anderson, Harry William."	"M.F."	"University of Washington"		"890607s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"125 leaves"			"19829419"
"Effect of stimulated growth by fertilization and thinning upon fibril angle and chemical composition of young Douglas fir."			"Arima, Tsuneo."	"M.F."	"University of Washington"		"890713s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"20000995"
"A comparison of some mechanical properties of lumber and particle boards made from the same wood using several process variables."			"Baker, David Emmett."	"M.F."	"University of Washington"		"890602s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"19803459"
"The influence of morphological factors upon liquid flow in Douglas fir wood under pressure."			"Balatinecz, John Janos."	"M.F."	"University of Washington"		"890713s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"20001046"
"Physical, chemical and hydrological properties of certain western Washington forest floor types."			"Balci, Ali Nihat,1928-"	"Ph. D."	"University of Washington"		"890713s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"191 leaves"			"20001015"
"Some chemical changes accompanying soil development at the Kautz Creek mudflows, Mount Rainier National Park."			"Ballard, Timothy Mangan,1936-"	"M.F."	"University of Washington"		"890713s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"75 leaves"			"20001124"
"An investigation of North American logging systems and their applicability in the Chittagong Hill tracts of East Pakistan."			"Bari, Abdul."	"M.F."	"University of Washington"		"890713s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"133 [1] leaf"			"20000979"
"Growth of white spruce after partial cutting in Alberta."			"Bella, Imre E."	"M.F."	"University of Washington"		"890607s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19829493"
"A description of nitrogen and phosphorus distribution in some Rongelap Atoll land ecosystems."			"Billings, R. F.(Richard Frederick),author."	"M.S. in F."	"University of Washington"		"890707s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19978329"
"A study of the mechanical behavior of wood in transverse compression."			"Bodig, Jozsef."	"Ph. D."	"University of Washington"		"890707s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"321 leaves"			"19978241"
"Patterns of elemental distribution and response of Douglas fir foliage to nitrogen fertilizer."			"Brackett, Michael Howard."	"M.S. in F."	"University of Washington"		"890707s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves"			"19978420"
"An evaluation of vocational school training as a means of increasing the supply of labor to the logging industry,"		"by Joseph A. Brislin Jr."	"Brislin, Joseph A."	"M.F."	"University of Washington"		"890707s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19978504"
"Evaluating tractor performance in thinning operations."			"Brocard, Norman G."	"M.F."	"University of Washington"		"890602s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19803511"
"The effect of thinning, fertilization, and irrigation on the radial growth of a thirty-five year old Douglas fir stand."			"Brown, Robert Gordon."	"M.F."	"University of Washington"		"890602s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"99 leaves"			"19803596"
"The effect of the Sitka-spruce weevil on Sitka spruce."			"Carlson, Robert Lawrence,1940-"	"M.F."	"University of Washington"		"890602s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"37 leaves"			"19803859"
"The interaction of glue-mix age, assembly time and species on glue bond quality."			"Casilla, Romulo Casuga."	"M.F."	"University of Washington"		"810511s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"7408770"
"Role of forestry in the economic development of Mexico."			"Catano Arratia, Raul,1935-"	"M.F."	"University of Washington"		"890602s1964\\\\xx\ab\\\\bm\\\000\0\eng\d"	"97 leaves"			"19803662"
"Variation in characteristics of Douglas-fir seedlings under different light conditions."			"Ceschi, Ivo."	"M.F."	"University of Washington"		"890705s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19961466"
"Release of elements from the forest floor and migration through associated soil profiles (a lysimeter study)."			"Cole, Dale W."	"Ph. D."	"University of Washington"		"890713s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"20001184"
"The permeability of Douglas-fir heartwood from various geographic sources in the state of Washington."			"Craig, Don Weston."	"M.S. in F."	"University of Washington"		"890713s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves"			"20001142"
