245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Manufacturing identities, producing poverty :"	"criminalizing poor women through welfare fraud /"	"Rebecca Castner."	"Castner, Rebecca."	"Ph. D."	"University of Washington"	"2012"	"121029s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 204 pages)"	"Ginorio, Angela B.,degree supervisor.http://www.wikidata.org/entity/Q107956183"	"http://hdl.handle.net/1773/20507;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3521441"	"815285226"
"Feminista frequencies :"	"tuning in to Chicana radio activism in the Pacific Northwest, 1975-1990 /"	"Monica De La Torre."	"De La Torre, Monica,1983-author."	"Ph. D."	"University of Washington"	"2016"	"170214t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (139 pages) :"	"Habell-Pallán, Michelle,degree supervisor.http://www.wikidata.org/entity/Q106512301"	"http://hdl.handle.net/1773/36977"	"972502630"
"Gender, race, and science :"	"a feminista analysis of women of color in science /"	"Sara P. Díaz."	"Diaz, Sara P."	"Ph. D."	"University of Washington"	"2012"	"121029s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 247 pages)"	"Ginorio, Angela B.,thesis advisor.http://www.wikidata.org/entity/Q107956183"	"http://hdl.handle.net/1773/20506;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3521458"	"815284028"
"Informatic afterlives and database erotics :"	"the performativity of surveillance in economies of fidelity /"	"Sean Jarvis."	"Jarvis, Sean,author."	"Ph. D."	"University of Washington"	"2020."	"200504t20202020wau\\\\\obm\\s000\0\eng\c"	"1 online resource (128 pages)"	"Kenney, Nancy J.,degree supervisor.http://www.wikidata.org/entity/Q105309899;Swarr, Amanda Lock,degree supervisor.http://www.wikidata.org/entity/Q105305013"	"http://hdl.handle.net/1773/45404"	"1153151947"
"Embodied writing :"	"gender and class in the graffiti and murals of the 2011 Egyptian revolution /"	"Alma Khasawnih."	"Khasawnih, Alma,author."	"Ph. D."	"University of Washington"	"2018."	"190124t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 206 pages) :"	"Welland, Sasha Su-Ling,1969-degree supervisor.http://www.wikidata.org/entity/Q104825501"	"http://hdl.handle.net/1773/42877"	"1083267864"
"Feminist disability studies :"	"theoretical debates, activism, identity politics, & coalition building /"	"Kristina R. Knoll."	"Knoll, Kristina R."	"Ph. D."	"University of Washington"	"2012"	"121029s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (i, 258 pages)"	"Ginorio, Angela B.,thesis advisor.http://www.wikidata.org/entity/Q107956183"	"http://hdl.handle.net/1773/20505;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3521692"	"815281226"
"Before their time :"	"tracing the emergence of the figure of la pachuca, 1910-1930s /"	"P. Michelle Morado-Peters."	"Morado, Michelle Kritz,1983-author."	"M.A."	"University of Washington"	"2018"	"181026t20182018waua\\\\obm\\s000\0\eng\c"	"1 online resource (48 pages) :"	"Yee, Shirley J.,1959-degree supervisor.http://www.wikidata.org/entity/Q106510608"	"http://hdl.handle.net/1773/42037"	"1059130281"
"Rethinking temporalities of endocrine disruptor panics :"	"anxious time and evolutionary time as multispecies intimacy /"	"Lauren O'Laughlin."	"O'Laughlin, Logan Natalie,1989-author."	"M.A."	"University of Washington"	"2015"	"151209t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (55 pages) :"	"Ramamurthy, Priti,degree supervisor.http://www.wikidata.org/entity/Q105571885"	"http://hdl.handle.net/1773/33465"	"931928997"
"Toxic animal encounters :"	"queer environmental threats and racialized reproduction anxieties /"	"Logan Natalie O'Laughlin."	"O'Laughlin, Logan Natalie,1989-author."	"Ph. D."	"University of Washington"	"2018"	"181026t20182018waua\\\\obm\\s000\0\eng\c"	"1 online resource (201 pages) :"	"Ramamurthy, Priti,degree supervisor.http://www.wikidata.org/entity/Q105571885;Swarr, Amanda Lock,degree supervisor.http://www.wikidata.org/entity/Q105305013"	"http://hdl.handle.net/1773/42036"	"1059130055"
"Queering U.S. history museums :"	"heteronormative histories, digital disruptions /"	"Nicole Robert."	"Robert, Nicole,1973-author."	"Ph. D."	"University of Washington"	"2016"	"160728t20162016waua\\\\obm\\s000\0\eng\c"	"1 online resource (192 pages) :"	"Habell-Pallán, Michelle,degree supervisor.http://www.wikidata.org/entity/Q106512301"	"http://hdl.handle.net/1773/36406"	"954169055"
"Feminist street performances in Puerto Rico :"	"alternative imaginaries shifting the ideal(ized) national body /"	"Noralis Rodríguez Coss."	"Rodríguez-Coss, Noralis,author."	"Ph. D."	"University of Washington"	"2016"	"170214t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 180 pages) :"	"Ginorio, Angela B.,degree supervisor.http://www.wikidata.org/entity/Q107956183;Yee, Shirley J.,1959-degree supervisor.http://www.wikidata.org/entity/Q106510608"	"http://hdl.handle.net/1773/36976"	"972502099"
"Trapped in time :"	"bodily experiences of family dependent workers (jiashu) in Daqing, a model industrial city in high-socialist China /"	"Yiyu Tian."	"Tian, Yiyu,author."	"M.A."	"University of Washington"	"2019."	"190816t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 59 pages) :"	"Welland, Sasha Su-Ling,1969-degree supervisor.http://www.wikidata.org/entity/Q104825501"	"http://hdl.handle.net/1773/43869"	"1112366020"
"Western transnormativity and the U.S. asylum process :"	"from gender-nonconforming forced migrant to neoliberal transgender refugee /"	"Catalina Velasquez."	"Velasquez, Catalina,1988-author.http://www.wikidata.org/entity/Q106762380"	"M.A."	"University of Washington"	"2020."	"200903t20202020wau\\\\\obm\\s000\0\eng\c"	"1 online resource (27 pages)"	"Keating, Christine,degree supervisor.http://www.wikidata.org/entity/Q105282300"	"http://hdl.handle.net/1773/45708"	"1192544354"
"Expressive struggles :"	"neoliberal temporalities and the social reproduction of feminized labor in South Korea /"	"Jiwoon Yulee."	"Yulee, Jiwoon,author."	"Ph. D."	"University of Washington"	"2018"	"190124t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (210 pages) :"	"Ramamurthy, Priti,degree supervisor.http://www.wikidata.org/entity/Q105571885"	"http://hdl.handle.net/1773/42876"	"1083267785"
"The gendered landscape of Chinese forestry reform :"	"labor, narrative and resistance, 1950s-current /"	"Shuxuan Zhou."	"Zhou, Shuxuan,author."	"Ph. D."	"University of Washington"	"2017"	"170908t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 196 pages) :"	"Welland, Sasha Su-Ling,1969-degree supervisor."	"http://hdl.handle.net/1773/39791"	"1003220974"
"Negotiating spectacle :"	"Florence Mills, Josephine Baker & Adelaide Hall : transnational black women's expressive culture, 1920-1935 /"	"Zakiya R. Adair."	"Adair, Zakiya R."	"Ph. D."	"University of Washington"	"2010"	"101006s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 109 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3406131"	"668623992"
"The re-enchantment of feminism :"	"countering fundamentalisms, encountering the sacred /"	"Alka Arora."	"Arora, Alka,1976-"	"Ph. D."	"University of Washington"	"2008"	"090910s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 173 leaves "			"436237143"
"At home in globalization :"	"social reproduction, transnational migration and the circulating Indian household /"	"Amy Pradip Bhatt."	"Bhatt, Amy."	"Ph. D."	"University of Washington"	"2011"	"111024s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 313 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472079"	"758389815"
