245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Studies on the amino acid regulation of messenger RNA synthesis in Escherichia coli."				"M.S."	"University of Washington"		"890526s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves"			"19768547"
"Red cell enzyme variation in Macaca nemestrina /"		"Jeanne Elaine Anderson."	"Anderson, Jeanne Elaine."	"M.S."	"University of Washington"		"890518s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves :"			"19731085"
"A study of X-chromosome inactivation during oogenesis in the mouse."			"Andina, Robert John."	"Ph. D."	"University of Washington"		"890518s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19730966"
"Mutations in the structural genes of Chinese hamster cell histidyl-, valyl-, and leucyl-tRNA synthetases."			"Ashman, Charles R."	"Ph. D."	"University of Washington"		"890525s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"69 leaves"			"19762873"
"2, 6-diaminopurine resistance in an established murine cell line."			"Atkins, Joseph Hobart,1938-"	"M.S."	"University of Washington"		"890525s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19762650"
"Sex chromosome meiotic mutants in Drosophila melanogaster"	"detection and preliminary characterization."		"Baker, Bruce Stewart,1945-2018."	"Ph. D."	"University of Washington"		"890525s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19762747"
"High negative interference in bacteriophage T5 /"		"Barbara North Beck."	"Beck, Barbara North."	"Ph. D."	"University of Washington"		"890518s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves :"			"19731138"
"Recombinant formation in partially diploid strains of Escherichia coli."			"Berg, Douglas E."	"Ph. D."	"University of Washington"		"890518s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"146 leaves"			"19730735"
"Replication and meiotic transmission of yeast multiple copy genetic elements /"		"by Bonita Jayne Brewer."	"Brewer, Bonita J."		"University of Washington"		"800326s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 95 leaves, 21 unnumbered leaves of plates "			"6131446"
"Initiation of chromosome replication in yeast."			"Burke, Wylie."	"Ph. D."	"University of Washington"		"881130s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"143 leaves"			"18818741"
"On the mechanism of the recombinant increase in x-irradiated bacteriophage T4D."			"Campbell, Douglas Arthur,1942-"	"Ph. D."	"University of Washington"		"890525s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"133 leaves"			"19762799"
"Analysis of a meiotic mutant defective in distributive dusjunction in Drosophila melanogaster females."			"Carpenter, Adelaide Trowbridge,1944-"	"Ph. D."	"University of Washington"		"890512s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19697567"
"An attempt to isolate genes affecting intergenic recombination in Neurospora crassa."			"Carpenter, Adelaide Trowbridge,1944-"	"M.S."	"University of Washington"		"890512s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"55 leaves"			"19697512"
"Studies on amino acid control of RNA biosynthesis."			"Cashel, Charles Michael,1937-"	"Ph. D."	"University of Washington"		"890512s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19697481"
"Patterns of protein synthesis at the entry to meiosis in the mouse /"		"by Robin Elizabeth Cole."	"Cole, Robin Elizabeth."	"M.S."	"University of Washington"		"791025s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 61 leaves, 21 unnumbered leaves of plates "			"5587900"
"A study of the mechanism of pyridoxine responsiveness in homocystinuria."			"Cox, David Richard."	"Ph. D."	"University of Washington"		"890615s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19872214"
"The control of nuclear division and cellular growth in germinating conidia of Neurospora crassa."			"Crane, Eva."	"M.S."	"University of Washington"		"890525s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"34 leaves"			"19762692"
