245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The historical geography of the Snohomish River Valley /"		"by Burton Wilbur Adkinson."	"Adkinson, Burton Wilbur,author."	"M.A."	"University of Washington"		"150806s1939\\\\wauab\\\obm\\s000\0\eng\d"	"1 online resource (57 leaves) :"		"http://hdl.handle.net/1773/23934"	"916087060"
"The historical geography of the Snohomish river valley ..."			"Adkinson, Burton Wilbur."	"M.A."	"University of Washington"		"890612s1939\\\\xx\ab\\\\bm\\\000\0\eng\d"	"57 leaves"			"19852643"
"An analysis of the crop producing potential of the Mongolian People's Republic."			"Albano, Howard K."	"M.A."	"University of Washington"		"890606s1956\\\\xx\ab\\\\bm\\\000\0\eng\d"	"73 leaves"			"19822506"
"The Eden-Farson reclamation project of Wyoming ..."			"Andersen, Elmer."	"M.A."	"University of Washington"		"890606s1940\\\\xx\ab\\\\bm\\\000\0\eng\d"	"71 leaves, 1 leaf including illustrations, maps (some color), diagrams"			"19821753"
"The urban geography of Everett, Washington ..."			"Anderson, Frank,1918-"	"M.A."	"University of Washington"		"890606s1951\\\\xx\bo\\\\bm\\\000\0\eng\d"	"vi, 124 leaves mount. photographs, maps (some color)"			"19822544"
"A geographic study of the pattern of manufacturing in Texas."			"Arbingast, Stanley Alan,1910-2005."	"Ph. D."	"University of Washington"		"890719s1956\\\\xx\ab\\\\bm\\\000\0\eng\d"	"324 leaves"			"20030177"
"The industrial geography of Duluth, Minnesota ..."			"Arbingast, Stanley Alan,1910-2005."	"M.A."	"University of Washington"		"890719s1948\\\\xx\bo\\\\bm\\\000\0\eng\d"	"ii, 87 leaves"			"20030164"
"Geographic aspects of the size and arrangements of urban centers:"	"an examination of central place theory with an empirical test of the hypothesis of classes of central places."		"Berry, Brian J. L.,1934-"	"M.A."	"University of Washington"		"890711s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"69 leaves"			"19989573"
"Changing occupance in Davis County, Utah ..."			"Bjorklund, Elaine M."	"M.A."	"University of Washington"		"890711s1951\\\\xx\abo\\\bm\\\000\0\eng\d"	"vi, 100 leaves"			"19989527"
"Maps and mapping agencies in Washington State,"		"a selective and analytical bibliography by Ralph Edward Black and Howard Edward Vogel."	"Black, Ralph Edward."	"M.A."	"University of Washington"		"890202s1956\\\\waub\\\\\bm\\\000\0\eng\d"	"viii, 90, 355 leaves"	"Vogel, Howard Edward."		"19094474"
"The razor clam Siliqua patula of the Washington coast and its place in the local economy,"		"by Clarke Harding Brooke, Jr. ..."	"Brooke, Clarke Harding."	"M.A."	"University of Washington"		"890607s1950\\\\xx\abo\\\bm\\\000\0\eng\d"	"vi, 100 leaves"			"19830198"
"Wahkiakum county, Washington:"	"a case study in the geography of the coast range portion of the lower Columbia River valley ..."		"Brooks, James Eugene,1925-"	"M.A."	"University of Washington"		"890607s1952\\\\xx\ab\\\\bm\\\000\0\eng\d"	"ix, 130 leaves"			"19830309"
"The geography of Whidby Island ..."			"Buerstatte, Frederick."	"M.A."	"University of Washington"		"890623s1947\\\\xx\bfo\\\bm\\\000\0\eng\d"	"2 preliminary leaves, iii, 133 leaves including plates (mount. photographs)"			"19916445"
