245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Operations at the Cariboo gold quartz mine, British Columbia."			"Ainsworth, John Leonard."	"B.S. Min. E."	"University of Washington"		"080520s1939\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iv, 89 leaves"			"228413366"
"Flotation tests on lead-zinc ore from the Page mine."			"Antonova, Helen Anatolievna."		"University of Washington"		"080520s1928\\\\xx\\\\\\\m\\\\000\0\eng\d"	"31 leaves"			"228409293"
"Nature of gold deposits ..."			"Awoki, Monroe Tetsuji."	"M.S."	"University of Washington"		"890728s1913\\\\xx\f\\\\\bm\\\000\0\eng\d"	"61 leaves"			"20082679"
"Geology of the placer deposits of Porcupine, Alaska."			"Beatty, William Blake."	"B.S. Min. E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iv, 97 leaves"			"228413377"
"Capsay mining property, Masbate, Philippine Islands."			"Berkenkotter, Frank Espeleta."	"B.S. Min. E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iii, 40 leaves"			"228413325"
"Little Copper King and Red Devil veins of the Sunset copper mine Index Washington."			"Boyd, Robert Jesse."	"B.S. Mine. E."	"University of Washington"		"080520s1927\\\\xx\\\\\\\m\\\\000\0\eng\d"	"52 leaves"			"228413370"
"Microseisms, their characteristics, occurrence, and possible origin ..."			"Bradford, Donald Comnick."	"B.S. in Geol."	"University of Washington"		"890801s1932\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 107 leaves"			"20106288"
"Stratigraphy and paleontology of the oligocene in the eastern portion of the Puget Sound Basin ..."			"Bravinder, Kenneth Mason."	"M.S."	"University of Washington"		"890801s1932\\\\xx\abf\\\m\\\\000\0\eng\d"	"ii, 38 leaves including IV plates (including maps) folded color map tables, folded diagram"			"20106279"
"Little River manganese prospects."			"Bretland, Robert Bruce."	"B.S. Min. E."	"University of Washington"		"080520s1936\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iii, 58 leaves"			"228413372"
"Extraction tests on a Nevada gold ore,"		"by Ethan Allan Bridgman ... and George Joseph Schofield ..."	"Bridgman, Ethan Allan."	"B.S. in Geol. and Min.;B.S. in Min. Eng."	"University of Washington;University of Washington"		"890822s1916\\\\xx\abf\\\bm\\\000\0\eng\d"	"32 leaves"	"Schofield, George Joseph,author."		"20228943"
"Cyanide treatment of amalgamation tailings from the Boswell mine, Josephine county, Oregon."			"Brown, Walter Franklin."	"B.S."	"University of Washington"		"080520s1920\\\\xx\\\\\\\m\\\\000\0\eng\d"	"31 leaves"			"228409393"
"Geology, petrography and mineralogy of the Sunset mine."			"Burmeister, Harry Louis."	"B.S. Min. E."	"University of Washington"		"080520s1921\\\\xx\\\\\\\m\\\\000\0\eng\d"	"40 leaves"			"228413369"
"The geology and geography of a portion of the western drainage basin of Hudson and James Bays, Canada ..."			"Cairnes, Clive Elmore,1892-"	"B.S. in Mining. Eng."	"University of Washington"		"890726s1917\\\\xx\ab\\\\bm\\\000\0\eng\d"	"ii, 149, lvi leaves"			"20072611"
"Geological study of the ore bodies of the Copper Bell mine."			"Campbell, Roy Everett."	"B.S. Min. E."	"University of Washington"		"080520s1921\\\\xx\\\\\\\m\\\\000\0\eng\d"	"28 leaves"			"228408779"
"Geology of Squak Mountain,"		"by Francis Easton Carr ... and Enock [sic] Williams Bagshaw ..."	"Carr, Francis Easton."	"B.S. in Mining. Eng."	"University of Washington"		"890726s1908\\\\xx\f\\\\\m\\\\000\0\eng\d"	"34 leaves"	"Bagshaw, Enoch Williams,1884-1930,author."		"20071762"
"The ores of the Bodie mine and their treatment ..."			"Chamberlain, Martin Nichols."				"960812s1936\\\\xx\abe\\\bm\\\000\0\eng\d"	"iv, 85 leaves"			"35227805"
