245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"An investigation of the Martian atmospheric haze."			"Anderson, Ernest Howard."	"Ph. D."	"University of Washington"		"890518s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"207 leaves"			"19729898"
"Zones of anomalous seismic propogation in the vicinity of Mt. Rainier."			"Battis, James C."	"M.S."	"University of Washington"		"890525s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"19762570"
"The backward hemispheric scattering ratio of atmospheric aerosols."			"Bhardwaja, Prem Sagar."	"Ph. D."	"University of Washington"		"890512s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19697199"
"A time-dependent model of temperate glacier flow and its application to predict changes in the surge-type Variegated Glacier during its quiescent phase /"		"by Robert Alen Bindschadler."	"Bindschadler, R. A.(Robert A.)"		"University of Washington"		"890512s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xvii, 245 leaves :"			"19697171"
"Identification and deconvolution of deep sea sound waves."			"Bishop, Thomas Norton."	"M.S."	"University of Washington"		"890512s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19696991"
"Seismic structure of the crust and upper mantle under North America and the Pacific Ocean /"		"by Stephen C. Blair."	"Blair, Stephen C."	"M.S."	"University of Washington"		"801126s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"v, 64 leaves, 6 unnumbered leaves of plates :"			"6978245"
"Scaling for seismic source spectra and energy attenuation in the Chelan region, eastern Washington."			"Bor, Sheng-sheang."	"M.S."	"University of Washington"		"890512s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"76 leaves"			"19697091"
"Equation of state properties for rubidium bromide and rubidium chloride using an electron gas model /"		"John Michael Brown."	"Brown, John Michael."	"M.S."	"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"107 leaves :"			"19871868"
"A secondary flow model for the planetary boundary layer."			"Brown, Robert A.(Robert Alan),1934-"	"Ph. D."	"University of Washington"		"890615s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19871873"
"The variation of the drag coefficient in the marine surface layer due to temporal and spatial variations of the surface wind and sea state /"		"by Hugh Michael Byrne."	"Byrne, H. Michael."	"Ph. D."	"University of Washington"	"1982"	"821011s1982\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 119 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8226527"	"8848652"
