245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The water symbol in German romanticism culminating in Fouque's Undine."			"Andrews, Mildred Tanner,1941-"	"Ph. D."	"University of Washington"		"890614s1969\\\\xx\\\\\\\bm\\\000\0\eng\d"	"237 leaves"			"19866018"
"Thomas Manns Zauberberg als bildungsroman ..."			"Ankele, Felicitas Charlotte."	"M.A."	"University of Washington"		"890731s1926\\\\xx\\\\\\\bm\\\000\0\ger\d"	"34 leaves"			"20100604"
"Der Todesgedanke in Wilhelm Raabes Werken ..."			"Ankele, Felicitas Charlotte."	"Ph. D."	"University of Washington"		"890819s1936\\\\xx\\\\\\\bm\\\000\0\ger\d"	"92 leaves, 1 leaf"			"20223030"
"Irony in the dramatic work of Ödön von Horváth."			"Ballin, Dolly Elisabet,1932-"	"Ph. D."	"University of Washington"		"890531s1969\\\\xx\\\\\\\bm\\\000\0\eng\d"	"197 leaves"			"19789079"
"Gewisse Grundzuege der Religion Gottfried Kellers ..."			"Baltzer, Eugene Christian."	"M.A."	"University of Washington"		"890822s1919\\\\xx\\\\\\\bm\\\000\0\ger\d"	"74 leaves"			"20229697"
"The interrelation of German and English literature based upon the ""Neue Bibliothek der schönen Wissenschaften und der freyen Künste,"" 1766-1788."			"Barr, Eva Louise."	"M.A."	"University of Washington"		"890823s1908\\\\xx\\\\\\\m\\\\000\0\eng\d"	"219 leaves"			"20235764"
"A diachronic phonology from Proto-Germanic to Old English stressing West-Saxon conditions."			"Barrack, Charles Michael,1938-"	"Ph. D."	"University of Washington"		"890531s1969\\\\xx\d\\\\\bm\\\000\0\eng\d"	"159 leaves"			"19789149"
"Philosophical and social ideas in the works of Nestroy ..."			"Barraclouch, Clifford Arthur."	"M.A."	"University of Washington"		"890721s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"95 leaves"			"20047862"
"The personified abstraction in Middle High German lyric poetry."			"Beamish, Robert Lalonde,1927-"	"Ph. D."	"University of Washington"		"890601s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"173 leaves"			"19794311"
"The romantic theory of the novel and its implications for Thomas Mann's Zauberberg."			"Behler, Diana."	"Ph. D."	"University of Washington"		"890517s1969\\\\xx\\\\\\\bm\\\000\0\eng\d"	"280 leaves"			"19718524"
"Friedrich Schlegels Entwicklung des Begriffs ""Romantisch."""			"Belgardt, Raimund,1935-"	"Ph. D."	"University of Washington"		"890601s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"295 leaves"			"19794275"
"Communion and anguish in Herman Broch's Der Versucher."			"Birnbaum, Ann Miriam,1941-"	"Ph. D."	"University of Washington"		"890614s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"145 leaves"			"19866032"
"Der Amerikanismus Gustav Frenssens ..."			"Bondy, Elizabeth Holm."	"M.A."	"University of Washington"		"890728s1928\\\\xx\\\\\\\bm\\\000\0\ger\d"	"28 leaves"			"20082543"
"The influence of women on Gotthold Ephraim Lessing."			"Boyden, Walter Lloyd."	"M.A."	"University of Washington"		"890802s1961\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves"			"20113015"
"Kellers Sinngedicht im Spiegel seiner Binnenerzählungen."			"Brockhaus, Henrich Ernst Rudolf,1932-"	"Ph. D."	"University of Washington"		"890613s1967\\\\xx\a\\\\\bm\\\000\0\ger\d"	"276 leaves"			"19862822"
"Conrad Ferdinand Meyer, Will Vesper, und ihre Einstellung zur Renaissance ..."			"Case, Charles Albert."	"M.A."	"University of Washington"		"890727s1936\\\\xx\\\\\\\bm\\\000\0\ger\d"	"42 leaves"			"20076793"
"A relative chronology of Old Icelandic phonology based on distinctive feature analysis."			"Cathey, James E."	"Ph. D."	"University of Washington"		"890601s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"104 leaves"		"http://hdl.handle.net/1773/9955"	"19792645"
"Wilhelm von Humboldt's ideal of humanity and its relation to American education ..."			"Chisholm, Hulda Hepperle,1900-"	"Ph. D."	"University of Washington"		"890614s1939\\\\xx\\\\\\\bm\\\000\0\eng\d"	"171 leaves"			"19869051"
"An introduction to the short stories and novels of Martin Beheim-Schwarzbach ..."			"Crull, Mila Margareta."	"M.A."	"University of Washington"		"890802s1953\\\\xx\c\\\\\bm\\\000\0\eng\d"	"66 leaves"			"20113699"
"Moral considerations in the works of Arthur Schnitzler /"		"by Maria Dausz."	"Dausz, Maria,author."	"M.A."	"University of Washington"	"1961."	"191107s1961\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (94 pages)"	"Rey, William H.(William Henry),1911-2007,degree supervisor."	"http://hdl.handle.net/1773/44573"	"1126663623"
