245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Exploring Barriers to the utilization of mental health services at the policy and facility levels in Khartoum State, Sudan /"		"Elsadig Abdelgadir."	"Abdelgadir, Elsadig."	"M.P.H."	"University of Washington"	"2012"	"121206s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 33 pages) :"	"Kyes, Randall C.,thesis advisor."	"http://hdl.handle.net/1773/20682;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515847"	"820484590"
"A retrospective descriptive study of services provided by dentists and mid-level dental providers in ten dental clinics in six provinces of Cameroon /"		"Leo Ndiangang Achembong."	"Achembong, Leo Ndiangang."	"M.P.H."	"University of Washington"	"2011"	"110712s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 41 leaves :"			"740837427"
"Evaluation of the leadership management training for public health workers in the Blue Nile State in the Sudan /"		"Fatima Ahmed Mohamed Ahmed."	"Ahmed, Fatima Ahmed Mohamed."	"M.P.H."	"University of Washington"	"2009"	"091203s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 30 leaves :"			"472461733"
"Estimating child mortality and non-fatal outcomes of diarrheal diseases by etiology in 2010 /"		"Stephanie Y. Ahn."	"Ahn, Stephanie Y."	"M.P.H."	"University of Washington"	"2012"	"130628s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (v, 40 pages) :"	"Lozano, Rafael,thesis advisor."	"http://hdl.handle.net/1773/21955"	"851200352"
"The magnitude of health managers turnover in Khartoum State Ministry of Health (KSMOH), Sudan 2005-2010. /"		"Mohamed Ali Mohamed Alamin."	"Alamin, Mohamed Ali Mohamed."	"M.P.H."	"University of Washington"	"2012"	"121206s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (v, 22 pages) :"	"Sherr, Sarah G.,thesis advisor."	"http://hdl.handle.net/1773/20683"	"820480995"
"Breast cancer knowledge and beliefs among female nurses and midwives in Ghana /"		"Ibrahim Anchong Ali."	"Ali, Ibrahim Anchong."	"M.P.H."	"University of Washington"	"2011"	"111006s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 36 leaves "			"756045060"
"Socio-cultural determinants of child obesity :"	"a qualitative study on the role of diet and physical activity among the Somali community in Greater Seattle, Washington /"	"Mohamed Aden Ali."	"Ali, Mohamed Aden."	"M.P.H."	"University of Washington"	"2008"	"081125s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 47 leaves :"			"276370623"
"Acceptability and barriers of the home-based voluntary counseling and testing model in the first six months of service in three rural sites in Amhara, Ethiopia /"		"Nikole H. Allen."	"Allen, Nikole H."	"M.P.H."	"University of Washington"	"2012"	"130628s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 33 pages)"	"Downer, Ann,thesis advisor."	"http://hdl.handle.net/1773/21959"	"851210038"
"Strategies for strengthening district management of resources for health in Sofala Province, Mozambique /"		"Fatima Abdul Rahamane Aly."	"Aly, Fatima Abdul Rahamane."	"M.P.H."	"University of Washington"	"2010"	"110203s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 39 leaves :"			"700220822"
"Hungering for survival :"	"trends in under-5 malnutrition and attributable disease burden /"	"Kathryn G. Andrews."	"Andrews, Kathryn G."	"M.P.H."	"University of Washington"	"2012"	"130628s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (viii, 69 pages) :"	"Gakidou, Emmanuela,thesis advisor."	"http://hdl.handle.net/1773/21961"	"851202779"
