245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Maternal and child health services in county and city public health departments in California /"		"by Marylee Badon."	"Badon, Marylee."	"M.P.H."	"University of Washington"	"1992"	"921006s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 51 leaves "			"26735108"
"An examination of the effectiveness of the Federal Hazard Communication Training Program /"		"by Gary W. Bangs."	"Bangs, Gary W."	"M.P.H."	"University of Washington"	"1992"	"930409s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 181 leaves :"			"27893102"
"A comparison of Native American infant mortality rates by definition of race /"		"by Julie Bemer."	"Bemer, Julie,author."	"M.P.H."	"University of Washington"	"1991."	"190725s1991\\\\waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 28 pages) :"	"Connell, Fred A.,degree supervisor."	"http://hdl.handle.net/1773/33339"	"1110109491"
"A comparison of Native American infant mortality rates by definition of race /"		"by Julie Bemer."	"Bemer, Julie,author."	"M.P.H."	"University of Washington"	"1991"	"911016s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 28 leaves :"			"24569385"
"Adverse outcomes of low birth weight Alaska Natives :"	"a comparison of 1985 and 1989 /"	"Sharon R. Bezek."	"Bezek, Sharon R."	"M.P.H."	"University of Washington"	"1992"	"930409s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 45 leaves "			"27893173"
"Urban American Indians :"	"an exploratory analysis of maternal characteristics and infant mortality /"	"by Jean Borgerding."	"Borgerding, Jean."	"M.P.H."	"University of Washington"	"1991"	"910925s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 34 leaves :"			"24453714"
"Spouse support and dietary modification among hypercholesterolemic men /"		"by Viktor Ernest Bovbjerg."	"Bovbjerg, Viktor Ernest."	"M.P.H."	"University of Washington"	"1992"	"930401s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 34 leaves "			"27839269"
"Participation in a counselor-initiated telephone intervention among non self-selected smokers /"		"by John Britt."	"Britt, John."	"M.P.H."	"University of Washington"	"1991"	"920129s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 65 leaves "			"25182843"
"An evaluation of the non-Medicaid prenatal care program for undocumented women in Washington State /"		"by Karen Brozovich."	"Brozovich, Karen."	"M.P.H."	"University of Washington"	"1991"	"910924s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 50 leaves :"			"24446660"
"The prevalence of childhood physical abuse among parents at pediatric clinics in the Puget Sound area and their perceptions of physical punishment /"		"by Joanne Jamie Buntain-Ricklefs."	"Buntain-Ricklefs, Joanne Jamie."	"M.P.H."	"University of Washington"	"1992"	"921019s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 46 leaves "			"26817377"
"A case study of Oregon Senate Bill 27 /"		"by Katherine Byrkit."	"Byrkit, Katherine."	"M.P.H."	"University of Washington"	"1991"	"920505s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 54 leaves "			"25764927"
"A clinical database record for naturopathic therapeutics /"		"by Carlo Calabrese."	"Calabrese, Carlo."	"M.P.H."	"University of Washington"	"1992"	"930503s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 85 leaves :"			"28034327"
"An analysis of New Mexico border health issues :"	"recommendations for legislative action /"	"by Francisco H. Crespin."	"Crespin, Francisco H."	"M.P.H."	"University of Washington"	"1992"	"921027s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 71 leaves :"			"26868210"
"Intradermal administration of hepatitis B vaccine /"		"by Janet Davis."	"Davis, Janet."	"M.P.H."	"University of Washington"	"1991"	"920226s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 45 leaves "			"25350690"
"The effect of social support on the preference for step-down care versus home care among persons with AIDS /"		"by Carol L. De Groff."	"De Groff, Carol L."	"M.P.H."	"University of Washington"	"1992"	"920729s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 35 leaves "			"26282158"
"Consideration of air pathways in cleanup of contaminated groundwater /"		"by Donna L. Dehn."	"Dehn, Donna L."	"M.P.H."	"University of Washington"	"1991"	"911010s1991\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 119 leaves :"			"24530767"
"Status Epilepticus and its recurrence in Richmond metropolitan area /"		"by Narendra Dhaduk."	"Dhaduk, Narendra."	"M.P.H."	"University of Washington"	"1992"	"930503s1992\\\\xx\ab\\\\bm\\\000\0\eng\d"	"x, 106 leaves :"			"28034456"
"A validation of the functional independence measurement and its performance among rehabilitation in-patients /"		"by Thomas Andrew Dodds."	"Dodds, Thomas Andrew."	"M.P.H."	"University of Washington"	"1992"	"921023s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 35 leaves "			"26849595"
"Why surgeons prefer not to care for trauma patients /"		"by Thomas J. Esposito."	"Esposito, Thomas J."	"M.P.H."	"University of Washington"	"1991"	"910910s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 29 leaves :"			"24354004"
"Outcome of mental health care :"	"general medical sector vs. specialty sector in a general population sample /"	"by Robert L. Ferrer."	"Ferrer, Robert L."	"M.P.H."	"University of Washington"	"1991"	"920519s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 21 leaves "			"25846436"
"An implementation evaluation of the utilization review program at the Everett Clinic /"		"by Aiwei Fung."	"Fung, Aiwei."	"M.P.H."	"University of Washington"	"1992"	"930511s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 88 leaves "			"28088459"
"Salmonellosis, epidemiological relationship between human and bovine Salmonella isolates /"		"by Lynne M. Gearhart."	"Gearhart, Lynne M."	"M.P.H."	"University of Washington"	"1991"	"920529s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 123 leaves :"			"25911806"
"Pap screening for cervical cancer among native American women utilizing the Puget Sound tribal clinics /"		"by Asqual Getaneh."	"Getaneh, Asqual."	"M.P.H."	"University of Washington"	"1992"	"921202s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 26 leaves "			"27052065"
"The relationship between self-reported exercise and body mass index among Navajo adolescents /"		"by Park W. Gloyd."	"Gloyd, Park W."	"M.P.H."	"University of Washington"	"1992"	"930129s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 46 leaves :"			"27348748"
"Effects of low dose fish oil on serum lipids in hyperlipidemic subjects /"		"by Mary Ellen Gordian."	"Gordian, Mary Ellen."	"M.P.H."	"University of Washington"	"1991"	"920519s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 52 leaves :"			"25845993"
"Self-reported childhood abuse in an adult female primary care population :"	"prevalence, correlates and associated suicide attempts /"	"by Debra Ann Gould."	"Gould, Debra Ann."	"M.P.H."	"University of Washington"	"1992"	"921105s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 19 leaves :"			"26921136"
"Impacts of Medicaid expansion in Pierce County, Washington /"		"by Juliann M. Gunningham."	"Gunningham, Juliann M."	"M.P.H."	"University of Washington"	"1992"	"921105s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 25 leaves "			"26921057"
"Pediatric hemoglobin concentration and exposure to environmental tobacco smoke /"		"by Harold D. Hanson."	"Hanson, Harold D."	"M.P.H."	"University of Washington"	"1992"	"930512s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 63 leaves "			"28094555"
"Agricultural irrigation with treated sewage effluent :"	"impact on surface and groundwater /"	"by Gregory Joseph Hayes."	"Hayes, Gregory Joseph."	"M.P.H."	"University of Washington"	"1991"	"910911s1991\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 98 leaves :"			"24360623"
"Seattle's chronically homeless :"	"social and health characteristics /"	"by Joan K. Haynes."	"Haynes, Joan K."	"M.P.H."	"University of Washington"	"1992"	"930517s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 48 leaves "			"28118794"
"Internists' attitudes towards tube feeding /"		"by Marian O. Hodges."	"Hodges, Marian O."	"M.P.H."	"University of Washington"	"1992"	"921201s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 50 leaves :"			"27047982"
"Assessment as a function of local health departments :"	"perceptions of ten local health directors in Washington state /"	"by Paula M. Holmes."	"Holmes, Paula M."	"M.P.H."	"University of Washington"	"1992"	"930208s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 39 leaves :"			"27395379"
"Physical therapists' perceived effectiveness in treating patients with low back pain :"	"a comparison between physical therapists using the McKenzie approach and physical therapists not using the McKenzie approach /"	"by Susan Huppler."	"Huppler, Susan."	"M.P.H."	"University of Washington"	"1992"	"921201s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 52 leaves "			"27046902"
"Management skills required for entry-level clinical pharmacy practitioners /"		"by Marianne Formiller Ivey."	"Ivey, Marianne Formiller."	"M.P.H."	"University of Washington"	"1992"	"921201s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 64 leaves "			"27047060"
"Evaluation of an AIDS educational booklet tested in Nairobi, Kenya /"		"by Jaime Johnstone."	"Johnstone, Jaime."	"M.P.H."	"University of Washington"	"1991"	"920615s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 73 leaves :"			"26021320"
"A survey of attitudes toward acupuncture among Seattle adults /"		"by David C. Kailin."	"Kailin, David C."	"M.P.H."	"University of Washington"	"1992"	"921201s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 73 leaves "			"27046353"
"A new method of collecting vital statistics in Afghanistan /"		"by Suzette Rene Kakar."	"Kakar, Suzette Rene."	"M.P.H."	"University of Washington"	"1992"	"921201s1992\\\\xx\b\\\\\bm\\\000\0\eng\d"	"iii, 55 leaves :"			"27047337"
"Trends in the utilization of mammography in Washington state and British Columbia :"	"relation to stage of diagnosis and mortality /"	"by Steven Jay Katz."	"Katz, Steven Jay."	"M.P.H."	"University of Washington"	"1991"	"911016s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 19 leaves "			"24569498"
"Migration and regional distribution of childhood malnutrition in Côte d'Ivoire /"		"by Ahoua Koné."	"Koné, Ahoua."	"M.P.H."	"University of Washington"	"1991"	"920131s1991\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 39 leaves :"			"25199061"
"Perceptions and behaviors of African American women :"	"pregnancy and prenatal care /"	"by Lydia Dee Lewis."	"Lewis, Lydia Dee."	"M.P.H."	"University of Washington"	"1992"	"921201s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 51 leaves :"			"27046299"
"Prevalence of depression among pregnant spouses of deployed servicemen /"		"by Dawn E. Light."	"Light, Dawn E."	"M.P.H."	"University of Washington"	"1992"	"930209s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 27 leaves "			"27405014"
"Back pain in military aviators :"	"a descriptive study /"	"by Darrell Lovins."	"Lovins, Darrell."	"M.P.H."	"University of Washington"	"1992"	"930216s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 41 leaves "			"27452470"
"Adolescent access to prenatal care evaluating SOBRA and AHCCCS in Arizona /"		"by Elizabeth Marie MacNeill."	"MacNeill, Elizabeth Marie."	"M.P.H."	"University of Washington"	"1992"	"920908s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 85 leaves "			"26561096"
"Zoonotic disease and subsistence lifestyle in northwestern Alaska /"		"by Marian Mann."	"Mann, Marian."	"M.P.H."	"University of Washington"	"1991"	"910911s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 117 leaves :"			"24360607"
"Barriers to screening :"	"the theory of reasoned action applied to mammagraphy use in a military beneficiary population /"	"by Thomas C. Michels."	"Michels, Thomas C."	"M.P.H."	"University of Washington"	"1992"	"930216s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 71 leaves :"			"27452392"
"Impact of a procedure-specific do not resuscitate (DNR) order form on documentation of DNR orders in a public teaching hospital /"		"by James Mittelberger."	"Mittelberger, James."	"M.P.H."	"University of Washington"	"1991"	"920317s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 37 leaves "			"25489827"
"Evaluation of the implementation of the quality care program /"		"by Kelly A. Montgomery."	"Montgomery, Kelly A."	"M.P.H."	"University of Washington"	"1992"	"920908s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 104 leaves "			"26561119"
"Maternal and child health characteristics in urban and rural American Indians and Alaskan Natives, Washington State, 1984-1989 /"		"by Michelle Moran."	"Moran, Michelle."	"M.P.H."	"University of Washington"	"1991"	"920409s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 63 leaves :"			"25620259"
"An intervention to increase use of a preoperative autologous blood donation program /"		"by Roxanne M. Morganthaler."	"Morganthaler, Roxanne M."	"M.P.H."	"University of Washington"	"1992"	"930603s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 126 leaves :"			"28202978"
"The relationship of fear of AIDS to use of universal precautions among emergency nurses /"		"by Elizabeth Mulvaney."	"Mulvaney, Elizabeth."	"M.P.H."	"University of Washington"	"1991"	"911028s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 67 leaves :"			"24637760"
