245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Origin of the constitution of the state of Washington /"		"by Lebbeus J. Knapp, A.B."	"Knapp, Lebbeus J.,author."	"Master of Arts"	"University of Washington"	"1910"	"960808s1910\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves :"			"35211826"
"The origin of the constitution of the state of Washington /"		"by Lebbeus J. Knapp, A.B."	"Knapp, Lebbeus J.,author."	"Master of Arts"	"University of Washington"	"1910"	"200403s1910\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (78, 8, 10 leaves) :"	"Meany, Edmond S.(Edmond Stephen),1862-1935,degree supervisor."	"http://hdl.handle.net/1773/33327"	"1148477213"
"Fur trading forts of Old Oregon, 1810-1834."			"Judson, Katharine Berry."				"960808s1911\\\\xx\\\\\\\bm\\\000\0\eng\d"	"198 leaves"			"35211828"
"Ecclesiastical prerogative of the Tudors."			"Lewis, Herbert Henry."				"960806s1912\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"35198111"
"The Philippines are adapted to American settlement ..."			"Bennett, G. Vernon(Guy Vernon),1880-"	"M.A."	"University of Washington"		"890728s1912\\\\xx\\\\\\\bm\\\000\0\eng\d"	"43 leaves"			"20083223"
"Influence of the political theories of Locke and Hobbes upon the political doctrines of Alexander Hamilton."			"Mitchell, Edith Beatrice."				"960815s1914\\\\xx\\\\\\\bm\\\000\0\eng\d"	"33 leaves"			"35248777"
"Abraham Lincoln and slavery."			"Kobayashi, Nuinosuke."				"960826s1916\\\\xx\\\\\\\bm\\\000\0\eng\d"	"108 leaves"			"35304550"
"Andrew Johnson's attitude toward negro suffrage."			"Willard, Grace Kindig."				"960904s1917\\\\xx\\\\\\\bm\\\000\0\eng\d"	"77 leaves"			"35363593"
"Early history of civil service reform in the United States."			"Dunn, Elizabeth Moore."				"960830s1917\\\\xx\\\\\\\bm\\\000\0\eng\d"	"35 leaves"			"35328989"
"Reconstruction and the courts."			"Ingersoll, Louise Julia."				"960909s1918\\\\xx\\\\\\\bm\\\000\0\eng\d"	"1 volume"			"35447860"
"The history of irrigation in the state of Washington."			"Boening, Rose Marie."				"960904s1918\\\\xx\\\\\\\bm\\\000\0\eng\d"	"79 leaves"			"35363595"
"Arbitrary political arrests during the Civil war."			"Johnson, Minnie Lorna."				"960909s1919\\\\xx\\\\\\\bm\\\000\0\eng\d"	"110 leaves"			"35449670"
"The early development of the northern route from the Dakota land to the Pacific."			"Fish, Herbert Clay,1875-1934."				"960910s1920\\\\xx\\\\\\\bm\\\000\0\eng\d"	"59 leaves"			"35455180"
"Municipal administration and government in Rome and Italy."			"Buchanan, Iva Luella."				"960910s1920\\\\xx\\\\\\\bm\\\000\0\eng\d"	"126 leaves"			"35455126"
"Certain aspects of the congressional career of Senator James Rood Doolittle ..."			"Yerger, Bessie Pearl."				"960925s1921\\\\xx\\\\\\\bm\\\000\0\eng\d"	"123 leaves"			"35632524"
"Tiberius Caesar and the Roman constitution ..."			"Kuntz, Olive."				"960925s1921\\\\xx\\\\\\\bm\\\000\0\eng\d"	"160 leaves"			"35632542"
"The campaign of 1866 ..."			"Hammarberg, Agnes Elizabeth."				"960717s1921\\\\xx\\\\\\\bm\\\000\0\eng\d"	"164 leaves"			"35097258"
"The Populist party ..."			"Dahlin, Ebba."				"960703s1922\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127 leaves"			"35028872"
"McClellan in Washington, 1853-1854 ..."			"Crane, Lillian Alice Dean."	"M.A."	"University of Washington"		"890728s1922\\\\xx\\\\\\\bm\\\000\0\eng\d"	"57 leaves"			"20083312"
"The sockeye salmon controversy,"	"an international problem ..."		"Cox, Manning William."				"960628s1922\\\\xx\b\\\\\blm\\000\0\eng\d"	"109 leaves"			"35006182"
"Shays' rebellion ..."			"Spieseke, Alice Winifred,1899-"				"961002s1923\\\\xx\\\\\\\bm\\\000\0\eng\d"	"97 leaves"			"35669456"
"Three studies in pre-war diplomacy. I. The Potsdam conference. II. The relation of Count Tisza, Premier of Hungary to the opening events of the war. III. The change in German policy on July 27, 1914 ..."			"Murray, Hattie Sylvia."				"961002s1923\\\\xx\\\\\\\bm\\\000\0\eng\d"	"83 leaves"			"35671766"
"The sixteenth century renaissance in medicine and surgery ..."			"Minnis, Marjorie Elizabeth."				"960930s1923\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves"			"35656144"
"A study of the critical period of the reformation in Scotland ..."			"Wilson, Evelyn Faye."				"961010s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"71 leaves"			"35712371"
"Events leading to the Mexican war ..."			"Pryde, Joel Joseph."				"961004s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"111 leaves"			"35686826"
"Forty years on Bellingham Bay ..."			"Pickett, May Belle."	"M.A."	"University of Washington"		"890727s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"44 leaves"			"20079425"
