245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Designing for human supported evidence-based planning /"		"Elena Agapie."	"Agapie, Elena,author."	"Ph. D."	"University of Washington"	"2020."	"200903t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 144 pages) :"	"Munson, Sean,degree supervisor.;Hsieh, Gary,degree supervisor."	"http://hdl.handle.net/1773/45709"	"1192544662"
"Troubling matters :"	"examining the spread of misinformation and disinformation on social media during mass disruption events /"	"Ahmer Arif."	"Arif, Ahmer,author."	"Ph. D."	"University of Washington"	"2020."	"210811t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 204 pages) :"	"Starbird, Kate,1975-degree supervisor.;Turns, Jennifer,1968-degree supervisor."	"http://hdl.handle.net/1773/46701"	"1263622862"
"The effect of linguistic explicitness and English language proficiency on the credibility of online medical information /"		"Alexandra L. Bartell."	"Bartell, Alexandra L."	"Ph. D."	"University of Washington"	"2011"	"120427s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 246 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501499"	"790413628"
"Toward centering access in professional design /"		"Cynthia Bennett."	"Bennett, Cynthia L.,1990-author."	"Ph. D."	"University of Washington"	"2020."	"200504t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (183 pages) :"	"Rosner, Daniela,degree supervisor.;Ribes, David,degree supervisor."	"http://hdl.handle.net/1773/45406"	"1153152122"
"Designing to account for patients' personal values in collaborative care for multiple chronic conditions /"		"Andrew B.L. Berry."	"Berry, Andrew B. L.,author."	"Ph. D."	"University of Washington"	"2019."	"190508t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 134 pages) :"	"Haselkorn, Mark P.,degree supervisor."	"http://hdl.handle.net/1773/43605"	"1100486327"
"Designing guided asynchronous remote communities to support teen mental health /"		"Arpita Bhattacharya."	"Bhattacharya, Arpita,author."	"Ph. D."	"University of Washington"	"2020."	"210824t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, xi, 314 pages) :"	"Kientz, Julie A.,degree supervisor.;Munson, Sean,degree supervisor."	"http://hdl.handle.net/1773/46702"	"1264798325"
"Conceptions of trust :"	"how designers approach usable privacy and security /"	"Colin Birge."	"Birge, Colin,1974-author."	"Ph. D."	"University of Washington"	"2013."	"140623t20132013wau\\\\\obm\\s000\0\eng\d"	"1 online resource (245 pages)"	"Kolko, Beth E.,degree supervisor."	"http://hdl.handle.net/1773/24298"	"881652018"
"Human centered tools for analyzing online social data /"		"Michael Brooks."	"Brooks, Michael,1987-author."	"Ph. D."	"University of Washington"	"2015"	"160404t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 209 pages) :"	"Aragon, Cecilia Rodriguez,degree supervisor."	"http://hdl.handle.net/1773/35095"	"945931150"
"Using visual analytics to support artificial intelligence development /"		"Nan-Chen Chen."	"Chen, Nan-Chen,author."	"Ph. D."	"University of Washington"	"2019."	"200211t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xxiii, 213 pages) :"	"Aragon, Cecilia Rodriguez,degree supervisor."	"http://hdl.handle.net/1773/45059"	"1140223796"
"Designing playful technology for young children's mealtime /"		"Ying-Yu Chen."	"Chen, Yingyu,1981-author."	"Ph. D."	"University of Washington"	"2019."	"191115t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 122 pages) :"	"Rosner, Daniela,degree supervisor.;Hiniker, Alexis,degree supervisor."	"http://hdl.handle.net/1773/44646"	"1127827671"
