245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Development of T cell immunity to Listeria monocytogenes and Mycobacterium tuberculosis :"	"dendritic cells as an ""Achilles' heel"" and immune deficiency in dopamine beta-hydroxylase knock-out mice /"	"Robert Christopher Alaniz."	"Alaniz, Robert Christopher."	"Ph. D."	"University of Washington"	"2002"	"030404s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 109 leaves :"		"http://hdl.handle.net/1773/8357"	"51981487"
"Toll-like receptor 5 recognition fo bacterial flagellin /"		"Erica Andersen-Nissen."	"Andersen-Nissen, Erica,1975-"	"Ph. D."	"University of Washington"	"2006"	"061120s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 126 leaves :"		"http://hdl.handle.net/1773/8341"	"76700234"
"Tolerance mechanisms controlling cell fate decisions during peripheral B cell development /"		"Sarah F. Andrews."	"Andrews, Sarah F."	"Ph. D."	"University of Washington"	"2008"	"090127s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 125 leaves :"			"299784896"
"Development of a pre-clinical model for gene therapy treatment of Wiskott-Aldrich syndrome /"		"Alexander Astrakhan."	"Astrakhan, Alexander."	"Ph. D."	"University of Washington"	"2010"	"110609s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 78 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443124"	"729758797"
"Modeling CARMA1 regulation in adaptive immunity /"		"Ashok D. Bandaranayake."	"Bandaranayake, Ashok D."	"Ph. D."	"University of Washington"	"2011"	"120221s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 78 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485345"	"777681426"
"Engineering domain fusion chimeras from I-OnuI family LAGLIDADG homing endonucleases for genome engineering applications /"		"Sarah Katherine Baxter."	"Baxter, Sarah Katherine,1982-"	"Ph. D."	"University of Washington"	"2012"	"140328s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (91 pages) :"	"Scharenberg, Andrew,thesis advisor."	"http://hdl.handle.net/1773/22592;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3552764"	"875009356"
"The role of cysteine proteases in MHC class II antigen processing and presentation /"		"Courtney Beers."	"Beers, Courtney."	"Ph. D."	"University of Washington"	"2004"	"040706s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 110 leaves :"		"http://hdl.handle.net/1773/8321"	"55851408"
"Modulation of T cell function and T cell receptor repertoire during the induction of peripheral tolerance /"		"Catherine Anne Blish."	"Blish, Catherine."	"Ph. D."	"University of Washington"	"1999"	"000417s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 133, leaves :"		"http://hdl.handle.net/1773/8323;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9954815"	"43871012"
"Nucleic acid detection in anti-viral responses and autoimmunity /"		"Rebecca Lynn Brunette."	"Brunette, Rebecca Lynn."	"Ph. D."	"University of Washington"	"2012"	"140328s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 129 pages) :"	"Stetson, Daniel B.,1975-thesis advisor."	"http://hdl.handle.net/1773/22594;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3552745"	"875010159"
"ADP-ribose :"	"a novel oxidative stress second messenger in lymphocytes /"	"Ben Buelow."	"Buelow, Ben,1980-"	"Ph. D."	"University of Washington"	"2009"	"090807s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 95 pages :"			"429654130"
