245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Taxonomy, systematics, and ecology of helminth parasites of the ringed seal, Phoca hispida Schreber, in Alaskan waters /"		"by Ann Marie Adams."	"Adams, Ann Marie,1958-"	"Ph. D."	"University of Washington"	"1988"	"890410s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 203 leaves :"			"19527672"
"The implications of being an obligately outcrossing plant species :"	"with particular reference to Pedicularis and its Bombus pollinators /"	"by Virginia Dale Adams."	"Adams, V. D.(Virginia Dale)"		"University of Washington"		"800805s1980\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 187 leaves :"			"6587785"
"Genetic variability in a species possessing extensive gene duplication :"	"genetic interpretation of duplicate loci and examination of genetic variation in populations of rainbow trout /"	"by Frederick William Allendorf."	"Allendorf, Frederick William."	"Ph. D."	"University of Washington"	"1975"	"840928s1975\\\\xx\a\\\\\bmt\\000\0\eng\d"	"vi, 98 leaves :"		"http://hdl.handle.net/1773/10324;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7617384"	"11208913"
"Elucidation of the mechanism(s) responsible for the decline in B and T lymphocyte mitogenic activity with age in mice /"		"by Lynn Ellen Averill."	"Averill, Lynn Ellen."	"Ph. D."	"University of Washington"	"1984"	"840611s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 76 leaves, 13 unnumbered leaves of plates :"			"10828269"
"A computer simulation model for the eastern Bering Sea king crab population."			"Balsiger, James W."	"Ph. D."	"University of Washington"		"890519s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"197 leaves"			"19735464"
"The effect of stimulation on the duration and amount of sleep and wakefulness in the premature infant."			"Barnard, Kathryn Elaine,1938-"	"Ph. D."	"University of Washington"		"921027s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 leaves"			"26868639"
"The free place :"	"literary, visual, and jazz creations of space in the 1960s /"	"by Andrew Walsh Bartlett."	"Bartlett, Andrew Walsh."	"Ph. D."	"University of Washington"	"1999"	"000211s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 225 leaves :"		"http://hdl.handle.net/1773/10312;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936363"	"43443593"
"Evidence for the climatic role of marine biogenic sulfur /"		"by Timothy S. Bates."	"Bates, Timothy S.,1953-"	"Ph. D."	"University of Washington"	"1988"	"890830s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 102 leaves :"			"20282385"
"Individual and community style in personal narratives of storyteller Del Ringer of North Bend, Washington /"		"by Marjorie Bangs Bennett."	"Bennett, Marjorie Bangs."	"Ph. D."	"University of Washington"	"1986"	"861022s1986\\\\xx\ac\\\\bm\\\000\0\eng\d"	"viii, 510 leaves :"			"14473432"
"The effects of caregiving activities in the neonatal intensive care unit on the behvior and development of premature infants /"		"by Susan Tucker Blackburn."	"Blackburn, Susan Tucker."		"University of Washington"		"800307s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 148 leaves :"			"6061823"
