245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Neo-feminism and the chick flick :"	"pushing consumerism /"	"Sarah Alisdairi."	"Alisdairi, Sarah."	"M.A.I.S."	"University of Washington, Tacoma"	"2012"	"120725s2012\\\\xx\a\\\\\bm\\\000\0\eng\d"	"40 leaves "			"801706687"
"Nature narratives that bypass rhetoric for bedrock democracy /"		"Kathryn M. Anderson."	"Anderson, Kathryn M."	"M.A.I.S."	"University of Washington, Tacoma"	"2010"	"101020s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves "			"671243427"
"Does mission matter :"	"a research project on the influence of a Catholic-based healthcare mission statement on rehabilitation therapists /"	"Natalie Anderson."	"Anderson, Natalie."	"M.A.I.S."	"University of Washington, Tacoma"	"2006"	"061122s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 65 leaves "			"76790158"
"The lure of the paradigm :"	"Berlin spaces and phrases, 1945 to 1970 /"	"Leona M Ansley."	"Ansley, Leona M."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"070919s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 89 leaves :"			"173155212"
"Socio-cultural construction of an illness :"	"Lymphedema and its interacting cultural ideals /"	"Juanita Baker."	"Baker, Juanita."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091202s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 43 leaves "			"472226644"
"Women of the American Civil War era and the Feminine mystique /"		"Laura R. Baltz."	"Baltz, Laura R."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"070919s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 57 leaves "			"173155134"
"Constructions of the dislocated worker /"		"Lori Banaszak."	"Banaszak, Lori."	"M.A."	"University of Washington"	"2003"	"030924s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 89 leaves "			"53082916"
"Environmental injustice :"	"an evaluation of Tacoma, Washington /"	"Amy Bates."	"Bates, Amy,1970-"	"M.A."	"University of Washington"	"2005"	"060217s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 60 leaves :"			"64043187"
"A case study of a giving circle's community impact /"		"Nicole K. Bavo."	"Bavo, Nicole K."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"100514s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 60 leaves :"			"614476205"
"Technology literacy as required by the No Child Left Behind Act :"	"how and by whom is it defined? /"	"Susan L. Bennett."	"Bennett, Susan L."	"M.A.I.S."	"University of Washington"	"2006"	"060911s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 89 leaves :"			"71292335"
"A tripartite effort toward Islamic peace dialogue :"	"an analysis of 'A common word' /"	"Elizabeth A. Bliss."	"Bliss, Elizabeth A."	"M.A.I.S."	"University of Washington, Tacoma"	"2012"	"120719s2012\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 59 leaves "			"800746601"
"A viable future for wild Pacific salmonids in the Pacific Northwest /"		"Roger Layne Bowman."	"Bowman, Roger Layne."	"M.A."	"University of Washington"	"2003"	"030924s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 88 leaves :"			"53078251"
"Health as project :"	"an adaptive response to the postmodern identity crisis as seen through the middle class experience of health /"	"Danielle Bregent."	"Bregent, Danielle C."	"M.A."	"University of Washington"	"2004"	"040915s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 55 leaves "			"56514352"
"An environmental history of Commencement Bay from geologic formation through the 1921 opening of the public Port of Tacoma /"		"Karen Roy Brittain."	"Brittain, Karen Roy."	"M.A.I.S."	"University of Washington, Tacoma"	"2006"	"061122s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 155 leaves :"			"76790211"
"The cinematic eye :"	"modern ways of seeing urban life through city symphony films of the 1920s /"	"Michele Brittany."	"Brittany, Michele."	"M.A.I.S."	"University of Washington, Tacoma"	"2010"	"110126s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 72 leaves "			"698372549"
"Corporate public relations communications :"	"a cross-case analysis exploring a liberal-communitarian model /"	"Vickie Ann Brown."	"Brown, Vickie Ann."	"M.A."	"University of Washington, Tacoma"	"2009"	"091202s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 101 leaves :"			"472226462"
"Rural women, modernity, consumerism, advertising :"	"1920s convergent themes in Callie's scrapbook /"	"Caroline M. Fast Calvillo."	"Calvillo, Caroline M. Fast."	"M.A."	"University of Washington"	"2004"	"040929s2004\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iv, 107 leaves :"			"56601400"
"Rising from the ashes :"	"the Puyallup Indians : assimilation, culture & self-determination /"	"Charles L. Carson."	"Carson, Charles L."	"M.A."	"University of Washington"	"2003"	"030924s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"viii, 63 leaves "			"53082917"
"Passing on the dance :"	"Cambodian cultural identity as viewed through classical dance programs in Tacoma, WA /"	"Tang Cheam."	"Cheam, Tang."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091202s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 53 leaves :"			"472226482"
