245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Seroepidemiology of a novel Babesia spp. in U.S. primate colonies /"		"by Kathleen V. Aldridge."	"Aldridge, Kathleen V."	"M.S."	"University of Washington"	"1997"	"980528s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 68 leaves :"			"39194251"
"A re-evaluation of trapped plasma in the microhematocrit determination /"		"by Timothy Andersen."	"Andersen, Timothy."	"M.S."	"University of Washington"	"1986"	"861010s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 80 leaves :"			"14373936"
"The utilization of an electronic particle counting system to study frequency distributions of red cell volume, red cell surface area, and red cell sphericity index /"		"by Judith Mary Andrews."	"Andrews, Judith Mary."	"M.L.M."	"University of Washington"		"800805s1980\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 87 leaves :"			"6589639"
"Ascorbic acid excretion in diabetic nephropathy /"		"by Daniel H. Atchley."	"Atchley, Daniel H."	"M.S."	"University of Washington"	"1995"	"951013s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 31 leaves :"			"33295034"
"Application of pulsed-field gel electrophoresis to study the molecular epidemiology of Corynebacterium jeikeium infections in bone marrow transplant patients /"		"by Agnes Balog."	"Balog, Agnes."	"M.S."	"University of Washington"	"1999"	"000419s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 54 leaves :"			"43889969"
"Evaluation of matrix assisted laser desorption ionization time of flight mass spectrometry for clinical microbiology applications /"		"Elizabeth Bauerle."	"Bauerle, Elizabeth,author."	"M.S."	"University of Washington"	"2014"	"140918t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 67 pages) :"	"Butler-Wu, Susan,degree supervisor."	"http://hdl.handle.net/1773/25429"	"890822533"
"Quantitation of low abundance analytes in plasma by immunoaffinity enrichment and detection by nano-liquid chromatography tandem mass spectrometry /"		"Jessica Osborn Becker."	"Becker, Jessica Osborn."	"M.S."	"University of Washington"	"2011"	"120502s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 117 leaves :"			"792944722"
"Comparison of clinical features between inpatient and outpatient cases of Clostridium difficile infection /"		"Marcus J. Belger."	"Belger, Marcus J.,author."	"M.S."	"University of Washington"	"2017"	"180410t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (42 pages) :"	"Fang, Ferric C.,degree supervisor."	"http://hdl.handle.net/1773/40802"	"1030979632"
"The role of Escherichia coli containing genes encoding cytotoxic and attaching-effacing properties in childhood diarrhea /"		"by Theresa N. Bokete."	"Bokete, Theresa N."	"M.S."	"University of Washington"	"1991"	"920505s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 68 leaves :"			"25764902"
"Campylobacter pylori and associated chronic gastritis in the nonhuman primate Macaca nemestrina :"	"studies toward an animal model /"	"by Melinda A. Bronsdon."	"Bronsdon, Melinda A."	"M.S."	"University of Washington"	"1987"	"880614s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 67 leaves :"			"18083454"
