245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Evaluation of participatory planning in river conservation :"	"Washington State Parks Scenic Rivers Program /"	"by Paul David Agrimis."	"Agrimis, Paul David."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900425s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 198 leaves :"			"21428477"
"Spatial distance of vendors and buyers :"	"a cross-cultural comparison of Pike Place Market, Seattle and Jattujak Market, Bangkok /"	"by Pavadee Ansusinha."	"Ansusinha, Pavadee."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910812s1990\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 77 leaves :"			"24224539"
"Art along the way :"	"a study of artwork patronage in Seattle streets and other right-of-ways /"	"by Stephen M. Antupit."	"Antupit, Stephen M."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910408s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 157 leaves :"			"23435915"
"Design/build :"	"a perspective for landscape architecture /"	"by John Forrest Barker."	"Barker, John Forrest."	"M. Landsc. Arch."	"University of Washington"	"1984"	"840719s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 160 leaves :"			"10966395"
"Fruit trees in urban public lands :"	"an examination of issues, concerns and possible solutions to their placement in the city of Seattle /"	"by Anna Kathleen Bastin."	"Bastin, Anna Kathleen."	"M. Landsc. Arch."	"University of Washington"	"1992"	"930120s1992\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 97 leaves :"			"27294738"
"A history of an abandoned railroad landscape for reuse as a bike trail :"	"the Burke-Gilman Trail extension /"	"by Susan Diane Bergen."	"Bergen, Susan Diane."	"M. Landsc. Arch."	"University of Washington"	"1991"	"910912s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xv, 257 leaves :"			"24365899"
"Community/Place/Time :"	"dynamics of life, ethics for living /"	"by Madzy Eugenie Besselaar."	"Besselaar, Madzy Eugenie."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950208s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 125 leaves :"			"31953932"
"Ski town circulation design and planning in the western United States /"		"by Robert Wessel Birkeland."	"Birkeland, Robert Wessel."	"M. Landsc. Arch."	"University of Washington"	"1988"	"880906s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 149 leaves :"			"18449239"
"Designing wild zoos :"	"a believable compromise /"	"by John Burke."	"Burke, John,1954-"	"M. Landsc. Arch."	"University of Washington"	"1995"	"951025s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 137 leaves :"			"33360649"
"""Cuidar las plantas es hacer revolucion"" :"	"conservation planning in Nicaragua /"	"by Dori C. Cahn."	"Cahn, Dori C."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900215s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 153 leaves :"			"21070693"
