245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Criminal defense in Saudi Arabia :"	"an empirical study of the practice of criminal defense in Saudi Arabia /"	"Abdulaziz K. Al-Hamoudi."	"Al-Hamoudi, Abdulaziz K.,author."	"Ph. D."	"University of Washington"	"2014"	"150410t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 289 pages) :"	"Schumacher, Scott A.,degree supervisor."	"http://hdl.handle.net/1773/27511"	"907088323"
"Whose authority? interpreting, imposing, and complying with corporate zakat obligations in Indonesia /"		"Alfitri."	"Alfitri,1976-author."	"Ph. D."	"University of Washington"	"2015"	"160129t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 268 pages) :"	"Taylor, Veronica L.,degree supervisor."	"http://hdl.handle.net/1773/33993"	"936210845"
"A longitudinal study of special purpose local option sales taxes and social indicators of crime across Washington counties /"		"Fabio Ambrosio."	"Ambrosio, Fabio,author."	"Ph. D."	"University of Washington"	"2020."	"210513t20202020wauab\\\obm\\s000\0\eng\d"	"1 online resource (2 unnumbered pages, ix, 132 pages) :"	"Weeks McCormack, Shannon,degree supervisor."	"http://hdl.handle.net/1773/46823"	"1250441830"
"What is the Indonesian responsibility for high seas fisheries? /"		"Melda Kamil Ariadno."	"Ariadno, Melda Kamil."	"Ph. D."	"University of Washington"	"2011"	"110711s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 249 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3452757"	"740450738"
"Local actors in donor-funded rule of law assistance in Indonesia :"	"owners, partners, agents? /"	"Anna B. Bosch."	"Bosch, Anna B.,author."	"Ph. D."	"University of Washington"	"2016"	"160907t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 385 pages)"	"Taylor, Veronica L.,degree supervisor."	"http://hdl.handle.net/1773/36734"	"958012887"
"Legal transplants and change :"	"unjust enrichment law in Japan /"	"by Norman Taylor Braslow."	"Braslow, Norman Taylor."	"Ph. D."	"University of Washington"	"1997"	"981008s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 394 leaves "		"http://hdl.handle.net/1773/9622"	"40068370"
"Violence against women in post-Mao China :"	"international human rights norms and local law /"	"Catherine Kuo-Shu Chang."	"Chang, Catherine Kuo-Shu."	"Ph. D."	"University of Washington"	"2003"	"040210s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"viii, 423 leaves "		"http://hdl.handle.net/1773/9614;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3102635"	"54390016"
"A model or a symbol? :"	"criminal IP judicial reforms of Taiwan under U.S. Special 301 /"	"Tao-Chou Chang."	"Chang, Tao-Chou,1971-author."	"Ph. D."	"University of Washington"	"2013."	"140611t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 408 pages) :"	"Winn, Jane K.,1957-degree supervisor."	"http://hdl.handle.net/1773/24091"	"881296807"
"Achieving sustainable marine fisheries :"	"a legal analysis of the settlement of fishing disputes /"	"Wen-Ning Chang."	"Chang, Wen-Ning,author."	"Ph. D."	"University of Washington"	"2020."	"210412t20202020wauab\\\obm\\s000\0\eng\d"	"1 online resource :"	"Schoenbaum, Thomas J.,degree supervisor."	"http://hdl.handle.net/1773/46495"	"1245872975"
"Codification in Thailand during the 19th and 20th centuries :"	"a study of the causes, process and consequences of drafting the penal code of 1908 /"	"Kanaphon Chanhom."	"Chanhom, Kanaphon."	"Ph. D."	"University of Washington"	"2010"	"101027s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 309 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3421549"	"672043021"
