245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The perfect and progressive constructions in English."			"Adams, Theodore E."	"M.A."	"University of Washington"		"890510s1970\\\\xx\\\\\\\bm\\\000\0\eng\d"	"49 leaves"			"19688713"
"Observations on the phonological derivations of vocalic processes and bilabial palatalization in Xhosa."			"Aoki, Paul Ken."	"M.A."	"University of Washington"		"890526s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"66 leaves"			"19767984"
"English declarative tags, intonation tags, and tag questions."			"Armagost, James L."	"M.A."	"University of Washington"		"890526s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"55 leaves"			"19767910"
"Declarative tag sentences and threatening tag sentences."			"Armagost, James Loran,1941-"	"Ph. D."	"University of Washington"		"890526s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"128 leaves"			"19767936"
"The position of Frisian in relation to other Germanic dialects."			"Arnett, Florence Elizabeth Derose."	"M.A."	"University of Washington"		"890712s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"65 leaves"			"19996742"
"Equi-NP deletion in Thai."			"Bandhumedha, Navavan."	"M.A."	"University of Washington"		"890526s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"69 leaves"			"19767951"
"Noun phrase deletion in Thai."			"Bandhumedha, Navavan."	"Ph. D."	"University of Washington"		"890526s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"182 leaves"			"19768012"
"A historical phonology of Dagur Mongolian."			"Barnes, James Holt."	"M.A."	"University of Washington"		"890526s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19767870"
"Proto-Tepiman (Tepehuan-Piman)"		"by Burton William Bascom, Jr."	"Bascom, Burton William,1921-"	"Ph. D."	"University of Washington"		"890712s1965\\\\xx\bd\\\\bmt\\000\0\eng\d"	"200 leaves"		"http://hdl.handle.net/1773/8415;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6605811"	"19996706"
"Black English distributive be."			"Bigelow, Teresa Virginia."	"M.A."	"University of Washington"		"890509s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19682307"
