245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Museum education :"	"a framework for creating a Seattle Maritime Interpretive Center /"	"by Ronald Z. Adams."	"Adams, Ronald Z."	"M.M.A."	"University of Washington"	"1987"	"880608s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 149 leaves "			"18058643"
"The Soviet Union and the law of the sea :"	"a study of policy evolution /"	"by Anthony P. Allison."	"Allison, Anthony P."	"M.M.A."	"University of Washington"	"1984"	"841022s1984\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 121 leaves "			"11295599"
"Public access to the industrial waterfront :"	"Seattle case study /"	"by Gina Martine Artus."	"Artus, Gina Martine."	"M.M.A."	"University of Washington"	"1981"	"811202s1981\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 104 leaves "			"7967866"
"Fish and wildlife mitigation :"	"description and analysis of estuarine applications /"	"by Daniel Mark Ashe."	"Ashe, Daniel Mark."	"M.M.A."	"University of Washington"	"1982"	"830107s1982\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 123 leaves "			"9107793"
"Communicating imperfect scientific information to fishery managers :"	"sablefish management off the United States west coast /"	"by Xanthippe Augerot."	"Augerot, Xanthippe."	"M.M.A."	"University of Washington"	"1987"	"880608s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 106 leaves :"			"18056612"
"The public port institution in the United States :"	"using past experiences to understand modern issues /"	"by Robin Scott Bittner."	"Bittner, Robin Scott."	"M.M.A."	"University of Washington"	"1987"	"871228s1987\\\\xx\\\\\\\blm\\000\0\eng\d"	"95 leaves "			"17286657"
"Regional and long-term water quality management in Puget Sound :"	"the discharge permitting process /"	"by Pieter N. Booth."	"Booth, Pieter N."	"M.M.A."	"University of Washington"	"1984"	"841017s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 107 leaves :"			"11275252"
"Strategies for determining recreation carrying capacity of coastal and marine parks :"	"an overview and case study /"	"by Robert G. Bosworth."	"Bosworth, Robert G."	"M.M.A."	"University of Washington"	"1981"	"810610s1981\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iii, 83 leaves :"			"7491607"
"A comparison of fishery management approaches :"	"license limitation versus individual harvest quotas : case example, the geoduck fishery /"	"by Craig Eugene Bowhay."	"Bowhay, Craig Eugene."	"M.M.A."	"University of Washington"	"1986"	"860306s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 89 leaves :"			"13245832"
"An examination of the application of the Draft Convention on the Law of the Sea to prospective polymetallic sulfide mining at ocean rift zones /"		"by Brian Faraday Butler."	"Butler, Brian Faraday."	"M.M.A."	"University of Washington"	"1982"	"820813s1982\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 78 leaves :"			"8686753"
"Federal consistency seaward of the coastal zone /"		"by Stephen G. Calder III."	"Calder, Stephen G."	"M.M.A."	"University of Washington"	"1988"	"890105s1988\\\\xx\b\\\\\bm\\\000\0\eng\d"	"v, 127 leaves :"			"18972489"
"The sub-seabed option for disposal of high-level radioactive wastes :"	"political and legal implications from a national perspective /"	"by Elaine Marie Carlin."	"Carlin, Elaine Marie."	"M.M.A."	"University of Washington"	"1982"	"820813s1982\\\\xx\\\\\\\bm\\\000\0\eng\d"	"70 leaves "			"8686761"
