245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Microhardness anisotropy and solid solution effects in yttria stabilized cubic zirconia single crystals /"		"by Yoshio Akimune."	"Akimune, Yoshio."	"M.S. Cer. E."	"University of Washington"	"1985"	"851205s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 119 leaves :"			"12874003"
"The strengths of aluminosilicate proppants in stress corrosion conditions /"		"by William D. Armstrong."	"Armstrong, William D."	"M.S. Mat. S. & E."	"University of Washington"	"1987"	"880607s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, [62] leaves :"			"18048733"
"Grain growth in refractory dolomites /"		"by Joao Baptista Baldo."	"Baldo, Joao Baptista."	"Ph. D."	"University of Washington"	"1986"	"870326s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xv, 185 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8706506"	"15371660"
"Fatigue crack growth in the Ti-15-3 beta titanium alloy /"		"by Robert David Briggs."	"Briggs, Robert David."	"M.S. Met. E."	"University of Washington"	"1985"	"850905s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 88 leaves :"			"12493591"
"Comparison of surface areas of fine powders by nitrogen adsorption and sedimentation /"		"by Harlan Daniels Brown."	"Brown, Harlan Daniels."	"B.S. in Mat. S. & E."	"University of Washington"	"1987"	"091209s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"14, [32] leaves :"			"476360772"
"Polyelectrolyte adsorption on a-alumina and aqueous suspension behavior /"		"by Joseph Cesarano, III."	"Cesarano, Joseph."	"M.S. Cer. E."	"University of Washington"	"1985"	"850905s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 112 leaves, 2 unnumbered leaves of plates :"			"12493630"
"Polyelectrolyte stabilization and polysaccharide gelation of aqueous alumina suspensions /"		"by Joseph Cesarano III."	"Cesarano, Joseph."	"Ph. D."	"University of Washington"	"1989"	"900104s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xxii, 166 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9000218"	"20845711"
"Titania chlorination using carbon and carbon monoxide as reducing agents :"	"catalytic and photolytic studies included /"	"by Brian Keith Chadwick."	"Chadwick, Brian Keith."	"Ph. D."	"University of Washington"	"1987"	"871215s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xx, 465 leaves :"			"17241945"
"A statistical study of the thermal shock damage of high alumina technical ceramics /"		"by Kuan-Jye Chen."	"Chen, Kuan-Jye."	"M.S. Cer. E."	"University of Washington"	"1984"	"841029s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"120 leaves :"			"11321193"
"Gas-melt kinetics of ferrous alloy melts by levitation technique /"		"by Weol Dong Cho."	"Cho, Weol Dong,1953-"	"Ph. D."	"University of Washington"	"1988"	"881223s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 183 leaves :"			"18941466"
"Oxidation of chemically vapor deposited silicon nitride and single crystal silicon /"		"by Doo Jin Choi."	"Choi, Doo Jin."	"Ph. D."	"University of Washington"	"1986"	"861016s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 185 leaves, 5 unnumbered leaves of plates :"			"14405911"
"Transformation processes and microstructural instability in a beta titanium alloy /"		"by Chang Hwan Chun."	"Chun, Chang Hwan."	"Ph. D."	"University of Washington"	"1988"	"880823s1988\\\\xx\ad\\\\bmt\\000\0\eng\d"	"xvi, 205 leaves :"		"http://hdl.handle.net/1773/10578"	"18391668"
"Oxidation behavior of dense beta-sialon /"		"by Yun Hyun Chung."	"Chung, Yun Hyun."	"M.S. Mat. S. & E."	"University of Washington"	"1987"	"871216s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 82 leaves, 4 unnumbered leaves of plates :"			"17246444"
"The physical chemistry of arsenic in fayalite slag /"		"by Daniel M. Dabbs."	"Dabbs, Daniel M."	"Ph. D."	"University of Washington"	"1984"	"840820s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 219 leaves :"			"11070697"
"Compaction and sintering phenomena in titanium-copper alloys /"		"by Abderrahmane Daimellah."	"Daimellah, Abderrahmane."	"M.S. Mat. S. & E."	"University of Washington"	"1987"	"871215s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 75 leaves :"			"17243134"
"A transmission electron microscopy investigation of the early stages of beta phase decomposition in three metastable beta titanium alloys /"		"by Robert Hayden Dick."	"Dick, Robert Hayden."	"M.S. Mat. S. & E."	"University of Washington"	"1988"	"880822s1988\\\\xx\ad\\\\bm\\\000\0\eng\d"	"xv, 157 leaves :"			"18385567"
