245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Relations between the projective and metric differential geometries of surfaces ..."			"Albert, Orrin Wilson."	"Ph. D."	"University of Washington"		"890530s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"30 leaves"			"19782809"
"Large sample estimates for truncated multi-normal random variables ..."			"Andrews, Fred Charles."	"M.S. in Mathematical Statistics"	"University of Washington"		"890530s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"17 leaves"			"19781832"
"Significance of the term involution in mathematics ..."			"Anthony, Lucius Martin."	"M.A."	"University of Washington"		"890628s1940\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19936882"
"On magic squares constructed by the uniform step method ..."			"Apostol, Tom M."	"M.S."	"University of Washington"		"890712s1946\\\\xx\a\\\\\bm\\\000\0\eng\d"	"3 preliminary leaves, 68 leaves, 1 leaf, including folded diagrams"			"19996569"
"A certain type of inverse logarithmic function ..."			"Arnold, Bradford Henry."	"M.S."	"University of Washington"		"890714s1939\\\\xx\a\\\\\bm\\\000\0\eng\d"	"30 leaves"			"20008168"
"Method of constructing a series of fractions that approach the square root of a number ..."			"Ashmun, Raymond Nims."	"M.A."	"University of Washington"		"890808s1912\\\\xx\\\\\\\m\\\\000\0\eng\d"	"16 leaves"			"20139831"
"Some theorems concerning the adjunction of rows to a matrix whose elements are continuous functions,"		"by Horace Crookham Ayres ..."	"Ayres, Horace Crookham,1909-"	"M.S."	"University of Washington"		"890712s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"2 preliminary leaves, 17 leaves"			"19995574"
"A few methods of developing the sine and cosine series ..."			"Bagley, Walter Ethan."	"B.S."	"University of Washington"		"890728s1918\\\\xx\\\\\\\bm\\\000\0\eng\d"	"32 leaves"			"20083468"
"Rational duodecimic curves invariant under the dihedral collineation group of order twenty ..."			"Beegle, Burton Linton."	"M.S."	"University of Washington"		"890602s1936\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 46 leaves"			"19803248"
"Indeterminate elimination and analysis, a preliminary sketch of certain parts of a general theory ..."			"Bell, Eric Temple,1883-1960."	"M.A."	"University of Washington"		"890807s1908\\\\xx\\\\\\\bm\\\000\0\eng\d"	"65 leaves"			"20134481"
"Some general formulae for the summation of certain special types of series ..."			"Bender, Jacob Roy."	"M.A."	"University of Washington"		"890728s1918\\\\xx\\\\\\\m\\\\000\0\eng\d"	"36 leaves"			"20083202"
"A geometrical interpretation of the invariant system of two binary cubics ..."			"Benson, Kathryn Eleanor."	"M.S."	"University of Washington"		"890602s1940\\\\xx\\\\\\\bm\\\000\0\eng\d"	"24 leaves, 1 leaf including diagrams"			"19803222"
"Rings with additive group which is the direct sum of two cyclic groups ..."			"Benson, Martha White."	"M.S."	"University of Washington"		"890530s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19781860"
"Arithmetic of nonions."			"Biggerstaff, John Stauder."				"960627s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"20 leaves"			"34999678"
"Discussion of some associated quartic surfaces."			"Boyd, Grace Martha."				"960806s1912\\\\xx\a\\\\\m\\\\000\0\eng\d"	"23 leaves"			"35198064"
"An analysis of a sextic's general solution ..."			"Butler, Ralph Hibbert Raymond."	"M.S."	"University of Washington"		"890712s1945\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19, [2] leaves"			"19996659"
"Pair rings ..."			"Byrne, J. Richard(John Richard),1926-"	"M.S."	"University of Washington"		"890712s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"33 leaves"			"19996527"
"Self-projective rational octavics invariant under dihedral collineation groups of orders twelve and fourteen ..."			"Carlson, John Arvid."	"M.S."	"University of Washington"		"890615s1931\\\\xx\f\\\\\bm\\\000\0\eng\d"	"30 leaves including plates"			"19873845"
"The tensor algebra of invariants ..."			"Carpenter, Philip Nathaniel."	"M.S."	"University of Washington"		"890615s1932\\\\xx\\\\\\\m\\\\000\0\eng\d"	"46 leaves"			"19873815"
"On the singular points of the homogeneous ordinary differential equation ..."			"Chen, Wayne H.,1922-"	"Ph. D."	"University of Washington"		"890615s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19873351"
"Invariants of alternating tensors ..."			"Copenhagen, Helen Marian."	"M.S."	"University of Washington"		"890712s1935\\\\xx\\\\\\\bm\\\000\0\eng\d"	"45 leaves, 1 leaf"			"19995611"
"Conformal representation subject to the relation W: 1/2 (1/Z - Z) ..."			"Cramlet, Clyde Myron."	"M.S."	"University of Washington"		"890807s1920\\\\xx\af\\\\m\\\\000\0\eng\d"	"34 leaves"			"20135502"
"Invariant tensors and their application to the study of determinants and allied tensor functions."			"Cramlet, Clyde Myron."				"960627s1926\\\\xx\\\\\\\m\\\\000\0\eng\d"	"36 leaves"			"34999634"
"Rational tenth order curves admitting a dihedral group of order eighteen ..."			"Doi, Hanayo."	"M.S."	"University of Washington"		"890601s1932\\\\xx\a\\\\\bm\\\000\0\eng\d"	"23 leaves"			"19793954"
"Analytic treatment of the theory of point sets using the class-calculus and set-functions ..."			"Duthie, William Dwight."	"M.S."	"University of Washington"		"890731s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"41 leaves, 1 leaf"			"20103034"
"Rational ninth order curves invariant under the cyclic group of order seven and the dihedral group of order fourteen ..."			"Ehrlich, Freda."	"M.S."	"University of Washington"		"890726s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"24 leaves"			"20071676"
"Geometry in the senior high school ..."			"Finley, Madge Lee."				"920302s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"63 leaves"			"25379625"
"The sextic curves invariant under the subgroup G₃₆ of the Hesse group ..."			"Fitch, Arthur Leighton."	"M.A."	"University of Washington"		"890601s1929\\\\xx\\\\\\\m\\\\000\0\eng\d"	"12 leaves"			"19794012"
"Rational tenth order curve invariant under the dihedral group of order sixteen ..."			"Godfrey, Lilah Genevieve."	"M.S."	"University of Washington"		"890725s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"26 leaves"			"20065328"
"Contact curves of the rational cubic ..."			"Griffiths, Lois Wilfred."				"960717s1923\\\\xx\\\\\\\m\\\\000\0\eng\d"	"40 leaves"			"35099435"
"The testing whether or not a given percentile of one distribution is less than or equal to a given percentile of another distribution ..."			"Guenther, William Charles,1921-"	"Ph. D."	"University of Washington"		"890707s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19976705"
"Self-projective rational octavics ..."			"Haller, Mary Elizabeth,1902-"	"Ph. D."	"University of Washington"		"890707s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 61 leaves, 1 leaf including tables, diagrams"			"19976743"
"Sextics invariant under the icosahedral group and its sub-group the dihedral group of order ten ..."			"Haller, Mary Elizabeth,1902-"	"M.S."	"University of Washington"		"890707s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"32 leaves"			"19976871"
"Continuity of functions of a real variable and of functionals in a metric space ..."			"Harder, Dorothea."	"M.A."	"University of Washington"		"890707s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19976654"
"A new solution of the simplest problem of the calculus of variations by vector methods ..."			"Hostetter, Ingomar,1893-"	"Ph. D."	"University of Washington"		"890622s1935\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 101 leaves, 1 leaf"			"19910847"
"A mathematical theory of migration ..."			"Hotelling, Harold,1895-1973."	"M.S."	"University of Washington"		"890818s1921\\\\xx\b\\\\\m\\\\000\0\eng\d"	"33 leaves"			"20211538"
"The criteria for the nature of the roots of cubic and biquadratic equations derived from geometrical considerations ..."			"Jerbert, Arthur Rudolph."	"M.S."	"University of Washington"		"890725s1923\\\\xx\a\\\\\m\\\\000\0\eng\d"	"12 leaves"			"20065220"
"Projective differential geometry of a system of linear differential equations of the first order."			"Jerbert, Arthur Rudolph."				"961101s1927\\\\xx\\\\\\\m\\\\000\0\eng\d"	"22 leaves"			"35834754"
"The invariant configuration of the group connected with the pencil of quartic surfaces, x²y² + y²z² + x²z² ="	"kt⁴ ..."		"Johnson, Paul Bennett."	"M.S."	"University of Washington"		"890725s1940\\\\xx\a\\\\\bm\\\000\0\eng\d"	"43 leaves, 1 leaf including diagrams"			"20065285"
"Stieltjes integrals in the calculus of variations ..."			"Johnson, Richard E.,1913-"	"M.S."	"University of Washington"		"890725s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"25 leaves"			"20065381"
"The problem of Lagrange in the calculus of variations for integrals evaluated over a family of extremals ..."			"Knox, Kenneth Edwin."	"M.S."	"University of Washington"		"890601s1932\\\\xx\\\\\\\bm\\\000\0\eng\d"	"26 leaves"			"19794193"
"Integrals whose integrands contain a parameter ..."			"Knudsen, Lowell Jack."	"M.A."	"University of Washington"		"890601s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"32 leaves"			"19793227"
"Sequences of functions of bounded variation ..."			"Kramer, Vernon Albert."	"M.S."	"University of Washington"		"890601s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"30 leaves"			"19793252"
"A comparison of the problem of the calculus of variations in parametric and non-parametric form ..."			"Lauer, Charles Eugene."	"M.S."	"University of Washington"		"890714s1933\\\\xx\\\\\\\bm\\\000\0\eng\d"	"36 leaves"			"20008206"
"The motion of a charged particle in the field of a magnetic dipole ..."			"Layne, Mary Elizabeth."	"M.S."	"University of Washington"		"890712s1940\\\\xx\\\\\\\m\\\\000\0\eng\d"	"21 leaves"			"19995591"
"The transversality condition of the calculus of variations ..."			"Louie, James Hong Ming."	"M.S."	"University of Washington"		"890713s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 31 leaves"			"20000820"
"Certain associated surfaces determined by certain space cubics ..."			"Luse, Vera Marie."	"M.S."	"University of Washington"		"890713s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"9 leaves"			"20000881"
"Rational decimic curves invariant under the dihedral collineation group of order twelve ..."			"Macdonald, Clarice Irene."	"M.S."	"University of Washington"		"890713s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"24 leaves"			"20000841"
"Rational decimic curves invariant under the dihedral collineation group of order fourteen ..."			"McKay, James Harold."	"M.S."	"University of Washington"		"890619s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"26 leaves"			"19890582"
"The G₁ connected with a general plane cubic ..."			"Meyer, Mary Lee."				"901102s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 24 leaves"			"22622844"
"A study of the moments of A P-dimensional normal random variable after truncation in some or all of the coordinates ..."			"Meyer, Paul L."				"901102s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"49 leaves"			"22622848"
"The order of contact of curves and surfaces ..."			"Miller, Ross Franklin."				"901102s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"43 leaves"			"22622851"
"Foci of plane and spherical curves ..."			"Mo, Yeh."				"901102s1949\\\\xx\a\\\\\m\\\\000\0\eng\d"	"80 leaves"			"22622846"
"Isotropic lines and generalized foci ..."			"Mo, Yeh."				"901102s1948\\\\xx\\\\\\\m\\\\000\0\eng\d"	"4 preliminary leaves, 39 leaves"			"22622850"
"The exact tests of independence for 2 x 2 tables ..."			"Morris, Leo Edwin."	"M.S."	"University of Washington"		"890619s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"41 leaves"			"19890554"
"On significance tests in numerical Fourier analysis ..."			"Morrow, Dorothy Jeanne."				"901106s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"22 leaves"			"22639757"
"The decomposition of complete abelian groups ..."			"Moskin, Arthur."	"M.A."	"University of Washington"		"890623s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"14 leaves"			"19915284"
"Some formal aspects of the Riquier theory of systems of partial differential equations ..."			"Muggli, Ethel C.,1908-"	"Ph. D."	"University of Washington"		"890619s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19890512"
"Two plane curves in point correspondence."			"Neville, Jessie Elizabeth."				"960625s1928\\\\xx\\\\\\\m\\\\000\0\eng\d"	"21 leaves"			"34987217"
"The group connected with a pencil of quartic surfaces, x²₁x²₂+x²₁x²₃+x²₂x²₃=kx⁴₄ ..."			"Osborne, Marigale."	"M.S."	"University of Washington"		"891016s1940\\\\xx\a\\\\\m\\\\000\0\eng\d"	"30 leaves"			"20494031"
"A test of the ""level effect"" in Delta Cephei ..."			"Owen, D. B.(Donald Bruce),1922-"	"M.S."	"University of Washington"		"890715s1946\\\\xx\a\\\\\bm\\\000\0\eng\d"	"3 preliminary leaves, 13 leaves"			"20015841"
"A two sample test procedure ..."			"Owen, D. B.(Donald Bruce),1922-"	"Ph. D."	"University of Washington"		"890715s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 102 leaves"			"20011860"
"Surface curves studied through properties of normals to their geodesic tangents ..."			"Pennock, Dorothy."	"M.S."	"University of Washington"		"890622s1929\\\\xx\\\\\\\m\\\\000\0\eng\d"	"27 leaves"			"19910912"
"On multiplicative and enumerative properties of numerical function s ..."			"Pepper, Echo Dolores."	"M.S."	"University of Washington"		"890725s1922\\\\xx\\\\\\\m\\\\000\0\eng\d"	"23 leaves"			"20064386"
"Pencils and ranges of conics."			"Rathbun, John Charles."				"960724s1904\\\\xx\a\\\\\m\\\\000\0\eng\d"	"47 leaves"			"35133739"
"Discontinuous catenoids with single loadings ..."			"Rauch, Stanley Eugene."	"M. Science"	"University of Washington"		"890623s1939\\\\xx\a\\\\\bm\\\000\0\eng\d"	"28 leaves, diagrams"			"19916101"
"An extension of Chebyshev's inequality ..."			"Raymond, John H.,1911-"	"Ph. D."	"University of Washington"		"890623s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"27 leaves"			"19915250"
"An investigation of some characteristics of truncated binomial and truncated Poisson distributions ..."			"Rempfer, Ruth."	"M.S."	"University of Washington"		"890621s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"24 leaves"			"19902989"
"Some invariants of projective differential geometry ..."			"Rex, Earle Chester,1900-"	"M.A."	"University of Washington"		"890628s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19936912"
"An extension of the absolute differential calculus ..."			"Robertson, H. P.(Howard Percy),1903-1961."				"961024s1923\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"35789824"
"A transformation of the second variation of a multiple integral in the calculus of variations ..."			"Robinson, B. A.(Bruce Alan)"	"M.S."	"University of Washington"		"890628s1939\\\\xx\a\\\\\bm\\\000\0\eng\d"	"23 leaves"			"19936982"
"Toward a possible measure of asymmetry in a line ..."			"Rogers, Calvin Abraham."	"M.S."	"University of Washington"		"890530s1951\\\\xx\a\\\\\bm\\\000\0\eng\d"	"54 leaves"			"19781896"
"Cesaro summability of Fourier-Stieltjes series ..."			"Rogers, Gerald Stanley,1928-"	"M.A."	"University of Washington"		"890530s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19781963"
"Periodic orbits for straight-line solutions of the n-body problem ..."			"Ross, Clarence,1906-"	"Ph. D."	"University of Washington"		"890530s1939\\\\xx\\\\\\\bm\\\000\0\eng\d"	"31 leaves"			"19782877"
"On an algebra of power series ..."			"Schlesinger, Ernest Carl."	"M.A."	"University of Washington"		"890630s1950\\\\xx\\\\\\\m\\\\000\0\eng\d"	"35 leaves"			"19952598"
"On a type of sequence defined by a recurrence relation ..."			"Seamons, Robert Sutherland."	"M.S."	"University of Washington"		"890725s1947\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 preliminary leaves, 30 leaves, 1 leaf"			"20065008"
"The present state of the theory of summable divergent series."			"Smail, Lloyd Leroy,1888-"				"960808s1912\\\\xx\a\\\\\bm\\\000\0\eng\d"	"200 leaves"			"35211844"
"Conic sections studied by synthetic method ..."			"So, Hung Shu."	"M.A."	"University of Washington"		"890606s1929\\\\xx\\\\\\\m\\\\000\0\eng\d"	"49 leaves"			"19821692"
"Plane nets periodic of period four under the Laplacian transformations ..."			"Spaeth, Aileen."				"920303s1929\\\\wau\\\\\\m\\\\000\0\eng\d"	"13 leaves"			"25385447"
"Stress distributions in multiply-connected infinite rectangular plates."			"Stippes, Marvin Clifford."	"M. Science"	"University of Washington"		"890623s1946\\\\xx\\\\\\\bm\\\000\0\eng\d"	"37 leaves"			"19915200"
"A study of general polar tangent curves ..."			"Stratton, William Timothy."	"Ph. D."	"University of Washington"		"890623s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves, 1 leaf"			"19916059"
"Rational octavic invariant under the octahedral collineation group ..."			"Stucky, Phillip Paul."	"M.S."	"University of Washington"		"890602s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19803287"
"Continuity of certain types of functionals ..."			"Teel, Ward Griffith."	"M.S."	"University of Washington"		"890718s1939\\\\xx\\\\\\\bm\\\000\0\eng\d"	"28 leaves"			"20024392"
"Two methods of computing the exact probability distribution of Kolmogorov's parameter free statistic for small sample sizes ..."			"Tingey, Fred Hollis,1823-"	"M.S. in Math. Stats."	"University of Washington"		"890715s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"39 leaves"			"20011854"
"Contributions to the theory of Kolmogorov's statistic ..."			"Tingey, Fred Hollis,1923-"	"Ph. D."	"University of Washington"		"890715s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"59 leaves"			"20011864"
