245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Comparison of carburetors."			"Allen, Hugh Meriwether."	"B.S. in M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iii, 36 leaves"			"228409862"
"Supercharging automobile engines."			"Ashleman, Russel Henry."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"14 leaves"			"228409867"
"The integrating velocitometer ..."		"1937."	"Avery, Don Edward."				"910911s1937\\\\xx\a\\\\\m\\\\000\0\eng\d"	"12 leaves"			"24360039"
"An investigation of mechanical equipment used in the transportation of gold ore as applied to underground mining /"		"by John Paschal Becich."	"Becich, John Paschal."	"B.S."	"University of Washington"	"1935"	"080919s1935\\\\xx\a\\\\\m\\\\000\0\eng\d"	"27 leaves :"			"253623328"
"Oil film pressure distribution in a bearing and relative qualities in bearing materials."			"Berry, Mitchell Michael."	"B.S. in M.E."	"University of Washington"		"080520s1933\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 38 leaves"			"228409647"
"Conversion of a vertical motor for city service bus power."			"Bonar, Leonard."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 33 leaves"			"228409866"
"Observations on the performance of the air conditioning equipment at Guggenheim hall."			"Bower, Clarence Raymond."	"B.S. in M.E."	"University of Washington"		"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iii, 42 leaves"			"228409245"
"Photoelastic determination of stress distribution in gear arms."			"Brackett, George Augustus."	"B.S.M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"22 leaves"			"228409341"
"Design and construction of a low-pressure oil engine injection valve."			"Carter, Randolph Thomas."	"B.S. in M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"10 leaves"			"228409685"
"Scientific management ..."			"Castillo, Mariano Manaoes."	"B.S. in M.E."	"University of Washington"		"890619s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 58 leaves"			"19891315"
"Solving City light's governing problem."			"Clark, James Denny."	"B.S. in M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 45 leaves"			"228409700"
"Calibration of Weber elbow value."			"Conrad, Rielly Daniel."	"B.S.M.E."	"University of Washington"	"1937"	"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 19 leaves"			"228409239"
"Test of an automatic air-conditioning radiator."			"Courtright, Donald Macarthur."	"B.S. in Mech. E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"27 leaves"			"228409233"
"Study of molybdenum alloy cast irons."			"Cox, John Henry."	"M.S.M.E."	"University of Washington"		"080520s1933\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 47 leaves"			"228409268"
"Improving the fuel system on the Atlas-Imperial Diesel engine."			"Czarniecki, John."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 17 leaves"			"228409682"
"Investigation of solid injection Diesel engine spray tip performance."			"Dafoe, Leslie Ronald."	"B.S. in M.E."	"University of Washington"		"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"19 leaves"			"228409681"
"The experimental determination of the specific heats and boiling points of black sulphide liquor at different concentrations,"		"by Robert Edward Daley and Robert Ernest Wilcox."	"Daley, Robert Edward."				"810224s1935\\\\xx\a\\\\\m\\\\000\0\eng\d"	"12 leaves"	"Wilcox, Robert Ernest,author."		"7151620"
"Proposed unit humidifier."			"Dansie, William Walter."	"B.S. in M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"15 leaves"			"228409237"
"Permanent growth characteristics of alloy cast iron."			"Dayton, John Theodore."	"B.S.M.E."	"University of Washington"		"080520s1932\\\\xx\\\\\\\m\\\\000\0\eng\d"	"3 preliminary leaves, 43 leaves"			"228409353"
