245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The involvement of mitochondria in the cell death process :"	"communication from mitochondria to the nucleus /"	"Michael Lynn Adams."	"Adams, Michael Lynn."	"Ph. D."	"University of Washington"	"2003"	"030708s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 143 leaves :"		"http://hdl.handle.net/1773/8169;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3079201"	"52571064"
"Kinetics of sequentially metabolized suicide substrates :"	"theoretical and practical aspects of metabolic intermediate complex formation in rat cytochrome P450 2C11 metabolism of desipramine /"	"Kyle E. Allen."	"Allen, Kyle E."	"Ph. D."	"University of Washington"	"2010"	"110207s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 285 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431550"	"700950647"
"Probing the active site of cytochrome P450 CYP2C9 /"		"Ronald Gordon Aoyama."	"Aoyama, Ronald Gordon."	"Ph. D."	"University of Washington"	"2003"	"040204s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 135 leaves :"		"http://hdl.handle.net/1773/8188;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3102620"	"54354860"
"Does Pauling and Corey's alpha-pleated sheet define the prefibrillar amyloidogenic intermediate in amyloid disease? /"		"Roger S. Armen."	"Armen, Roger S."	"Ph. D."	"University of Washington"	"2004"	"050215s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 229 leaves :"		"http://hdl.handle.net/1773/8182;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139444"	"57666715"
"Preventing congenital syphilis in Mozambique :"	"assessment of the health and economic impact of syphilis diagnostics tests in antenatal screening programs /"	"Deborah Atherly."	"Atherly, Deborah."	"Ph. D."	"University of Washington"	"2009"	"100517s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 59 leaves :"			"615681498"
"Autocatalytic mechanism and functional consequences of covalent heme attachment in CYP4B1 /"		"Brian R. Baer."	"Baer, Brian R.(Brian Ray),1977-"	"Ph. D."	"University of Washington"	"2005"	"060606s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 187 leaves :"		"http://hdl.handle.net/1773/8176;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3198768"	"69952009"
"Stereochemical complexities in the glutathione S-transferase catalyzed detoxification of 4-hydroxynonenal /"		"Larissa M. Balogh."	"Balogh, Larissa M."	"Ph. D."	"University of Washington"	"2009"	"090807s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 139 leaves :"			"429673994"
"Stereochemical studies on the formation and metabolic fate of 2-n-propyl-4-pentenoic acid, a hepatotoxic metabolite of the antiepileptic drug valproic acid /"		"by Hope Barnes."	"Barnes, Hope,1958-"	"Ph. D."	"University of Washington"	"1991"	"911009s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 129 leaves :"			"24524703"
"Chemical and stereochemical aspects of the metabolism of propranolol and oxprenolol /"		"by Michael James Bartels."	"Bartels, Michael James."	"Ph. D."	"University of Washington"	"1983"	"831129s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"x, 124 leaves, 12 unnumbered leaves of plates :"			"10168211"
"The use of radioisotopes as probes for the characterization of liposomal behavior in vivo and in vitro /"		"by Paul Lawrence Beaumier."	"Beaumier, Paul Lawrence."	"Ph. D."	"University of Washington"	"1982"	"820325s1982\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 187 leaves :"			"8272365"
