245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Inhibition of vaccinia virus growth in rabbit kidney tissue cultures pre-infected with rabbit kidney vacuolating virus (RKV)."			"al-Falluji, Mudher Mohammed Ali."	"M.S."	"University of Washington"		"890619s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"131 leaves"			"19890178"
"Polyamine stabilization of spheroplasts and inhibition of phage lysis in escherichia coli."			"Anderson, Sara Rice."	"M.S."	"University of Washington"		"890629s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19948346"
"Brain function and the synthesis of macromolecules."			"Armstrong, John Lewis,1942-"	"Ph. D."	"University of Washington"		"890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"145 leaves"			"19762060"
"Biochemical and physiological properties of an osmotic remedial mutant of Saccharomyces cerevisiae."			"Bassel, John Benjamin,1931-"	"Ph. D."	"University of Washington"		"890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19762117"
"Properties of an osmotic remedial mutant of Saccharomyces."			"Bassel, John Benjamin,1931-"	"M.S."	"University of Washington"		"890718s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"20024314"
"Immunochemical analysis of serologically active lipids of Mycoplasma pneumoniae."			"Beckman, Betty Louise."	"M.S."	"University of Washington"		"890522s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"31 leaves"			"19744373"
"Biochemical and phylogenetic studies of plant nucleic acids."			"Bendich, Arnold J.,1942-authorhttp://www.wikidata.org/entity/Q100985802"	"Ph. D."	"University of Washington"		"890522s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127 leaves"			"19744460"
"Preparation and utilization of a serum typing system for Chondrococcus columnaris."			"Berg, Carole Ann."	"M.S."	"University of Washington"		"890522s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"42 leaves"			"19744403"
"Genes controlling phosphoglucomutase isoenzymes in s̲a̲v̲c̲c̲h̲a̲r̲o̲m̲y̲c̲e̲s̲."			"Bevan, Patricia Carol."	"M.S."	"University of Washington"		"890627s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"36 leaves"			"19932192"
"Genetic relatedmess among species of Saccharomyces."			"Bicknell, James Noel."	"M.S."	"University of Washington"		"890516s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves"			"19713939"
"The inhibition of coliphage reproduction following superinfection of induced lysogens."			"Brenner, Don J.,1936-"	"Ph. D."	"University of Washington"		"890731s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"113 leaves"		"http://hdl.handle.net/1773/11529;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6607869"	"20102947"
"RNA polymerase in Allomyces arbuscula,"		"by Alice Kathleen Cain."	"Cain, Alice Kathleen Cox,1946-"	"Ph. D."	"University of Washington"		"890525s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19762204"
"Nutrition of some aquatic myxobacteria."			"Chase, Joanne Margaret."	"M.S."	"University of Washington"		"890629s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19948282"
"The influence of time, of treatment and type of graft on the rejection of skin allografts in mice by passive immunization with serum and cells."			"Chiller, Jacques Marcel,1937-"	"M.S."	"University of Washington"		"890622s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"45 leaves"			"19908676"
"Studies of antibody formation in rainbow trout (Salmo gairdneri)."			"Chiller, Jacques Marcel,1937-"	"Ph. D."	"University of Washington"		"890513s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19703453"
"A study of intracellular viral interactions in HeLa cells doubly-infected with homologous or heterologous enteroviruses,"		"by Carl Ernest Cords, Jr."	"Cords, Carl Ernest,1933-"	"Ph. D."	"University of Washington"		"890718s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"69 leaves"			"20024323"
"Isolation and characteristics of plasmids determining pathogenicity in Agrobacterium."			"Currier, Thomas Curtis."	"Ph. D."	"University of Washington"		"890616s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"72 leaves"			"19879529"
