245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Dauer formation at high temperatures in Caenorhabditis elegans /"		"Michael E. Ailion."	"Ailion, Michael Edward,1972-"	"Ph. D."	"University of Washington"	"2000"	"001201s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 156 leaves :"		"http://hdl.handle.net/1773/5070;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9975946"	"45460638"
"Cohesin is partially removed from chromatin prior to anaphase in Saccharomyces cerevisiae /"		"Joy Ellen Bagley."	"Bagley, Joy Ellen."	"M.S."	"University of Washington"	"2003"	"040204s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 25 leaves :"			"54353708"
"Positive selection of CD4 T cells by specific peptide-MHC class II complexes /"		"Gregory Methven Barton."	"Barton, Gregory Methven."	"Ph. D."	"University of Washington"	"2000"	"001213s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 81 leaves :"		"http://hdl.handle.net/1773/4994;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9975951"	"45555284"
"Regulation of cellular senescence in human fibroblasts /"		"Jennifer Ann Benanti."	"Benanti, Jennifer Ann."	"Ph. D."	"University of Washington"	"2003"	"040513s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 119 leaves :"		"http://hdl.handle.net/1773/5050;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3111045"	"55136782"
"Elucidating the mechanisms by which MyoD establishes muscle-specific gene expression /"		"Charlotte Amelia Berkes."	"Berkes, Charlotte Amelia."	"Ph. D."	"University of Washington"	"2004"	"050215s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 90 leaves :"		"http://hdl.handle.net/1773/5071;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139449"	"57665929"
"Genetic and environmental control of growth and the cell cycle during larval development of Drosophila melanogaster /"		"Jessica S. Britton."	"Britton, Jessica S."	"Ph. D."	"University of Washington"	"2000"	"010403s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 216 leaves :"		"http://hdl.handle.net/1773/5039;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9983461"	"46656091"
"Mechanisms and functions of Wnt signaling in Xenopus development /"		"Jeffrey D. Brown."	"Brown, Jeffrey D.(Jeffrey David),1971-"	"Ph. D."	"University of Washington"	"1999"	"000427s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 187 leaves :"		"http://hdl.handle.net/1773/5013;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944099"	"43939749"
"In vivo analyses of murine dsRNA binding proteins and the murine luxoid mutation /"		"by Frank William Buaas."	"Buaas, Frank William,1971-"	"Ph. D."	"University of Washington"	"2001"	"020905s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 113 leaves :"			"50551739"
"Chromosome segregation in the holocentric organism C. elegans /"		"Brian Buchwitz."	"Buchwitz, Brian."	"Ph. D."	"University of Washington"	"2004"	"040709s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 39 leaves :"		"http://hdl.handle.net/1773/4996"	"55881833"
"Identification and characterization of I-mf, a novel myogenic repressor that interacts with MyoD family members /"		"Chao-Min Amy Chen."	"Chen, Chao-Min Amy,1964-"	"Ph. D."	"University of Washington"	"1996"	"970701s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 95 leaves :"		"http://hdl.handle.net/1773/5060"	"37223187"
"Early zebrafish development :"	"the role of the YSL in mesoderm induction and TGF beta 2 in cell-cell adhesion /"	"Shaw-Ree Chen."	"Chen, Shaw-Ree."	"Ph. D."	"University of Washington"	"2003"	"030930s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 116 leaves :"			"53114617"
