245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The low-density lipoprotein receptor as a model for studying candidate-locus linkage disequilibrium and allelic association /"		"by David R. Adams."	"Adams, David R.(David Raymond)"	"Ph. D."	"University of Washington"	"1998"	"991104s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 240 leaves :"		"http://hdl.handle.net/1773/10852;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916614"	"42766621"
"Identification of tumor cell growth inhibitory compounds within the herbal extract PC-SPES /"		"Michael J. Bonham."	"Bonham, Michael J."	"Ph. D."	"University of Washington"	"2004"	"050214s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 185 leaves :"		"http://hdl.handle.net/1773/10845;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139451"	"57659927"
"The fate of MBP-specific T cells in MBP TCR transgenic mice /"		"by Thea Brabb."	"Brabb, Thea."	"Ph. D."	"University of Washington"	"1999"	"000418s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 132 leaves :"		"http://hdl.handle.net/1773/10853;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9954816"	"43875998"
"Genomic analysis by single cell flow sorting /"		"Juno Choe."	"Choe, Juno."	"Ph. D."	"University of Washington"	"2003"	"040514s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 192 leaves :"		"http://hdl.handle.net/1773/10850;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3111052"	"55142912"
"Validation and refinement of genetic networks in yeast /"		"Trey Ideker."	"Ideker, Trey."	"Ph. D."	"University of Washington"	"2001"	"011023s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 78 leaves :"			"48197623"
"Novel transcriptional units and unconventional gene pairs in human genomic sequence /"		"Leonard Lipovich."	"Lipovich, Leonard."	"Ph. D."	"University of Washington"	"2003"	"040611s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 161 leaves :"			"55636389"
"Complex evolution of the 7E segmental duplications and 7E olfactory receptor genes /"		"Tera Newman."	"Newman, Tera."	"Ph. D."	"University of Washington"	"2004"	"050510s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 175 leaves :"		"http://hdl.handle.net/1773/10848;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139513"	"60338984"
"Tools for studying gross nuclear organization, dynamics and epigenetic modifications of chromosomes /"		"Edward Ramos."	"Ramos, Edward,1976-"	"Ph. D."	"University of Washington"	"2006"	"070731s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 173 leaves :"		"http://hdl.handle.net/1773/10849;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3241947"	"160147353"
"Splicing signals in Caenorhabditis elegans :"	"candidate exonic splicing enhancer motifs /"	"Robert Maxwell Robinson."	"Robinson, Robert Maxwell."	"Ph. D."	"University of Washington"	"2005"	"050830s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 260 pages :"		"http://hdl.handle.net/1773/10846;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3163403"	"61389971"
"Implications of myelin basic protein processing and presentation on T cell activation and tolerance /"		"Audrey Seamons."	"Seamons, Audrey."	"Ph. D."	"University of Washington"	"2004"	"041112s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 80 leaves :"		"http://hdl.handle.net/1773/10851;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3118869"	"56961842"
"Bioinformatics of proteomic tandem mass spectra :"	"selection, characterization, and identification /"	"David L. Tabb."	"Tabb, David L."	"Ph. D."	"University of Washington"	"2003"	"040406s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 122 pages :"		"http://hdl.handle.net/1773/10847"	"54893647"
