245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Characterization of combustion generated particulate matter produced in an inverted gravity flame reactor /"		"Justin Davis."	"Davis, Justin,1992-author."	"Ph. D."	"University of Washington"	"2019."	"200212t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 107 pages) :"	"Novosselov, Igor V.,1971-degree supervisor."	"http://hdl.handle.net/1773/45096"	"1140400650"
"CRISPR-Cas activation for regulating multi-gene expression in bacteria /"		"Jason Fontana."	"Fontana, Jason,1990-author."	"Ph. D."	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (196 pages) :"	"Carothers, James(James Matthew),degree supervisor.;Zalatan, Jesse George,degree supervisor."	"http://hdl.handle.net/1773/45808"	"1193566393"
"Zwitterlation improves efficacy and safety of therapeutic proteins /"		"Yanjiao Han."	"Han, Yanjiao,author."	"Ph. D."	"University of Washington"	"2020."	"210316t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 83 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	"http://hdl.handle.net/1773/46356"	"1241983979"
"From solvate to cell :"	"a molecular engineering approach to the lithium-sulfur battery /"	"Dion Hubble."	"Hubble, Dion,author."	"Ph. D."	"University of Washington"	"2019."	"200212t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 142 pages) :"	"Jen, Alex K.-Y.,degree supervisor.http://www.wikidata.org/entity/Q56705805"	"http://hdl.handle.net/1773/45097"	"1140400750"
"Molecular engineering of peptide-inorganic interfaces :"	"from aqueous conformations to complex surface assemblies /"	"Tyler Dean Jorgenson."	"Jorgenson, Tyler Dean,author."	"Ph. D."	"University of Washington"	"2020."	"210824t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (1 unnumbered page, 151 pages) :"	"Overney, René M.,1959-degree supervisor.;Sarikaya, Mehmet,degree supervisor."	"http://hdl.handle.net/1773/46717"	"1264840917"
"Synthesis of novel backbone functional polymers /"		"Daniel C. Lee."	"Lee, Daniel C.,1992-author."	"Ph. D."	"University of Washington"	"2020."	"200909t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 159 pages) :"	"Pun, Suzie H.,degree supervisor."	"http://hdl.handle.net/1773/45839"	"1194000259"
"High resolution measurements of RNA polymerase with nanopore tweezers /"		"Ian C. Nova."	"Nova, Ian C.,author.http://www.wikidata.org/entity/Q96101235"	"Ph. D."	"University of Washington"	"2020."	"200617t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 164 pages) :"	"Gundlach, Jens H.,1961-degree supervisor.http://www.wikidata.org/entity/Q90215434"	"http://hdl.handle.net/1773/45430"	"1158574050"
"De novo design of self-assembling helical protein filaments /"		"Hao Shen."	"Shen, Hao,1991-author."	"Ph. D."	"University of Washington"	"2019."	"190829t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (63 pages) :"	"Baker, David,1962-degree supervisor."	"http://hdl.handle.net/1773/43928"	"1114336517"
"Software algorithms for design of symmetric protein complexes applied to cryo-electron microscopy scaffolds and antibody nanoparticles /"		"Ivan Vulovic."	"Vulovic, Ivan,author."	"Ph. D."	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (78 pages) :"	"Baker, David,1962-degree supervisor."	"http://hdl.handle.net/1773/45809"	"1193561761"
"Synthesis and electrochemical cycling characteristics of nanostructured antimony alloying electrodes for energy storage applications /"		"Grant Andrew Williamson."	"Williamson, Grant Andrew,author."	"Ph. D."	"University of Washington"	"2019."	"200212t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xxvi, 162 pages) :"	"Holmberg, Vincent Carl,degree supervisor."	"http://hdl.handle.net/1773/45095"	"1140400350"
"Quantum dot probes for neuroimaging and visualization of extracellular vesicles /"		"Mengying Zhang."	"Zhang, Mengying,author."	"Ph. D."	"University of Washington"	"2020."	"210824t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 120 pages) :"	"Nance, Elizabeth,1985-degree supervisor."	"http://hdl.handle.net/1773/46716"	"1264798227"
