245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"New perspectives on public engagement with policymaking in the science museum /"		"Jeffrey T. Acquino."	"Acquino, Jeffrey T."	"M.A."	"University of Washington"	"2010"	"101014s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 115 pages :"			"670116690"
"From the Pacific to the Patent Office :"	"how the United States Exploring Expedition shaped America's first national museum, 1833-1857 /"	"Antony Alder."	"Adler, Antony."	"M.A."	"University of Washington"	"2009"	"091015s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 79 leaves "			"456587915"
"Democratizing museums through access in visible storage galleries /"		"Katy E. Ahrens."	"Ahrens, Katy E."	"M.A."	"University of Washington"	"2010"	"101014s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 65 leaves "			"670116618"
"Exploring the Seattle museum community's perceptions toward crowdfunding /"		"Crista C. Alejandre."	"Alejandre, Crista C.,author."	"M.A."	"University of Washington"	"2013."	"140507t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (50 pages) :"	"Morrissey, Kris,degree supervisor."	"http://hdl.handle.net/1773/23532"	"879348895"
"Wage earning women of the Industrial Age :"	"representation in northeastern American historical museums /"	"Rita L. Allen."	"Allen, Rita L."	"M.A."	"University of Washington"	"2012"	"121115s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 57 pages) :"	"Yee, Shirley J.,1959-degree supervisor.http://www.wikidata.org/entity/Q106510608"	"http://hdl.handle.net/1773/20605;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515850"	"818256677"
"Examining visitor behaviors and perceptions of animal activities :"	"a study at the Woodland Park Zoo's jaguar exhibit /"	"Andrea Barber."	"Barber, Andrea,1985-"	"M.A."	"University of Washington"	"2011"	"111121s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 46 leaves :"			"761737882"
"Antakya :"	"a study of nationalism and classical archaeology in the interwar period /"	"Lee A. Beaudoen."	"Beaudoen, Lee A."	"M.A."	"University of Washington"	"2010"	"110207s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 120 leaves "			"700945029"
"Shared ownership :"	"new directions for tribal/museum relations /"	"Miranda Belarde-Lewis."	"Belarde-Lewis, Miranda."	"M.A."	"University of Washington"	"2007"	"070912s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 78 leaves :"			"171007642"
"Magic in the music? :"	"music programming in art museums /"	"Melissa Beseda."	"Beseda, Melissa,author."	"M.A."	"University of Washington"	"2013."	"140507t20132013wauab\\\obm\\s000\0\eng\d"	"1 online resource (53 pages) :"	"Luke, Jessica J.,degree supervisor.http://www.wikidata.org/entity/Q105082660"	"http://hdl.handle.net/1773/23531"	"879348705"
"Constructing connections :"	"a museological approach to blogging /"	"Lynn A. Bethke."	"Bethke, Lynn A."	"M.A."	"University of Washington"	"2007"	"070912s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 130 leaves :"			"170992436"
"First Impressions :"	"the identities of eight Seattle museums as presented in their brochures /"	"Marta E.C. Beyer."	"Beyer, Marta E. C."	"M.A."	"University of Washington"	"2010"	"101014s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"125 leaves :"			"670116807"
"Collaborative creativity :"	"creating participatory experiences in art museums /"	"Meghan E. Brummett."	"Brummett, Meghan E."	"M.A."	"University of Washington"	"2012"	"121115s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 47 pages) :"	"Morrissey, Kris,degree supervisor."	"http://hdl.handle.net/1773/20602;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1516064"	"818271135"
"Reworking the past, promoting the future :"	"the nationalist art history and National Museum of India /"	"Tracy Ann Buck."	"Buck, Tracy Ann."	"M.A."	"University of Washington"	"2007"	"070912s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 89 leaves "			"170974034"
"Put a frame on It :"	"contextualizing climate change for museum visitors /"	"Katharine Canning."	"Canning, Katharine,author."	"M.A."	"University of Washington"	"2013."	"140507t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 90 pages) :"	"Morrissey, Kris,degree supervisor."	"http://hdl.handle.net/1773/23527"	"879347836"
"The awareness of universal design for learning within interactive science museums :"	"an alternative paradigm for enhancing intellectual accessibility /"	"Peeda Chitnuyanont."	"Chitnuyanont, Peeda."	"M.A."	"University of Washington"	"2009"	"091221s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 62 leaves :"			"491463317"
"Issues concerning the acquisition of tourist art by museums /"		"Kalisha Salome Chorba."	"Chorba, Kalisha Salome."	"M.A."	"University of Washington"	"2004"	"040630s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 57 leaves "			"55768835"
"Private events, public spaces :"	"why guests choose museums as hosting sites, a case study at the Museum of Flight /"	"Jessica L. Cima."	"Cima, Jessica L."	"M.A."	"University of Washington"	"2012"	"121115s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 30 pages) :"	"O'Donnell, Wilson,thesis advisor."	"http://hdl.handle.net/1773/20606;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515879"	"818256697"
"Collecting our culture, displaying our spirit :"	"a Yurok collecting history /"	"Rosie Marie Clayburn."	"Clayburn, Rosie Marie."	"M.A."	"University of Washington"	"2010"	"101101s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 179 pages :"			"676703244"
"Visitors and the timed museum experience /"		"Emily C. Craig."	"Craig, Emily C."	"M.A."	"University of Washington"	"2011"	"111103s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 37 leaves :"			"759525671"
"A conceptual framework for understanding the impact of contextual factors on museum blog facilitation /"		"Alex M. Curio."	"Curio, Alex M."	"M.A."	"University of Washington"	"2010"	"101104s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 105 leaves :"			"677981842"
"Go inside and greet the light :"	"assessing the visitor experience in a contemporary art exhibition /"	"Jill M. Dalager."	"Dalager, Jill M."	"M.A."	"University of Washington"	"2004"	"041007s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 77 leaves :"			"56663894"
"From social responsibility to social justice :"	"museums and religious tolerance post-9/11 /"	"Molly Jean Dalessandro."	"Dalessandro, Molly Jean."	"M.A."	"University of Washington"	"2008"	"090112s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 189 leaves :"			"298138984"
"Ideally reality :"	"alignment of deaccession policy and emerging practice in history museums /"	"Tomasina de Vitis."	"De Vitis, Tomasina,author."	"M.A."	"University of Washington"	"2012"	"160621s2012\\\\waua\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 61 pages) :"	"O'Donnell, Wilson,degree supervisor."	"http://hdl.handle.net/1773/20607"	"951981561"
"Presenting Egypt's past :"	"archaeology and identity in Egyptian museum practice /"	"Wendy Doyon."	"Doyon, Wendy."	"M.A."	"University of Washington"	"2007"	"070910s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xvi, 184 leaves :"			"170849312"
"What we talk about when we talk about development :"	"how board members & CEOs assess their organization's development /"	"Amy Dygert."	"Dygert, Amy,author."	"M.A."	"University of Washington"	"2013"	"140507t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (63 pages) :"	"O'Donnell, Wilson,degree supervisor."	"http://hdl.handle.net/1773/23526"	"879347342"
"Fine art in the classroom :"	"on-line art collections: a resource for teachers : an experimental design research study /"	"Allison Faye."	"Faye, Allison."	"M.A."	"University of Washington"	"2009"	"090928s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 79 leaves :"			"440811271"
"Cold War, hot topic :"	"museum representations of 'Communism' in Post-Socialist Central and Eastern Europe /"	"Zulma-Lin Garcia Morales."	"Garcia Morales, Zulma-Lin."	"M.A."	"University of Washington"	"2012"	"121115s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 55 pages) :"	"Morrissey, Kris,thesis advisor."	"http://hdl.handle.net/1773/20601;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515906"	"818270036"
"Towards a more authentic narrative :"	"multi-racial interpretation at Plimoth Plantation and Colonial Williamsburg /"	"Rachel S. Gaudry."	"Gaudry, Rachel S."	"M.A."	"University of Washington"	"2011"	"111031s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 59 leaves "			"759117806"
"Representation and voice :"	"a comparative analysis of Hawaiian culture exhibits in three museums /"	"by Carrie Gervais."	"Gervais, Carrie."	"M.A."	"University of Washington"	"1998"	"990415s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 104 leaves :"			"41170829"
"Visitor and museum professional opinions of extended labels for contemporary art /"		"Alison Catherine Goetz."	"Goetz, Alison Catherine."	"M.A."	"University of Washington"	"2008"	"081020s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 94 leaves :"			"262847595"
"Speaking to visitors about how they use and view airport museums /"		"Valerie A. Grabski."	"Grabski, Valerie A."	"M.A."	"University of Washington"	"2011"	"111103s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 66 pages :"			"759523413"
"Supporting low-income children, families, and communities :"	"the emergence of social service practices within children's museums /"	"Amber Michelle Greenleaf."	"Greenleaf, Amber Michelle."	"M.A."	"University of Washington"	"2009"	"091029s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 144 leaves "			"461064914"
"Archaeology field schools and curation :"	"a national survey /"	"Kirstie L. Haertel."	"Haertel, Kirstie L."	"M.A."	"University of Washington"	"2003"	"040406s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 52 leaves :"			"54894239"
"Unraveling Ariadne's thread :"	"perceptions of historic cabinets of curiosities /"	"Dominic W. Hall."	"Hall, Dominic W."	"M.A."	"University of Washington"	"2007"	"080618s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 263 leaves :"			"232305039"
"The Olympic Sculpture Park :"	"a design in progress /"	"Nori A. Hawkins."	"Hawkins, Nori A."	"M.A."	"University of Washington"	"2003"	"040413s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 203 leaves :"			"54940040"
"It's all about you :"	"the visitor-as-subject model of exhibition development and design /"	"Marina V. Hernandez."	"Hernandez, Marina V."	"M.A."	"University of Washington"	"2011"	"111107s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 84 leaves :"			"759871587"
"Ethnic identity formation in adolescence :"	"impact of teen programs in museums /"	"Dylan High."	"High, Dylan,author."	"M.A. University of Washington"		"2013."	"140507t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 124 pages) :"	"Morrissey, Kris,degree supervisor."	"http://hdl.handle.net/1773/23524"	"879346915"
"Software-based art :"	"challenges and strategies for museum collections/"	"Allison K. Hoffman."	"Hoffmann, Allison K.,author."	"M.A."	"University of Washington"	"2013."	"140507t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 77 pages) :"	"Morrissey, Kris,degree supervisor."	"http://hdl.handle.net/1773/23522"	"879346272"
