245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A survey of classical music composed for mixed woodwind ensembles."				"M.A. in Mus."	"University of Washington"		"890619s1955\\\\xx\acg\\\bm\\\000\0\eng\d"	"ix, 156 leaves"			"19890647"
"Stylistic analysis of the sacred motets of Josquin des Pres ..."			"Adams, Janet Ann."	"M.A. in Music"	"University of Washington"		"890824s1949\\\\xx\g\\\\\bm\\\000\0\eng\d"	"91 leaves"			"20240692"
"The history of opera in London during the Victorian age ..."			"Allen, Alice Huldah."	"M.A."	"University of Washington"		"890721s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"[viii], 126 leaves"			"20050449"
"An evaluation of five settings of the Stabat Mater as liturgical music,"		"by Sister Mary Paul Bernard (Mary Louise Allen)."	"Allen, Mary Paul Bernard,Sister."	"M.A. in Music"	"University of Washington"		"890614s1957\\\\xx\ah\\\\bm\\\000\0\eng\d"	"129 leaves"			"19866103"
"Symphony for string orchestra in two movements ..."			"Allport, Robeson Hunter."				"931014s1949\\\\xx\\\\\\\m\\\\000\0\eng\d"	"115 pages (on double leaves)"			"29014949"
"The trio sonatas and solo sonatas of Archangelo Corelli ..."			"Anderson, Robert B."	"M.A. in Mus."	"University of Washington"		"890819s1952\\\\xx\g\\\\\bm\\\000\0\eng\d"	"140 leaves"			"20222924"
"The problem of phrasing in the solo violin works of J.S. Bach ..."			"Andrie, Eugene Steven."	"M.A. in Mus."	"University of Washington"		"890819s1952\\\\xx\g\\\\\bm\\\000\0\eng\d"	"v, 133 leaves"			"20220010"
"The selection and arrangement of compositions for the elementary school string orchestra ..."			"Armstrong, Robert Frederic."				"930924s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"73 leaves"			"28887478"
"An experiment enriching the high school band program through the use of certain types of creative experiences."			"Barnum, Walter Keith,1925-"	"M.A. in Mus."	"University of Washington"		"890828s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves, score (12 leaves)"			"20270067"
"The need for more participation in music ..."			"Bennest, Alfred Frank."	"M.A. in Music"	"University of Washington"		"890809s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"101 leaves"			"20144854"
"Music in the Coptic Church of Egypt and Ethiopia ..."			"Bennett, John Paul."	"M.A. in Mus. Ed."	"University of Washington"		"890824s1945\\\\xx\ag\\\\bm\\\000\0\eng\d"	"iii, 85 leaves"			"20240671"
"The development of the string section of the school orchestra ..."			"Berg, Richard C.(Richard Charles),1911-2000."	"M.A. in Music"	"University of Washington"		"890824s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 70 leaves"			"20240701"
"English hymnody of the nineteenth century ..."			"Booth, Clayton Parsons."	"M.A. in Mus."	"University of Washington"		"890707s1943\\\\xx\ag\\\\bm\\\000\0\eng\d"	"158 leaves"			"19979084"
"The variation technique of English harpsichord music as shown in a seventeenth century manuscript (Drexel 5611) ..."			"Bostwick, Irene."	"M.A. in Mus."	"University of Washington"		"890613s1950\\\\xx\ag\\\\bm\\\000\0\eng\d"	"ii, 165 leaves including music, tables (some folded), diagrams"			"19861089"
"The piano sonatas of Serge Prokofieff."			"Brooks, Dale W."	"M.A. in Mus."	"University of Washington"		"890613s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"111 leaves"			"19861463"
"The Symphoniae Sacrae of Heinrich Schütz."			"Burtner, Leona May."	"M.A. in Mus."	"University of Washington"		"890705s1955\\\\xx\g\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19962597"
"The Seattle production (1953) of The Play of Robin and Marion by the trouvere, Adam de la Halle."			"Callihan, James H."	"M.A."	"University of Washington"		"890725s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 180 leaves"			"20063404"
