245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Poetics of empire :"	"literature and political culture at the Early Modern Ottoman Court /"	"Oscar Aguirre Mandujano."	"Aguirre Mandujano, Oscar,author."	"Ph. D."	"University of Washington"	"2018."	"190215t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (xvii, 198 pages)"	"Kuru, Selim S.,degree supervisor."	"http://hdl.handle.net/1773/43113"	"1085911753"
"Banning headscarves and Muslim women's subjectivity in Turkey /"		"Sümeyye Zeynep Akbulut."	"Akbulut, Sümeyye Zeynep."	"Ph. D."	"University of Washington"	"2011"	"111014s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 192 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472074"	"756946806"
"Shamanism, culture and the Xinjiang Kazak :"	"a native narrative of identity /"	"Kağan Arik."	"Arik, Kağan."	"Ph. D."	"University of Washington"	"1999"	"000420s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"xi, 451 leaves "		"http://hdl.handle.net/1773/10844;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9954809"	"43897377"
"Negotiating illegality :"	"bypassed minorities' access to infrastructure in Middle Eastern democracies /"	"Esra Bakkalbasioglu."	"Bakkalbasioglu, Esra,author."	"Ph. D."	"University of Washington"	"2019."	"191216t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 221 pages) :"	"Migdal, Joel S.,degree supervisor.;Kasaba, Reşat,1954-degree supervisor."	"http://hdl.handle.net/1773/44863"	"1131689265"
"The roots of the religious, ethnic, and national identity of the Bosnian-Herzegovinan Muslims /"		"Denis Bašić."	"Bašić, Denis."	"Ph. D."	"University of Washington"	"2009"	"090724s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 369 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3356598"	"427652244"
"The Italian invasion of Libya in 1911 and the nineteen years of Libyan resistance /"		"Saad Bugaighis."	"Bugaighis, Saad."	"Ph. D."	"University of Washington"	"2011"	"110708s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 391 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3452752"	"740120343"
"Complicating youth in contemporary Turkey :"	"cultural activism and a new Muslim youth identity /"	"Josef Burton."	"Burton, Josef,author."	"M.A."	"University of Washington"	"2013."	"140425t20132013wau\\\\\od\\\\000\0\eng\d"	"1 online resource (35 pages)"	"Kuru, Selim Sırrı,degree supervisor."	"http://hdl.handle.net/1773/23412"	"878152991"
"Convergence or divergence :"	"Uighur family change in Urumqi /"	"William Carl Clark."	"Clark, William Carl,1956-"	"Ph. D."	"University of Washington"	"1999"	"000522s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"xiii, 298 leaves "		"http://hdl.handle.net/1773/10843;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944106"	"44097641"
"Before their Nakba :"	"Palestinian society and politics, 1920-1940 /"	"Karam Dana."	"Dana, Karam."	"Ph. D."	"University of Washington"	"2009"	"100528s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"xi, 192 leaves "			"632429877"
"The legibility of power and culture in Ba'thist Iraq from 1968-1991 /"		"Michael K. Degerald."	"Degerald, Michael K.,author.http://www.wikidata.org/entity/Q107316469"	"Ph. D."	"University of Washington"	"2018."	"190401t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (296 pages)"	"Bet-Shlimon, Arbella,degree supervisor.http://www.wikidata.org/entity/Q100750427"	"http://hdl.handle.net/1773/43432"	"1091059009"
"Visions of community :"	"literary culture and social change among the Northern Kyrgyz, 1856-1924 /"	"Jipar Duishembieva."	"Duishembieva, Jipar,author."	"Ph. D."	"University of Washington"	"2015"	"160205t20152015wau\\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 289 pages)"	"Campbell, Elena,degree supervisor."	"http://hdl.handle.net/1773/34091"	"936728180"
"Networks of great expectations :"	"Palestinian youth activism in the internet age /"	"Albana S. Dwonch."	"Dwonch, Albana S.,author."	"Ph. D."	"University of Washington"	"2017"	"171109t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (236 pages)"	"Migdal, Joel S.,degree supervisor."	"http://hdl.handle.net/1773/40280"	"1011044946"
"Arab local authorities in Israel :"	"hamulas, nationalism and dilemmas of social change /"	"Maha T. El-Taji."	"El-Taji, Maha T."	"Ph. D."	"University of Washington"	"2008"	"080731s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 306 leaves "			"237139863"
"The desire for sohbet :"	"an ethnography of communication in Turkey /"	"Hürriyet Gökdayi."	"Gökdayi, Hürriyet."	"Ph. D."	"University of Washington"	"2000"	"010118s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 256 leaves "		"http://hdl.handle.net/1773/10838;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9975983"	"45748821"
"Between ""Ottoman"" and ""Turk"" :"	"literary narrative and the transition from empire to republic /"	"Erdağ Mithat Göknar."	"Göknar, Erdağ M."	"Ph. D."	"University of Washington"	"2004"	"040610s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 244 leaves "			"55633121"
