245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Pushing boundaries :"	"smuggling against policy in Israel/Palestine /"	"Bret Windhauser."	"Windhauser, Bret,author."	"M.A."	"University of Washington"	"2020."	"200903t20202020wau\\\\\obm\\s000\0\eng\d"	"1 online resource (69 pages)"	"Kuru, Selim Sırrı,degree supervisor."	"http://hdl.handle.net/1773/45710"	"1192544910"
"The 1991 international contemporary Turkic alphabets symposium and its contributions to the Turkic alphabet reform /"		"Bedii Duru Altug."	"Altug, Bedii Duru,author."	"M.A."	"University of Washington"	"2014"	"141022t20142014wau\\\\\obm\\s000\0\eng\d"	"1 online resource (33 pages)"	"Laude-Cirtautas, Ilse,degree supervisor."	"http://hdl.handle.net/1773/26486"	"893588292"
"Governing areas of dissidence :"	"nation-building and ethnic movements in Turkey and Morocco /"	"Senem Aslan."	"Aslan, Senem."	"Ph. D."	"University of Washington"	"2008"	"090122s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 240 leaves :"			"299077462"
"Holding multiple nationalisms :"	"perspectives of an Albanian Ottoman /"	"Christopher M. Facer."	"Facer, Christopher M.,author."	"M.A."	"University of Washington"	"2017"	"170908t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (65 pages)"	"Kuru, Selim,degree supervisor."	"http://hdl.handle.net/1773/39796"	"1003223447"
"Architecture and nation-building in mid-20th century urban Turkey and Iraq /"		"Lydia Harrington."	"Harrington, Lydia,author."	"M.A."	"University of Washington"	"2014"	"141112t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (60 pages) :"	"Kuru, Selim S.,degree supervisor."	"http://hdl.handle.net/1773/26487"	"895084958"
"The Quran as a literary masterpiece within its historical and religious milieus /"		"Muhammad Omer Iqbal."	"Iqbal, Muhammad Omer."	"M.A."	"University of Washington"	"2013"	"140407s2013\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 139 pages) :"	"DeYoung, Terri,thesis advisor."	"http://hdl.handle.net/1773/22766;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1538339"	"875931017"
"Metamorphosis of the performing arts :"	"understandings of sexuality and nationalism in the 19th C. Ottoman Empire /"	"Peter Klempner."	"Klempner, Peter,author."	"M.A."	"University of Washington"	"2013."	"140502s2013\\\\wau\\\\\obm\\s000\0\eng\d"	"1 online resource (30 pages)"	"Kuru, Selim Sırrı,degree supervisor."	"http://hdl.handle.net/1773/23480"	"878984237"
"Gender politics in the new Europe :"	"'civilizing' Muslim sexualities /"	"Jennifer Lee Petzen."	"Petzen, Jennifer L.(Jennifer Lee)"	"Ph. D."	"University of Washington"	"2008"	"090206s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 260 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3328436"	"302001707"
"Edible landscape :"	"agricultural and social gardens in Topkapı Sarayı, 1453-1800 /"	"Marita White."	"White, Marita,author."	"M.A."	"University of Washington"	"2017"	"170908t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (68 pages) :"	"Kuru, Selim S.,degree supervisor."	"http://hdl.handle.net/1773/39795"	"1003223328"
"Mohammad Mosaddeq and the referendum :"	"Iran and the exception in the Cold War /"	"Sean Widlake."	"Widlake, Sean,author."	"M.A."	"University of Washington"	"2015"	"151209t20152015wau\\\\\obm\\s000\0\eng\d"	"1 online resource (30 pages)"	"Alavi, Samad,degree supervisor."	"http://hdl.handle.net/1773/33481"	"931933594"
